"Plot Title: 21909581"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21909581, SEN S/N: 21909581)","Temp, °F (LGR S/N: 21909581, SEN S/N: 21909581)","Expired Sensor Cap (LGR S/N: 21909581)","Coupler Detached (LGR S/N: 21909581)","Coupler Attached (LGR S/N: 21909581)","Stopped (LGR S/N: 21909581)","End Of File (LGR S/N: 21909581)"
94,08/26/24 08:22:36 AM,0.78,86.58,,,,,
95,08/26/24 09:22:36 AM,3.17,86.61,,,,,
96,08/26/24 10:22:36 AM,8.88,86.61,,,,,
97,08/26/24 11:22:36 AM,16.56,86.61,,,,,
98,08/26/24 12:22:36 PM,19.29,86.25,,,,,
99,08/26/24 01:22:36 PM,22.88,86.40,,,,,
100,08/26/24 02:22:36 PM,19.81,86.40,,,,,
101,08/26/24 03:22:36 PM,27.28,86.61,,,,,
102,08/26/24 04:22:36 PM,22.25,86.79,,,,,
103,08/26/24 05:22:36 PM,16.19,86.72,,,,,
104,08/26/24 06:22:36 PM,13.11,86.68,,,,,
105,08/26/24 07:22:36 PM,7.88,86.65,,,,,
106,08/26/24 08:22:36 PM,1.16,86.61,,,,,
107,08/26/24 09:22:36 PM,0.67,86.61,,,,,
108,08/26/24 10:22:36 PM,0.55,86.61,,,,,
109,08/26/24 11:22:36 PM,0.49,86.61,,,,,
110,08/27/24 12:22:36 AM,0.50,86.61,,,,,
111,08/27/24 01:22:36 AM,0.47,86.61,,,,,
112,08/27/24 02:22:36 AM,0.46,86.61,,,,,
113,08/27/24 03:22:36 AM,0.52,86.61,,,,,
114,08/27/24 04:22:36 AM,0.62,86.61,,,,,
115,08/27/24 05:22:36 AM,0.65,86.58,,,,,
116,08/27/24 06:22:36 AM,0.70,86.50,,,,,
117,08/27/24 07:22:36 AM,0.66,86.47,,,,,
118,08/27/24 08:22:36 AM,1.76,86.47,,,,,
119,08/27/24 09:22:36 AM,9.34,86.47,,,,,
120,08/27/24 10:22:36 AM,12.21,86.50,,,,,
121,08/27/24 11:22:36 AM,17.48,86.58,,,,,
122,08/27/24 12:22:36 PM,19.78,86.72,,,,,
123,08/27/24 01:22:36 PM,22.64,86.79,,,,,
124,08/27/24 02:22:36 PM,28.73,86.86,,,,,
125,08/27/24 03:22:36 PM,29.25,86.90,,,,,
126,08/27/24 04:22:36 PM,23.17,86.83,,,,,
127,08/27/24 05:22:36 PM,18.65,86.76,,,,,
128,08/27/24 06:22:36 PM,14.24,86.72,,,,,
129,08/27/24 07:22:36 PM,7.34,86.72,,,,,
130,08/27/24 08:22:36 PM,1.13,86.72,,,,,
131,08/27/24 09:22:36 PM,0.67,86.72,,,,,
132,08/27/24 10:22:36 PM,0.49,86.76,,,,,
133,08/27/24 11:22:36 PM,0.43,86.79,,,,,
134,08/28/24 12:22:36 AM,0.41,86.83,,,,,
135,08/28/24 01:22:36 AM,0.47,86.83,,,,,
136,08/28/24 02:22:36 AM,0.50,86.79,,,,,
137,08/28/24 03:22:36 AM,0.42,86.76,,,,,
138,08/28/24 04:22:36 AM,0.39,86.68,,,,,
139,08/28/24 05:22:36 AM,0.50,86.65,,,,,
140,08/28/24 06:22:36 AM,0.53,86.72,,,,,
141,08/28/24 07:22:36 AM,0.50,86.72,,,,,
142,08/28/24 08:22:36 AM,1.12,86.68,,,,,
143,08/28/24 09:22:36 AM,5.83,86.72,,,,,
144,08/28/24 10:22:36 AM,12.23,86.76,,,,,
145,08/28/24 11:22:36 AM,18.59,86.79,,,,,
146,08/28/24 12:22:36 PM,20.67,86.94,,,,,
147,08/28/24 01:22:36 PM,24.32,87.08,,,,,
148,08/28/24 02:22:36 PM,16.77,87.01,,,,,
149,08/28/24 03:22:36 PM,30.91,87.15,,,,,
150,08/28/24 04:22:36 PM,26.26,87.19,,,,,
151,08/28/24 05:22:36 PM,17.45,87.26,,,,,
152,08/28/24 06:22:36 PM,13.56,87.62,,,,,
153,08/28/24 07:22:36 PM,7.43,87.62,,,,,
154,08/28/24 08:22:36 PM,1.03,87.33,,,,,
155,08/28/24 09:22:36 PM,0.62,87.26,,,,,
156,08/28/24 10:22:36 PM,0.51,87.26,,,,,
157,08/28/24 11:22:36 PM,0.45,87.19,,,,,
158,08/29/24 12:22:36 AM,0.44,87.19,,,,,
159,08/29/24 01:22:36 AM,0.44,87.19,,,,,
160,08/29/24 02:22:36 AM,0.45,87.19,,,,,
161,08/29/24 03:22:36 AM,0.40,87.15,,,,,
162,08/29/24 04:22:36 AM,0.40,87.12,,,,,
163,08/29/24 05:22:36 AM,0.43,86.94,,,,,
164,08/29/24 06:22:36 AM,0.45,86.86,,,,,
165,08/29/24 07:22:36 AM,0.50,86.79,,,,,
166,08/29/24 08:22:36 AM,0.99,86.76,,,,,
167,08/29/24 09:22:36 AM,5.97,86.72,,,,,
168,08/29/24 10:22:36 AM,12.23,86.79,,,,,
169,08/29/24 11:22:36 AM,16.66,86.90,,,,,
170,08/29/24 12:22:36 PM,19.84,87.01,,,,,
171,08/29/24 01:22:36 PM,23.96,87.08,,,,,
172,08/29/24 02:22:36 PM,27.97,87.04,,,,,
173,08/29/24 03:22:36 PM,27.02,87.12,,,,,
174,08/29/24 04:22:36 PM,24.30,87.08,,,,,
175,08/29/24 05:22:36 PM,19.09,86.97,,,,,
176,08/29/24 06:22:36 PM,14.46,86.83,,,,,
177,08/29/24 07:22:36 PM,8.81,86.86,,,,,
178,08/29/24 08:22:36 PM,0.96,87.26,,,,,
179,08/29/24 09:22:36 PM,0.57,87.40,,,,,
180,08/29/24 10:22:36 PM,0.54,87.26,,,,,
181,08/29/24 11:22:36 PM,0.50,87.22,,,,,
182,08/30/24 12:22:36 AM,0.51,87.12,,,,,
183,08/30/24 01:22:36 AM,0.50,87.04,,,,,
184,08/30/24 02:22:36 AM,0.54,86.94,,,,,
185,08/30/24 03:22:36 AM,0.52,86.94,,,,,
186,08/30/24 04:22:36 AM,0.51,86.94,,,,,
187,08/30/24 05:22:36 AM,0.49,86.90,,,,,
188,08/30/24 06:22:36 AM,0.47,86.86,,,,,
189,08/30/24 07:22:36 AM,0.46,86.86,,,,,
190,08/30/24 08:22:36 AM,0.74,86.79,,,,,
191,08/30/24 09:22:36 AM,6.11,86.83,,,,,
192,08/30/24 10:22:36 AM,10.88,86.86,,,,,
193,08/30/24 11:22:36 AM,16.24,86.97,,,,,
194,08/30/24 12:22:36 PM,15.41,87.01,,,,,
195,08/30/24 01:22:36 PM,23.00,87.15,,,,,
196,08/30/24 02:22:36 PM,17.93,87.22,,,,,
197,08/30/24 03:22:36 PM,27.56,87.33,,,,,
198,08/30/24 04:22:36 PM,24.17,87.19,,,,,
199,08/30/24 05:22:36 PM,17.60,87.08,,,,,
200,08/30/24 06:22:36 PM,13.22,87.30,,,,,
201,08/30/24 07:22:36 PM,6.17,87.73,,,,,
202,08/30/24 08:22:36 PM,0.73,87.76,,,,,
203,08/30/24 09:22:36 PM,0.51,87.58,,,,,
204,08/30/24 10:22:36 PM,0.49,87.48,,,,,
205,08/30/24 11:22:36 PM,0.42,87.40,,,,,
206,08/31/24 12:22:36 AM,0.44,87.37,,,,,
207,08/31/24 01:22:36 AM,0.41,87.37,,,,,
208,08/31/24 02:22:36 AM,0.41,87.33,,,,,
209,08/31/24 03:22:36 AM,0.36,87.37,,,,,
210,08/31/24 04:22:36 AM,0.35,87.30,,,,,
211,08/31/24 05:22:36 AM,0.36,87.26,,,,,
212,08/31/24 06:22:36 AM,0.35,87.26,,,,,
213,08/31/24 07:22:36 AM,0.35,87.26,,,,,
214,08/31/24 08:22:36 AM,0.68,87.19,,,,,
215,08/31/24 09:22:36 AM,3.07,87.15,,,,,
216,08/31/24 10:22:36 AM,9.03,87.22,,,,,
217,08/31/24 11:22:36 AM,16.22,87.33,,,,,
218,08/31/24 12:22:36 PM,18.44,87.44,,,,,
219,08/31/24 01:22:36 PM,21.54,87.55,,,,,
220,08/31/24 02:22:36 PM,25.83,87.62,,,,,
221,08/31/24 03:22:36 PM,27.80,87.76,,,,,
222,08/31/24 04:22:36 PM,21.62,87.87,,,,,
223,08/31/24 05:22:36 PM,16.14,87.98,,,,,
224,08/31/24 06:22:36 PM,11.76,87.84,,,,,
225,08/31/24 07:22:36 PM,5.29,87.94,,,,,
226,08/31/24 08:22:36 PM,0.73,87.87,,,,,
227,08/31/24 09:22:36 PM,0.53,87.80,,,,,
228,08/31/24 10:22:36 PM,0.50,87.76,,,,,
229,08/31/24 11:22:36 PM,0.44,87.73,,,,,
230,09/01/24 12:22:36 AM,0.40,87.69,,,,,
231,09/01/24 01:22:36 AM,0.39,87.69,,,,,
232,09/01/24 02:22:36 AM,0.34,87.69,,,,,
233,09/01/24 03:22:36 AM,0.38,87.69,,,,,
234,09/01/24 04:22:36 AM,0.36,87.69,,,,,
235,09/01/24 05:22:36 AM,0.32,87.58,,,,,
236,09/01/24 06:22:36 AM,0.31,87.55,,,,,
237,09/01/24 07:22:36 AM,0.30,87.40,,,,,
238,09/01/24 08:22:36 AM,0.56,87.37,,,,,
239,09/01/24 09:22:36 AM,3.43,87.37,,,,,
240,09/01/24 10:22:36 AM,9.60,87.44,,,,,
241,09/01/24 11:22:36 AM,15.41,87.51,,,,,
242,09/01/24 12:22:36 PM,19.49,87.62,,,,,
243,09/01/24 01:22:36 PM,23.94,87.76,,,,,
244,09/01/24 02:22:36 PM,25.51,87.69,,,,,
245,09/01/24 03:22:36 PM,28.95,87.55,,,,,
246,09/01/24 04:22:36 PM,23.22,87.51,,,,,
247,09/01/24 05:22:36 PM,18.47,87.37,,,,,
248,09/01/24 06:22:36 PM,12.70,87.22,,,,,
249,09/01/24 07:22:36 PM,5.72,87.33,,,,,
250,09/01/24 08:22:36 PM,0.81,87.69,,,,,
251,09/01/24 09:22:36 PM,0.53,88.02,,,,,
252,09/01/24 10:22:36 PM,0.50,87.94,,,,,
253,09/01/24 11:22:36 PM,0.44,87.87,,,,,
254,09/02/24 12:22:36 AM,0.38,87.98,,,,,
255,09/02/24 01:22:36 AM,0.32,87.84,,,,,
256,09/02/24 02:22:36 AM,0.31,87.80,,,,,
257,09/02/24 03:22:36 AM,0.32,87.62,,,,,
258,09/02/24 04:22:36 AM,0.26,87.62,,,,,
259,09/02/24 05:22:36 AM,0.29,87.66,,,,,
260,09/02/24 06:22:36 AM,0.28,87.58,,,,,
261,09/02/24 07:22:36 AM,0.26,87.55,,,,,
262,09/02/24 08:22:36 AM,0.45,87.48,,,,,
263,09/02/24 09:22:36 AM,3.60,87.51,,,,,
264,09/02/24 10:22:36 AM,7.61,87.44,,,,,
265,09/02/24 11:22:36 AM,16.21,87.51,,,,,
266,09/02/24 12:22:36 PM,19.48,87.62,,,,,
267,09/02/24 01:22:36 PM,23.95,87.76,,,,,
268,09/02/24 02:22:36 PM,31.30,87.76,,,,,
269,09/02/24 03:22:36 PM,31.93,87.66,,,,,
270,09/02/24 04:22:36 PM,26.27,87.66,,,,,
271,09/02/24 05:22:36 PM,20.60,87.69,,,,,
272,09/02/24 06:22:36 PM,12.75,87.94,,,,,
273,09/02/24 07:22:36 PM,4.67,88.20,,,,,
274,09/02/24 08:22:36 PM,0.77,87.94,,,,,
275,09/02/24 09:22:36 PM,0.52,87.76,,,,,
276,09/02/24 10:22:36 PM,0.46,87.66,,,,,
277,09/02/24 11:22:36 PM,0.47,87.58,,,,,
278,09/03/24 12:22:36 AM,0.46,87.55,,,,,
279,09/03/24 01:22:36 AM,0.44,87.62,,,,,
280,09/03/24 02:22:36 AM,0.41,87.62,,,,,
281,09/03/24 03:22:36 AM,0.40,87.58,,,,,
282,09/03/24 04:22:36 AM,0.34,87.62,,,,,
283,09/03/24 05:22:36 AM,0.34,87.58,,,,,
284,09/03/24 06:22:36 AM,0.33,87.51,,,,,
285,09/03/24 07:22:36 AM,0.33,87.44,,,,,
286,09/03/24 08:22:36 AM,0.53,87.44,,,,,
287,09/03/24 09:22:36 AM,2.78,87.48,,,,,
288,09/03/24 10:22:36 AM,9.77,87.55,,,,,
289,09/03/24 11:22:36 AM,16.94,87.62,,,,,
290,09/03/24 12:22:36 PM,20.46,87.73,,,,,
291,09/03/24 01:22:36 PM,24.30,87.87,,,,,
292,09/03/24 02:22:36 PM,31.34,87.98,,,,,
293,09/03/24 03:22:36 PM,29.75,88.09,,,,,
294,09/03/24 04:22:36 PM,23.02,88.09,,,,,
295,09/03/24 05:22:36 PM,17.94,88.23,,,,,
296,09/03/24 06:22:36 PM,10.73,88.16,,,,,
297,09/03/24 07:22:36 PM,4.92,87.98,,,,,
298,09/03/24 08:22:36 PM,0.67,87.84,,,,,
299,09/03/24 09:22:36 PM,0.49,87.76,,,,,
300,09/03/24 10:22:36 PM,0.46,87.73,,,,,
301,09/03/24 11:22:36 PM,0.45,87.73,,,,,
302,09/04/24 12:22:36 AM,0.44,87.73,,,,,
303,09/04/24 01:22:36 AM,0.44,87.73,,,,,
304,09/04/24 02:22:36 AM,0.41,87.76,,,,,
305,09/04/24 03:22:36 AM,0.36,87.76,,,,,
306,09/04/24 04:22:36 AM,0.38,87.66,,,,,
307,09/04/24 05:22:36 AM,0.39,87.66,,,,,
308,09/04/24 06:22:36 AM,0.36,87.62,,,,,
309,09/04/24 07:22:36 AM,0.38,87.62,,,,,
310,09/04/24 08:22:36 AM,0.51,87.62,,,,,
311,09/04/24 09:22:36 AM,1.44,87.58,,,,,
312,09/04/24 10:22:36 AM,4.32,87.58,,,,,
313,09/04/24 11:22:36 AM,14.69,87.58,,,,,
314,09/04/24 12:22:36 PM,18.96,87.62,,,,,
315,09/04/24 01:22:36 PM,18.77,87.55,,,,,
316,09/04/24 02:22:36 PM,14.76,87.58,,,,,
317,09/04/24 03:22:36 PM,23.72,87.76,,,,,
318,09/04/24 04:22:36 PM,22.45,87.84,,,,,
319,09/04/24 05:22:36 PM,15.52,87.76,,,,,
320,09/04/24 06:22:36 PM,10.57,87.87,,,,,
321,09/04/24 07:22:36 PM,2.46,87.73,,,,,
322,09/04/24 08:22:36 PM,0.66,87.58,,,,,
323,09/04/24 09:22:36 PM,0.51,87.51,,,,,
324,09/04/24 10:22:36 PM,0.47,87.51,,,,,
325,09/04/24 11:22:36 PM,0.45,87.48,,,,,
326,09/05/24 12:22:36 AM,0.45,87.51,,,,,
327,09/05/24 01:22:36 AM,0.44,87.48,,,,,
328,09/05/24 02:22:36 AM,0.46,87.40,,,,,
329,09/05/24 03:22:36 AM,0.45,87.40,,,,,
330,09/05/24 04:22:36 AM,0.45,87.37,,,,,
331,09/05/24 05:22:36 AM,0.46,87.33,,,,,
332,09/05/24 06:22:36 AM,0.46,87.30,,,,,
333,09/05/24 07:22:36 AM,0.44,87.26,,,,,
334,09/05/24 08:22:36 AM,0.49,87.26,,,,,
335,09/05/24 09:22:36 AM,0.51,87.26,,,,,
336,09/05/24 10:22:36 AM,0.71,87.30,,,,,
337,09/05/24 11:22:36 AM,4.88,87.33,,,,,
338,09/05/24 12:22:36 PM,13.59,87.44,,,,,
339,09/05/24 01:22:36 PM,18.89,87.48,,,,,
340,09/05/24 02:22:36 PM,20.78,87.48,,,,,
341,09/05/24 03:22:36 PM,20.64,87.51,,,,,
342,09/05/24 04:22:36 PM,18.93,87.51,,,,,
343,09/05/24 05:22:36 PM,8.06,87.44,,,,,
344,09/05/24 06:22:36 PM,2.79,87.37,,,,,
345,09/05/24 07:22:36 PM,0.94,87.26,,,,,
346,09/05/24 08:22:36 PM,0.60,87.22,,,,,
347,09/05/24 09:22:36 PM,0.55,87.15,,,,,
348,09/05/24 10:22:36 PM,0.55,87.15,,,,,
349,09/05/24 11:22:36 PM,0.53,87.12,,,,,
350,09/06/24 12:22:36 AM,0.51,87.12,,,,,
351,09/06/24 01:22:36 AM,0.50,87.08,,,,,
352,09/06/24 02:22:36 AM,0.49,87.08,,,,,
353,09/06/24 03:22:36 AM,0.47,87.08,,,,,
354,09/06/24 04:22:36 AM,0.45,87.08,,,,,
355,09/06/24 05:22:36 AM,0.43,87.08,,,,,
356,09/06/24 06:22:36 AM,0.44,87.08,,,,,
357,09/06/24 07:22:36 AM,0.40,87.08,,,,,
358,09/06/24 08:22:36 AM,0.43,87.08,,,,,
359,09/06/24 09:22:36 AM,0.51,87.04,,,,,
360,09/06/24 10:22:36 AM,4.56,87.08,,,,,
361,09/06/24 11:22:36 AM,13.04,87.08,,,,,
362,09/06/24 12:22:36 PM,15.65,87.08,,,,,
363,09/06/24 01:22:36 PM,18.15,87.12,,,,,
364,09/06/24 02:22:36 PM,22.22,86.86,,,,,
365,09/06/24 03:22:36 PM,12.17,86.86,,,,,
366,09/06/24 04:22:36 PM,12.12,86.90,,,,,
367,09/06/24 05:22:36 PM,14.40,86.94,,,,,
368,09/06/24 06:22:36 PM,10.31,86.90,,,,,
369,09/06/24 07:22:36 PM,4.18,86.86,,,,,
370,09/06/24 08:22:36 PM,0.76,86.86,,,,,
371,09/06/24 09:22:36 PM,0.55,86.86,,,,,
372,09/06/24 10:22:36 PM,0.53,86.86,,,,,
373,09/06/24 11:22:36 PM,0.54,86.86,,,,,
374,09/07/24 12:22:36 AM,0.52,86.86,,,,,
375,09/07/24 01:22:36 AM,0.51,86.86,,,,,
376,09/07/24 02:22:36 AM,0.50,86.83,,,,,
377,09/07/24 03:22:36 AM,0.51,86.83,,,,,
378,09/07/24 04:22:36 AM,0.47,86.83,,,,,
379,09/07/24 05:22:36 AM,0.46,86.79,,,,,
380,09/07/24 06:22:36 AM,0.49,86.79,,,,,
381,09/07/24 07:22:36 AM,0.49,86.76,,,,,
382,09/07/24 08:22:36 AM,0.76,86.76,,,,,
383,09/07/24 09:22:36 AM,3.65,86.76,,,,,
384,09/07/24 10:22:36 AM,10.99,86.79,,,,,
385,09/07/24 11:22:36 AM,16.05,86.90,,,,,
386,09/07/24 12:22:36 PM,17.80,86.90,,,,,
387,09/07/24 01:22:36 PM,21.86,86.90,,,,,
388,09/07/24 02:22:36 PM,28.40,87.01,,,,,
389,09/07/24 03:22:36 PM,29.39,87.12,,,,,
390,09/07/24 04:22:36 PM,23.51,87.15,,,,,
391,09/07/24 05:22:36 PM,16.47,86.97,,,,,
392,09/07/24 06:22:36 PM,10.84,86.97,,,,,
393,09/07/24 07:22:36 PM,2.72,86.94,,,,,
394,09/07/24 08:22:36 PM,0.63,86.90,,,,,
395,09/07/24 09:22:36 PM,0.46,86.83,,,,,
396,09/07/24 10:22:36 PM,0.43,86.83,,,,,
397,09/07/24 11:22:36 PM,0.43,86.83,,,,,
398,09/08/24 12:22:36 AM,0.43,86.76,,,,,
399,09/08/24 01:22:36 AM,0.42,86.72,,,,,
400,09/08/24 02:22:36 AM,0.41,86.68,,,,,
401,09/08/24 03:22:36 AM,0.41,86.68,,,,,
402,09/08/24 04:22:36 AM,0.40,86.68,,,,,
403,09/08/24 05:22:36 AM,0.38,86.61,,,,,
404,09/08/24 06:22:36 AM,0.34,86.61,,,,,
405,09/08/24 07:22:36 AM,0.30,86.61,,,,,
406,09/08/24 08:22:36 AM,0.52,86.61,,,,,
407,09/08/24 09:22:36 AM,2.67,86.61,,,,,
408,09/08/24 10:22:36 AM,8.44,86.68,,,,,
409,09/08/24 11:22:36 AM,13.99,86.76,,,,,
410,09/08/24 12:22:36 PM,17.62,86.86,,,,,
411,09/08/24 01:22:36 PM,21.32,86.97,,,,,
412,09/08/24 02:22:36 PM,28.49,87.01,,,,,
413,09/08/24 03:22:36 PM,29.64,87.01,,,,,
414,09/08/24 04:22:36 PM,21.88,87.04,,,,,
415,09/08/24 05:22:36 PM,15.43,86.97,,,,,
416,09/08/24 06:22:36 PM,9.87,87.01,,,,,
417,09/08/24 07:22:36 PM,3.95,86.90,,,,,
418,09/08/24 08:22:36 PM,0.62,86.79,,,,,
419,09/08/24 09:22:36 PM,0.45,86.79,,,,,
420,09/08/24 10:22:36 PM,0.36,86.76,,,,,
421,09/08/24 11:22:36 PM,0.30,86.68,,,,,
422,09/09/24 12:22:36 AM,0.31,86.65,,,,,
423,09/09/24 01:22:36 AM,0.26,86.61,,,,,
424,09/09/24 02:22:36 AM,0.23,86.61,,,,,
425,09/09/24 03:22:36 AM,0.22,86.61,,,,,
426,09/09/24 04:22:36 AM,0.29,86.50,,,,,
427,09/09/24 05:22:36 AM,0.26,86.50,,,,,
428,09/09/24 06:22:36 AM,0.30,86.32,,,,,
429,09/09/24 07:22:36 AM,0.34,86.22,,,,,
430,09/09/24 08:22:36 AM,0.46,86.04,,,,,
431,09/09/24 09:22:36 AM,2.02,86.04,,,,,
432,09/09/24 10:22:36 AM,8.87,86.11,,,,,
433,09/09/24 11:22:36 AM,14.72,86.14,,,,,
434,09/09/24 12:22:36 PM,17.90,86.18,,,,,
435,09/09/24 01:22:36 PM,21.74,86.11,,,,,
436,09/09/24 02:22:36 PM,28.13,86.61,,,,,
437,09/09/24 03:22:36 PM,28.53,86.65,,,,,
438,09/09/24 04:22:36 PM,22.60,87.01,,,,,
439,09/09/24 05:22:36 PM,16.52,87.40,,,,,
440,09/09/24 06:22:36 PM,10.85,87.40,,,,,
441,09/09/24 07:22:36 PM,3.81,87.44,,,,,
442,09/09/24 08:22:36 PM,0.56,87.37,,,,,
443,09/09/24 09:22:36 PM,0.35,87.37,,,,,
444,09/09/24 10:22:36 PM,0.40,87.08,,,,,
445,09/09/24 11:22:36 PM,0.41,87.04,,,,,
446,09/10/24 12:22:36 AM,0.39,87.01,,,,,
447,09/10/24 01:22:36 AM,0.34,86.97,,,,,
448,09/10/24 02:22:36 AM,0.36,87.08,,,,,
449,09/10/24 03:22:36 AM,0.34,87.08,,,,,
450,09/10/24 04:22:36 AM,0.34,87.04,,,,,
451,09/10/24 05:22:36 AM,0.34,86.97,,,,,
452,09/10/24 06:22:36 AM,0.28,87.01,,,,,
453,09/10/24 07:22:36 AM,0.26,86.94,,,,,
