"Plot Title: 21909582"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21909582, SEN S/N: 21909582)","Temp, °F (LGR S/N: 21909582, SEN S/N: 21909582)","Expired Sensor Cap (LGR S/N: 21909582)","Missing Sensor Cap (LGR S/N: 21909582)","Coupler Detached (LGR S/N: 21909582)","Coupler Attached (LGR S/N: 21909582)","Stopped (LGR S/N: 21909582)","End Of File (LGR S/N: 21909582)"
54,08/27/24 04:50:08 PM,12.47,88.95,,,,,,
55,08/27/24 05:50:08 PM,12.63,88.23,,,,,,
56,08/27/24 06:50:08 PM,11.19,87.62,,,,,,
57,08/27/24 07:50:08 PM,6.79,87.08,,,,,,
58,08/27/24 08:50:08 PM,5.49,87.12,,,,,,
59,08/27/24 09:50:08 PM,5.41,87.08,,,,,,
60,08/27/24 10:50:08 PM,6.19,86.97,,,,,,
61,08/27/24 11:50:08 PM,5.87,86.97,,,,,,
62,08/28/24 12:50:08 AM,6.23,86.90,,,,,,
63,08/28/24 01:50:08 AM,5.74,86.83,,,,,,
64,08/28/24 02:50:08 AM,4.61,86.76,,,,,,
65,08/28/24 03:50:08 AM,4.05,86.65,,,,,,
66,08/28/24 04:50:08 AM,3.59,86.65,,,,,,
67,08/28/24 05:50:08 AM,3.89,86.65,,,,,,
68,08/28/24 06:50:08 AM,2.99,86.65,,,,,,
69,08/28/24 07:50:08 AM,4.03,86.68,,,,,,
70,08/28/24 08:50:08 AM,5.07,86.68,,,,,,
71,08/28/24 09:50:08 AM,7.61,86.79,,,,,,
72,08/28/24 10:50:08 AM,9.31,86.86,,,,,,
73,08/28/24 11:50:08 AM,7.64,87.12,,,,,,
74,08/28/24 12:50:08 PM,11.22,87.55,,,,,,
75,08/28/24 01:50:08 PM,11.45,87.91,,,,,,
76,08/28/24 02:50:08 PM,12.67,88.23,,,,,,
77,08/28/24 03:50:08 PM,11.39,88.41,,,,,,
78,08/28/24 04:50:08 PM,12.78,88.99,,,,,,
79,08/28/24 05:50:08 PM,11.15,89.06,,,,,,
80,08/28/24 06:50:08 PM,12.29,88.63,,,,,,
81,08/28/24 07:50:08 PM,8.26,88.05,,,,,,
82,08/28/24 08:50:08 PM,6.52,87.44,,,,,,
83,08/28/24 09:50:08 PM,6.07,87.04,,,,,,
84,08/28/24 10:50:08 PM,6.09,87.01,,,,,,
85,08/28/24 11:50:08 PM,6.38,86.94,,,,,,
86,08/29/24 12:50:08 AM,6.37,86.90,,,,,,
87,08/29/24 01:50:08 AM,5.56,86.79,,,,,,
88,08/29/24 02:50:08 AM,4.78,86.72,,,,,,
89,08/29/24 03:50:08 AM,3.59,86.58,,,,,,
90,08/29/24 04:50:08 AM,3.63,86.61,,,,,,
91,08/29/24 05:50:08 AM,4.04,86.54,,,,,,
92,08/29/24 06:50:08 AM,3.84,86.54,,,,,,
93,08/29/24 07:50:08 AM,3.91,86.50,,,,,,
94,08/29/24 08:50:08 AM,6.45,86.79,,,,,,
95,08/29/24 09:50:08 AM,8.16,86.90,,,,,,
96,08/29/24 10:50:08 AM,9.45,87.01,,,,,,
97,08/29/24 11:50:08 AM,11.22,87.26,,,,,,
98,08/29/24 12:50:08 PM,9.44,87.48,,,,,,
99,08/29/24 01:50:08 PM,12.35,87.80,,,,,,
100,08/29/24 02:50:08 PM,13.58,88.23,,,,,,
101,08/29/24 03:50:08 PM,13.16,88.34,,,,,,
102,08/29/24 04:50:08 PM,13.66,88.41,,,,,,
103,08/29/24 05:50:08 PM,13.90,88.41,,,,,,
104,08/29/24 06:50:08 PM,12.55,88.23,,,,,,
105,08/29/24 07:50:08 PM,7.68,87.91,,,,,,
106,08/29/24 08:50:08 PM,6.32,88.09,,,,,,
107,08/29/24 09:50:08 PM,5.89,88.09,,,,,,
108,08/29/24 10:50:08 PM,5.77,87.80,,,,,,
109,08/29/24 11:50:08 PM,6.17,87.26,,,,,,
110,08/30/24 12:50:08 AM,5.13,87.08,,,,,,
111,08/30/24 01:50:08 AM,4.23,86.90,,,,,,
112,08/30/24 02:50:08 AM,4.09,86.43,,,,,,
113,08/30/24 03:50:08 AM,3.13,86.43,,,,,,
114,08/30/24 04:50:08 AM,3.00,86.54,,,,,,
115,08/30/24 05:50:08 AM,2.95,86.61,,,,,,
116,08/30/24 06:50:08 AM,4.77,86.83,,,,,,
117,08/30/24 07:50:08 AM,5.26,86.76,,,,,,
118,08/30/24 08:50:08 AM,6.84,86.86,,,,,,
119,08/30/24 09:50:08 AM,8.55,87.15,,,,,,
120,08/30/24 10:50:08 AM,9.09,87.30,,,,,,
121,08/30/24 11:50:08 AM,13.48,87.55,,,,,,
122,08/30/24 12:50:08 PM,10.75,87.91,,,,,,
123,08/30/24 01:50:08 PM,12.85,88.16,,,,,,
124,08/30/24 02:50:08 PM,9.20,88.34,,,,,,
125,08/30/24 03:50:08 PM,11.14,88.56,,,,,,
126,08/30/24 04:50:08 PM,13.19,88.92,,,,,,
127,08/30/24 05:50:08 PM,12.73,88.09,,,,,,
128,08/30/24 06:50:08 PM,13.07,87.76,,,,,,
129,08/30/24 07:50:08 PM,5.73,87.48,,,,,,
130,08/30/24 08:50:08 PM,3.97,87.84,,,,,,
131,08/30/24 09:50:08 PM,5.62,87.80,,,,,,
132,08/30/24 10:50:08 PM,6.06,87.40,,,,,,
133,08/30/24 11:50:08 PM,6.05,87.19,,,,,,
134,08/31/24 12:50:08 AM,5.62,87.15,,,,,,
135,08/31/24 01:50:08 AM,5.26,87.22,,,,,,
136,08/31/24 02:50:08 AM,4.66,87.22,,,,,,
137,08/31/24 03:50:08 AM,4.38,87.19,,,,,,
138,08/31/24 04:50:08 AM,3.87,86.76,,,,,,
139,08/31/24 05:50:08 AM,3.56,86.72,,,,,,
140,08/31/24 06:50:08 AM,3.25,86.76,,,,,,
141,08/31/24 07:50:08 AM,3.95,86.83,,,,,,
142,08/31/24 08:50:08 AM,6.28,86.86,,,,,,
143,08/31/24 09:50:08 AM,8.65,87.01,,,,,,
144,08/31/24 10:50:08 AM,10.83,87.26,,,,,,
145,08/31/24 11:50:08 AM,13.01,87.40,,,,,,
146,08/31/24 12:50:08 PM,15.50,87.55,,,,,,
147,08/31/24 01:50:08 PM,16.41,87.80,,,,,,
148,08/31/24 02:50:08 PM,17.44,88.09,,,,,,
149,08/31/24 03:50:08 PM,15.87,88.41,,,,,,
150,08/31/24 04:50:08 PM,16.74,88.48,,,,,,
151,08/31/24 05:50:08 PM,17.47,88.45,,,,,,
152,08/31/24 06:50:08 PM,13.89,88.05,,,,,,
153,08/31/24 07:50:08 PM,6.38,87.69,,,,,,
154,08/31/24 08:50:08 PM,5.39,87.94,,,,,,
155,08/31/24 09:50:08 PM,3.85,87.84,,,,,,
156,08/31/24 10:50:08 PM,5.26,87.66,,,,,,
157,08/31/24 11:50:08 PM,5.83,87.51,,,,,,
158,09/01/24 12:50:08 AM,5.75,87.51,,,,,,
159,09/01/24 01:50:08 AM,5.61,87.48,,,,,,
160,09/01/24 02:50:08 AM,5.47,87.44,,,,,,
161,09/01/24 03:50:08 AM,4.62,87.33,,,,,,
162,09/01/24 04:50:08 AM,4.34,87.22,,,,,,
163,09/01/24 05:50:08 AM,3.04,86.76,,,,,,
164,09/01/24 06:50:08 AM,3.15,86.90,,,,,,
165,09/01/24 07:50:08 AM,3.59,87.08,,,,,,
166,09/01/24 08:50:08 AM,6.59,87.08,,,,,,
167,09/01/24 09:50:08 AM,9.83,87.22,,,,,,
168,09/01/24 10:50:08 AM,11.90,87.48,,,,,,
169,09/01/24 11:50:08 AM,15.71,87.69,,,,,,
170,09/01/24 12:50:08 PM,17.58,88.02,,,,,,
171,09/01/24 01:50:08 PM,21.30,88.66,,,,,,
172,09/01/24 02:50:08 PM,17.39,88.95,,,,,,
173,09/01/24 03:50:08 PM,16.68,89.06,,,,,,
174,09/01/24 04:50:08 PM,16.77,89.24,,,,,,
175,09/01/24 05:50:08 PM,16.12,89.02,,,,,,
176,09/01/24 06:50:08 PM,13.22,88.38,,,,,,
177,09/01/24 07:50:08 PM,5.66,88.38,,,,,,
178,09/01/24 08:50:08 PM,4.20,88.27,,,,,,
179,09/01/24 09:50:08 PM,3.42,88.16,,,,,,
180,09/01/24 10:50:08 PM,4.13,87.94,,,,,,
181,09/01/24 11:50:08 PM,5.28,87.55,,,,,,
182,09/02/24 12:50:08 AM,5.27,87.48,,,,,,
183,09/02/24 01:50:08 AM,4.95,87.40,,,,,,
184,09/02/24 02:50:08 AM,4.67,87.37,,,,,,
185,09/02/24 03:50:08 AM,3.63,87.44,,,,,,
186,09/02/24 04:50:08 AM,2.25,86.79,,,,,,
187,09/02/24 05:50:08 AM,1.65,86.50,,,,,,
188,09/02/24 06:50:08 AM,1.31,86.50,,,,,,
189,09/02/24 07:50:08 AM,2.46,86.90,,,,,,
190,09/02/24 08:50:08 AM,5.46,87.01,,,,,,
191,09/02/24 09:50:08 AM,8.48,87.15,,,,,,
192,09/02/24 10:50:08 AM,10.51,87.55,,,,,,
193,09/02/24 11:50:08 AM,11.84,88.05,,,,,,
194,09/02/24 12:50:08 PM,15.01,88.52,,,,,,
195,09/02/24 01:50:08 PM,16.82,89.02,,,,,,
196,09/02/24 02:50:08 PM,16.09,89.49,,,,,,
197,09/02/24 03:50:08 PM,13.28,89.74,,,,,,
198,09/02/24 04:50:08 PM,13.28,89.35,,,,,,
199,09/02/24 05:50:08 PM,14.14,89.17,,,,,,
200,09/02/24 06:50:08 PM,11.16,89.49,,,,,,
201,09/02/24 07:50:08 PM,5.22,88.59,,,,,,
202,09/02/24 08:50:08 PM,4.51,88.30,,,,,,
203,09/02/24 09:50:08 PM,4.40,88.30,,,,,,
204,09/02/24 10:50:08 PM,4.67,88.23,,,,,,
205,09/02/24 11:50:08 PM,4.14,88.20,,,,,,
206,09/03/24 12:50:08 AM,4.44,88.16,,,,,,
207,09/03/24 01:50:08 AM,4.93,87.69,,,,,,
208,09/03/24 02:50:08 AM,5.12,87.58,,,,,,
209,09/03/24 03:50:08 AM,3.06,87.62,,,,,,
210,09/03/24 04:50:08 AM,2.07,87.44,,,,,,
211,09/03/24 05:50:08 AM,2.03,87.04,,,,,,
212,09/03/24 06:50:08 AM,1.80,87.01,,,,,,
213,09/03/24 07:50:08 AM,0.93,87.08,,,,,,
214,09/03/24 08:50:08 AM,1.90,87.33,,,,,,
215,09/03/24 09:50:08 AM,2.94,87.55,,,,,,
216,09/03/24 10:50:08 AM,3.36,87.69,,,,,,
217,09/03/24 11:50:08 AM,4.08,87.80,,,,,,
218,09/03/24 12:50:08 PM,4.38,88.02,,,,,,
219,09/03/24 01:50:08 PM,5.86,88.23,,,,,,
220,09/03/24 02:50:08 PM,7.27,88.63,,,,,,
221,09/03/24 03:50:08 PM,7.84,88.95,,,,,,
222,09/03/24 04:50:08 PM,13.62,89.42,,,,,,
223,09/03/24 05:50:08 PM,7.50,88.95,,,,,,
224,09/03/24 06:50:08 PM,5.33,89.02,,,,,,
225,09/03/24 07:50:08 PM,4.30,89.28,,,,,,
226,09/03/24 08:50:08 PM,4.91,88.95,,,,,,
227,09/03/24 09:50:08 PM,5.54,88.77,,,,,,
228,09/03/24 10:50:08 PM,5.56,88.70,,,,,,
229,09/03/24 11:50:08 PM,5.66,88.48,,,,,,
230,09/04/24 12:50:08 AM,5.71,88.05,,,,,,
231,09/04/24 01:50:08 AM,4.91,87.94,,,,,,
232,09/04/24 02:50:08 AM,5.14,88.02,,,,,,
233,09/04/24 03:50:08 AM,6.30,87.84,,,,,,
234,09/04/24 04:50:08 AM,6.05,87.76,,,,,,
235,09/04/24 05:50:08 AM,5.68,87.62,,,,,,
236,09/04/24 06:50:08 AM,5.35,87.51,,,,,,
237,09/04/24 07:50:08 AM,2.85,87.44,,,,,,
238,09/04/24 08:50:08 AM,2.52,87.40,,,,,,
239,09/04/24 09:50:08 AM,3.41,87.51,,,,,,
240,09/04/24 10:50:08 AM,4.86,87.58,,,,,,
241,09/04/24 11:50:08 AM,5.38,87.62,,,,,,
242,09/04/24 12:50:08 PM,7.71,88.02,,,,,,
243,09/04/24 01:50:08 PM,7.14,88.34,,,,,,
244,09/04/24 02:50:08 PM,6.60,88.27,,,,,,
245,09/04/24 03:50:08 PM,7.44,88.77,,,,,,
246,09/04/24 04:50:08 PM,9.19,89.10,,,,,,
247,09/04/24 05:50:08 PM,12.44,89.02,,,,,,
248,09/04/24 06:50:08 PM,9.88,88.66,,,,,,
249,09/04/24 07:50:08 PM,6.49,88.70,,,,,,
250,09/04/24 08:50:08 PM,5.99,88.59,,,,,,
251,09/04/24 09:50:08 PM,6.00,88.56,,,,,,
252,09/04/24 10:50:08 PM,6.02,88.45,,,,,,
253,09/04/24 11:50:08 PM,6.00,88.34,,,,,,
254,09/05/24 12:50:08 AM,5.83,88.27,,,,,,
255,09/05/24 01:50:08 AM,5.51,88.05,,,,,,
256,09/05/24 02:50:08 AM,5.88,87.94,,,,,,
257,09/05/24 03:50:08 AM,5.25,87.76,,,,,,
258,09/05/24 04:50:08 AM,5.38,87.44,,,,,,
259,09/05/24 05:50:08 AM,2.83,87.51,,,,,,
260,09/05/24 06:50:08 AM,3.14,87.91,,,,,,
261,09/05/24 07:50:08 AM,3.78,87.87,,,,,,
262,09/05/24 08:50:08 AM,3.35,87.84,,,,,,
263,09/05/24 09:50:08 AM,2.88,87.69,,,,,,
264,09/05/24 10:50:08 AM,3.06,87.44,,,,,,
265,09/05/24 11:50:08 AM,4.07,87.26,,,,,,
266,09/05/24 12:50:08 PM,4.89,87.33,,,,,,
267,09/05/24 01:50:08 PM,5.12,87.84,,,,,,
268,09/05/24 02:50:08 PM,5.38,88.05,,,,,,
269,09/05/24 03:50:08 PM,5.92,88.27,,,,,,
270,09/05/24 04:50:08 PM,5.32,88.02,,,,,,
271,09/05/24 05:50:08 PM,5.07,87.73,,,,,,
272,09/05/24 06:50:08 PM,4.83,87.58,,,,,,
273,09/05/24 07:50:08 PM,4.42,87.55,,,,,,
274,09/05/24 08:50:08 PM,6.44,87.44,,,,,,
275,09/05/24 09:50:08 PM,6.20,87.44,,,,,,
276,09/05/24 10:50:08 PM,6.17,87.37,,,,,,
277,09/05/24 11:50:08 PM,6.58,87.37,,,,,,
278,09/06/24 12:50:08 AM,6.20,87.26,,,,,,
279,09/06/24 01:50:08 AM,6.60,87.26,,,,,,
280,09/06/24 02:50:08 AM,6.49,87.26,,,,,,
281,09/06/24 03:50:08 AM,6.38,87.33,,,,,,
282,09/06/24 04:50:08 AM,4.99,87.33,,,,,,
283,09/06/24 05:50:08 AM,4.97,87.33,,,,,,
284,09/06/24 06:50:08 AM,3.45,87.40,,,,,,
285,09/06/24 07:50:08 AM,2.48,87.44,,,,,,
286,09/06/24 08:50:08 AM,3.12,86.72,,,,,,
287,09/06/24 09:50:08 AM,4.32,86.76,,,,,,
288,09/06/24 10:50:08 AM,4.66,86.61,,,,,,
289,09/06/24 11:50:08 AM,6.20,86.22,,,,,,
290,09/06/24 12:50:08 PM,6.55,86.40,,,,,,
291,09/06/24 01:50:08 PM,6.43,86.79,,,,,,
292,09/06/24 02:50:08 PM,7.00,87.08,,,,,,
293,09/06/24 03:50:08 PM,6.17,86.94,,,,,,
294,09/06/24 04:50:08 PM,8.45,87.94,,,,,,
295,09/06/24 05:50:08 PM,6.73,87.15,,,,,,
296,09/06/24 06:50:08 PM,6.41,86.86,,,,,,
297,09/06/24 07:50:08 PM,5.57,86.83,,,,,,
298,09/06/24 08:50:08 PM,6.53,86.76,,,,,,
299,09/06/24 09:50:08 PM,4.86,87.19,,,,,,
300,09/06/24 10:50:08 PM,4.50,87.62,,,,,,
301,09/06/24 11:50:08 PM,4.62,87.33,,,,,,
302,09/07/24 12:50:08 AM,4.40,87.48,,,,,,
303,09/07/24 01:50:08 AM,3.55,87.40,,,,,,
304,09/07/24 02:50:08 AM,0.63,87.33,,,,,,
305,09/07/24 03:50:08 AM,2.89,86.90,,,,,,
306,09/07/24 04:50:08 AM,5.07,85.82,,,,,,
307,09/07/24 05:50:08 AM,3.53,85.71,,,,,,
308,09/07/24 06:50:08 AM,4.17,85.75,,,,,,
309,09/07/24 07:50:08 AM,4.10,85.71,,,,,,
310,09/07/24 08:50:08 AM,4.52,85.71,,,,,,
311,09/07/24 09:50:08 AM,5.22,85.93,,,,,,
312,09/07/24 10:50:08 AM,5.16,86.18,,,,,,
313,09/07/24 11:50:08 AM,5.56,86.58,,,,,,
314,09/07/24 12:50:08 PM,6.31,86.86,,,,,,
315,09/07/24 01:50:08 PM,6.68,86.90,,,,,,
316,09/07/24 02:50:08 PM,7.22,87.30,,,,,,
317,09/07/24 03:50:08 PM,7.74,87.33,,,,,,
318,09/07/24 04:50:08 PM,7.17,88.38,,,,,,
319,09/07/24 05:50:08 PM,7.15,88.27,,,,,,
320,09/07/24 06:50:08 PM,5.15,87.04,,,,,,
321,09/07/24 07:50:08 PM,5.30,87.22,,,,,,
322,09/07/24 08:50:08 PM,7.24,87.87,,,,,,
323,09/07/24 09:50:08 PM,6.45,87.84,,,,,,
324,09/07/24 10:50:08 PM,5.83,87.66,,,,,,
325,09/07/24 11:50:08 PM,5.78,87.66,,,,,,
326,09/08/24 12:50:08 AM,5.24,87.62,,,,,,
327,09/08/24 01:50:08 AM,3.03,87.62,,,,,,
328,09/08/24 02:50:08 AM,2.12,87.62,,,,,,
329,09/08/24 03:50:08 AM,4.17,87.58,,,,,,
330,09/08/24 04:50:08 AM,2.13,87.58,,,,,,
331,09/08/24 05:50:08 AM,0.67,87.33,,,,,,
332,09/08/24 06:50:08 AM,2.00,86.83,,,,,,
333,09/08/24 07:50:08 AM,2.70,86.54,,,,,,
334,09/08/24 08:50:08 AM,5.52,86.43,,,,,,
335,09/08/24 09:50:08 AM,5.62,86.47,,,,,,
336,09/08/24 10:50:08 AM,6.14,86.61,,,,,,
337,09/08/24 11:50:08 AM,6.32,86.94,,,,,,
338,09/08/24 12:50:08 PM,7.21,87.26,,,,,,
339,09/08/24 01:50:08 PM,7.91,87.66,,,,,,
340,09/08/24 02:50:08 PM,8.99,88.09,,,,,,
341,09/08/24 03:50:08 PM,9.06,88.38,,,,,,
342,09/08/24 04:50:08 PM,8.00,87.87,,,,,,
343,09/08/24 05:50:08 PM,7.35,87.51,,,,,,
344,09/08/24 06:50:08 PM,6.29,87.22,,,,,,
345,09/08/24 07:50:08 PM,5.33,87.08,,,,,,
346,09/08/24 08:50:08 PM,6.53,87.15,,,,,,
347,09/08/24 09:50:08 PM,4.94,87.26,,,,,,
348,09/08/24 10:50:08 PM,4.95,87.26,,,,,,
349,09/08/24 11:50:08 PM,3.33,87.22,,,,,,
350,09/09/24 12:50:08 AM,3.57,87.33,,,,,,
351,09/09/24 01:50:08 AM,4.35,87.40,,,,,,
352,09/09/24 02:50:08 AM,3.24,87.37,,,,,,
353,09/09/24 03:50:08 AM,3.15,87.37,,,,,,
354,09/09/24 04:50:08 AM,2.13,87.40,,,,,,
355,09/09/24 05:50:08 AM,6.35,87.30,,,,,,
356,09/09/24 06:50:08 AM,5.30,87.19,,,,,,
357,09/09/24 07:50:08 AM,5.05,87.26,,,,,,
358,09/09/24 08:50:08 AM,4.71,87.22,,,,,,
359,09/09/24 09:50:08 AM,6.11,87.19,,,,,,
360,09/09/24 10:50:08 AM,6.65,87.37,,,,,,
361,09/09/24 11:50:08 AM,6.86,87.58,,,,,,
362,09/09/24 12:50:08 PM,8.51,87.76,,,,,,
363,09/09/24 01:50:08 PM,7.78,88.12,,,,,,
364,09/09/24 02:50:08 PM,8.69,88.41,,,,,,
365,09/09/24 03:50:08 PM,8.43,88.77,,,,,,
366,09/09/24 04:50:08 PM,8.22,88.70,,,,,,
367,09/09/24 05:50:08 PM,8.57,88.70,,,,,,
368,09/09/24 06:50:08 PM,7.29,88.77,,,,,,
369,09/09/24 07:50:08 PM,7.07,88.41,,,,,,
370,09/09/24 08:50:08 PM,7.44,88.52,,,,,,
371,09/09/24 09:50:08 PM,6.16,88.16,,,,,,
372,09/09/24 10:50:08 PM,6.19,88.05,,,,,,
373,09/09/24 11:50:08 PM,6.31,87.91,,,,,,
374,09/10/24 12:50:08 AM,4.90,87.94,,,,,,
375,09/10/24 01:50:08 AM,5.24,87.91,,,,,,
376,09/10/24 02:50:08 AM,3.86,87.94,,,,,,
377,09/10/24 03:50:08 AM,3.93,87.98,,,,,,
378,09/10/24 04:50:08 AM,1.99,87.98,,,,,,
379,09/10/24 05:50:08 AM,2.50,87.98,,,,,,
380,09/10/24 06:50:08 AM,0.95,87.76,,,,,,
381,09/10/24 07:50:08 AM,1.48,87.44,,,,,,
382,09/10/24 08:50:08 AM,2.91,87.04,,,,,,
383,09/10/24 09:50:08 AM,2.89,87.26,,,,,,
384,09/10/24 10:50:08 AM,4.02,87.51,,,,,,
385,09/10/24 11:50:08 AM,5.06,88.09,,,,,,
386,09/10/24 12:50:08 PM,6.81,88.41,,,,,,
387,09/10/24 01:50:08 PM,7.25,88.59,,,,,,
388,09/10/24 02:50:08 PM,8.00,89.10,,,,,,
389,09/10/24 03:50:08 PM,7.14,89.49,,,,,,
390,09/10/24 04:50:08 PM,6.25,89.38,,,,,,
391,09/10/24 05:50:08 PM,5.83,88.92,,,,,,
392,09/10/24 06:50:08 PM,4.46,88.59,,,,,,
393,09/10/24 07:50:08 PM,5.17,88.70,,,,,,
394,09/10/24 08:50:08 PM,6.60,88.52,,,,,,
395,09/10/24 09:50:08 PM,5.99,88.30,,,,,,
396,09/10/24 10:50:08 PM,5.89,88.16,,,,,,
397,09/10/24 11:50:08 PM,6.06,88.12,,,,,,
398,09/11/24 12:50:08 AM,5.19,88.12,,,,,,
399,09/11/24 01:50:08 AM,4.52,88.12,,,,,,
400,09/11/24 02:50:08 AM,5.26,88.16,,,,,,
401,09/11/24 03:50:08 AM,4.23,88.20,,,,,,
402,09/11/24 04:50:08 AM,5.18,88.20,,,,,,
403,09/11/24 05:50:08 AM,4.19,88.20,,,,,,
404,09/11/24 06:50:08 AM,4.35,88.12,,,,,,
405,09/11/24 07:50:08 AM,4.91,87.58,,,,,,
406,09/11/24 08:50:08 AM,4.57,87.58,,,,,,
407,09/11/24 09:50:08 AM,5.60,87.84,,,,,,
408,09/11/24 10:50:08 AM,6.44,87.55,,,,,,
409,09/11/24 11:50:08 AM,7.45,87.76,,,,,,
410,09/11/24 12:50:08 PM,7.98,88.38,,,,,,
411,09/11/24 01:50:08 PM,8.16,88.88,,,,,,
412,09/11/24 02:50:08 PM,6.33,89.35,,,,,,
413,09/11/24 03:50:08 PM,6.81,89.35,,,,,,
414,09/11/24 04:50:08 PM,7.44,89.35,,,,,,
415,09/11/24 05:50:08 PM,11.97,89.06,,,,,,
416,09/11/24 06:50:08 PM,8.10,88.63,,,,,,
417,09/11/24 07:50:08 PM,5.00,88.30,,,,,,
418,09/11/24 08:50:08 PM,5.61,88.12,,,,,,
419,09/11/24 09:50:08 PM,4.75,87.98,,,,,,
420,09/11/24 10:50:08 PM,5.51,87.98,,,,,,
421,09/11/24 11:50:08 PM,5.38,87.98,,,,,,
422,09/12/24 12:50:08 AM,5.27,88.23,,,,,,
423,09/12/24 01:50:08 AM,5.24,88.27,,,,,,
424,09/12/24 02:50:08 AM,3.45,88.27,,,,,,
425,09/12/24 03:50:08 AM,2.56,88.23,,,,,,
426,09/12/24 04:50:08 AM,1.62,88.27,,,,,,
427,09/12/24 05:50:08 AM,0.26,88.23,,,,,,
428,09/12/24 06:50:08 AM,3.23,87.98,,,,,,
429,09/12/24 07:50:08 AM,2.44,87.87,,,,,,
430,09/12/24 08:50:08 AM,3.36,87.94,,,,,,
431,09/12/24 09:50:08 AM,5.27,88.09,,,,,,
432,09/12/24 10:50:08 AM,4.89,88.12,,,,,,
433,09/12/24 11:50:08 AM,6.11,88.38,,,,,,
434,09/12/24 12:50:08 PM,7.78,88.74,,,,,,
435,09/12/24 01:50:08 PM,7.31,89.10,,,,,,
436,09/12/24 02:50:08 PM,6.95,89.31,,,,,,
437,09/12/24 03:50:08 PM,7.51,89.17,,,,,,
