"Plot Title: 21909583"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21909583, SEN S/N: 21909583)","Temp, °F (LGR S/N: 21909583, SEN S/N: 21909583)","Expired Sensor Cap (LGR S/N: 21909583)","New Sensor Cap (LGR S/N: 21909583)","Coupler Attached (LGR S/N: 21909583)","Stopped (LGR S/N: 21909583)","End Of File (LGR S/N: 21909583)"
83,08/27/24 09:30:32 PM,0.07,86.90,,,,,
84,08/27/24 10:30:32 PM,0.05,87.01,,,,,
85,08/27/24 11:30:32 PM,0.04,87.12,,,,,
86,08/28/24 12:30:32 AM,0.05,87.33,,,,,
87,08/28/24 01:30:32 AM,0.04,87.37,,,,,
88,08/28/24 02:30:32 AM,0.03,87.37,,,,,
89,08/28/24 03:30:32 AM,0.03,87.30,,,,,
90,08/28/24 04:30:32 AM,0.03,86.76,,,,,
91,08/28/24 05:30:32 AM,0.02,86.72,,,,,
92,08/28/24 06:30:32 AM,0.02,86.72,,,,,
93,08/28/24 07:30:32 AM,0.02,86.76,,,,,
94,08/28/24 08:30:32 AM,0.15,86.79,,,,,
95,08/28/24 09:30:32 AM,1.84,86.86,,,,,
96,08/28/24 10:30:32 AM,10.54,86.97,,,,,
97,08/28/24 11:30:32 AM,21.38,87.04,,,,,
98,08/28/24 12:30:32 PM,35.45,87.22,,,,,
99,08/28/24 01:30:32 PM,37.95,87.51,,,,,
100,08/28/24 02:30:32 PM,16.03,87.37,,,,,
101,08/28/24 03:30:32 PM,29.08,87.55,,,,,
102,08/28/24 04:30:32 PM,25.97,87.51,,,,,
103,08/28/24 05:30:32 PM,21.13,87.66,,,,,
104,08/28/24 06:30:32 PM,17.87,87.44,,,,,
105,08/28/24 07:30:32 PM,10.52,87.44,,,,,
106,08/28/24 08:30:32 PM,0.33,87.33,,,,,
107,08/28/24 09:30:32 PM,0.07,87.55,,,,,
108,08/28/24 10:30:32 PM,0.04,87.44,,,,,
109,08/28/24 11:30:32 PM,0.03,87.26,,,,,
110,08/29/24 12:30:32 AM,0.03,87.22,,,,,
111,08/29/24 01:30:32 AM,0.02,87.37,,,,,
112,08/29/24 02:30:32 AM,0.02,87.40,,,,,
113,08/29/24 03:30:32 AM,0.01,87.22,,,,,
114,08/29/24 04:30:32 AM,0.02,87.26,,,,,
115,08/29/24 05:30:32 AM,0.01,87.04,,,,,
116,08/29/24 06:30:32 AM,0.02,86.90,,,,,
117,08/29/24 07:30:32 AM,0.02,86.79,,,,,
118,08/29/24 08:30:32 AM,0.17,86.79,,,,,
119,08/29/24 09:30:32 AM,2.61,86.83,,,,,
120,08/29/24 10:30:32 AM,8.60,86.90,,,,,
121,08/29/24 11:30:32 AM,17.27,87.08,,,,,
122,08/29/24 12:30:32 PM,30.58,87.33,,,,,
123,08/29/24 01:30:32 PM,36.54,87.66,,,,,
124,08/29/24 02:30:32 PM,34.51,87.94,,,,,
125,08/29/24 03:30:32 PM,28.66,88.12,,,,,
126,08/29/24 04:30:32 PM,25.72,87.76,,,,,
127,08/29/24 05:30:32 PM,22.16,87.15,,,,,
128,08/29/24 06:30:32 PM,20.63,87.08,,,,,
129,08/29/24 07:30:32 PM,13.26,87.26,,,,,
130,08/29/24 08:30:32 PM,1.56,87.30,,,,,
131,08/29/24 09:30:32 PM,0.24,87.33,,,,,
132,08/29/24 10:30:32 PM,0.07,87.37,,,,,
133,08/29/24 11:30:32 PM,0.05,87.37,,,,,
134,08/30/24 12:30:32 AM,0.05,87.33,,,,,
135,08/30/24 01:30:32 AM,0.05,87.51,,,,,
136,08/30/24 02:30:32 AM,0.05,87.51,,,,,
137,08/30/24 03:30:32 AM,0.03,87.12,,,,,
138,08/30/24 04:30:32 AM,0.02,86.83,,,,,
139,08/30/24 05:30:32 AM,0.02,86.43,,,,,
140,08/30/24 06:30:32 AM,0.02,86.97,,,,,
141,08/30/24 07:30:32 AM,0.01,86.76,,,,,
142,08/30/24 08:30:32 AM,0.04,86.86,,,,,
143,08/30/24 09:30:32 AM,2.82,87.01,,,,,
144,08/30/24 10:30:32 AM,6.23,87.01,,,,,
145,08/30/24 11:30:32 AM,16.56,87.19,,,,,
146,08/30/24 12:30:32 PM,22.97,87.19,,,,,
147,08/30/24 01:30:32 PM,35.90,87.69,,,,,
148,08/30/24 02:30:32 PM,27.87,88.34,,,,,
149,08/30/24 03:30:32 PM,27.40,88.56,,,,,
150,08/30/24 04:30:32 PM,22.72,88.59,,,,,
151,08/30/24 05:30:32 PM,22.39,87.66,,,,,
152,08/30/24 06:30:32 PM,18.04,87.98,,,,,
153,08/30/24 07:30:32 PM,8.48,87.94,,,,,
154,08/30/24 08:30:32 PM,0.23,87.73,,,,,
155,08/30/24 09:30:32 PM,0.08,87.69,,,,,
156,08/30/24 10:30:32 PM,0.04,87.66,,,,,
157,08/30/24 11:30:32 PM,0.04,87.76,,,,,
158,08/31/24 12:30:32 AM,0.04,87.80,,,,,
159,08/31/24 01:30:32 AM,0.03,87.94,,,,,
160,08/31/24 02:30:32 AM,0.02,88.05,,,,,
161,08/31/24 03:30:32 AM,0.02,88.16,,,,,
162,08/31/24 04:30:32 AM,0.02,88.05,,,,,
163,08/31/24 05:30:32 AM,0.02,87.40,,,,,
164,08/31/24 06:30:32 AM,0.02,87.33,,,,,
165,08/31/24 07:30:32 AM,0.01,87.26,,,,,
166,08/31/24 08:30:32 AM,0.13,87.19,,,,,
167,08/31/24 09:30:32 AM,2.53,87.30,,,,,
168,08/31/24 10:30:32 AM,6.64,87.30,,,,,
169,08/31/24 11:30:32 AM,14.77,87.44,,,,,
170,08/31/24 12:30:32 PM,19.93,87.55,,,,,
171,08/31/24 01:30:32 PM,26.93,88.02,,,,,
172,08/31/24 02:30:32 PM,29.31,88.59,,,,,
173,08/31/24 03:30:32 PM,29.93,88.84,,,,,
174,08/31/24 04:30:32 PM,23.25,88.84,,,,,
175,08/31/24 05:30:32 PM,18.64,88.66,,,,,
176,08/31/24 06:30:32 PM,14.59,88.20,,,,,
177,08/31/24 07:30:32 PM,7.08,88.05,,,,,
178,08/31/24 08:30:32 PM,0.23,87.94,,,,,
179,08/31/24 09:30:32 PM,0.10,87.87,,,,,
180,08/31/24 10:30:32 PM,0.07,87.80,,,,,
181,08/31/24 11:30:32 PM,0.07,88.09,,,,,
182,09/01/24 12:30:32 AM,0.05,87.76,,,,,
183,09/01/24 01:30:32 AM,0.04,87.73,,,,,
184,09/01/24 02:30:32 AM,0.04,87.76,,,,,
185,09/01/24 03:30:32 AM,0.03,87.91,,,,,
186,09/01/24 04:30:32 AM,0.04,87.98,,,,,
187,09/01/24 05:30:32 AM,0.03,87.69,,,,,
188,09/01/24 06:30:32 AM,0.03,87.58,,,,,
189,09/01/24 07:30:32 AM,0.01,87.22,,,,,
190,09/01/24 08:30:32 AM,0.08,87.30,,,,,
191,09/01/24 09:30:32 AM,1.43,87.40,,,,,
192,09/01/24 10:30:32 AM,7.03,87.51,,,,,
193,09/01/24 11:30:32 AM,14.66,87.69,,,,,
194,09/01/24 12:30:32 PM,23.71,87.87,,,,,
195,09/01/24 01:30:32 PM,33.20,88.05,,,,,
196,09/01/24 02:30:32 PM,32.60,88.27,,,,,
197,09/01/24 03:30:32 PM,32.83,88.45,,,,,
198,09/01/24 04:30:32 PM,26.14,88.63,,,,,
199,09/01/24 05:30:32 PM,20.46,88.45,,,,,
200,09/01/24 06:30:32 PM,16.14,87.40,,,,,
201,09/01/24 07:30:32 PM,8.18,87.51,,,,,
202,09/01/24 08:30:32 PM,0.26,87.76,,,,,
203,09/01/24 09:30:32 PM,0.10,88.02,,,,,
204,09/01/24 10:30:32 PM,0.07,87.98,,,,,
205,09/01/24 11:30:32 PM,0.04,87.94,,,,,
206,09/02/24 12:30:32 AM,0.04,87.84,,,,,
207,09/02/24 01:30:32 AM,0.04,87.73,,,,,
208,09/02/24 02:30:32 AM,0.03,87.30,,,,,
209,09/02/24 03:30:32 AM,0.02,87.30,,,,,
210,09/02/24 04:30:32 AM,0.02,87.58,,,,,
211,09/02/24 05:30:32 AM,0.01,87.69,,,,,
212,09/02/24 06:30:32 AM,0.01,87.66,,,,,
213,09/02/24 07:30:32 AM,0.01,87.55,,,,,
214,09/02/24 08:30:32 AM,0.13,87.30,,,,,
215,09/02/24 09:30:32 AM,12.02,87.15,,,,,
216,09/02/24 10:30:32 AM,18.52,87.40,,,,,
217,09/02/24 11:30:32 AM,31.69,87.48,,,,,
218,09/02/24 12:30:32 PM,34.94,87.66,,,,,
219,09/02/24 01:30:32 PM,31.84,87.84,,,,,
220,09/02/24 02:30:32 PM,32.21,88.09,,,,,
221,09/02/24 03:30:32 PM,32.31,88.30,,,,,
222,09/02/24 04:30:32 PM,34.48,88.23,,,,,
223,09/02/24 05:30:32 PM,36.70,88.23,,,,,
224,09/02/24 06:30:32 PM,31.03,88.16,,,,,
225,09/02/24 07:30:32 PM,14.06,88.05,,,,,
226,09/02/24 08:30:32 PM,0.61,87.91,,,,,
227,09/02/24 09:30:32 PM,0.11,87.80,,,,,
228,09/02/24 10:30:32 PM,0.04,87.76,,,,,
229,09/02/24 11:30:32 PM,0.03,87.76,,,,,
230,09/03/24 12:30:32 AM,0.02,87.94,,,,,
231,09/03/24 01:30:32 AM,0.02,88.05,,,,,
232,09/03/24 02:30:32 AM,0.02,88.23,,,,,
233,09/03/24 03:30:32 AM,0.01,88.23,,,,,
234,09/03/24 04:30:32 AM,0.01,87.66,,,,,
235,09/03/24 05:30:32 AM,0.00,87.51,,,,,
236,09/03/24 06:30:32 AM,0.00,87.69,,,,,
237,09/03/24 07:30:32 AM,0.00,87.55,,,,,
238,09/03/24 08:30:32 AM,0.14,87.48,,,,,
239,09/03/24 09:30:32 AM,7.82,87.30,,,,,
240,09/03/24 10:30:32 AM,29.87,87.69,,,,,
241,09/03/24 11:30:32 AM,33.67,87.62,,,,,
242,09/03/24 12:30:32 PM,32.43,87.80,,,,,
243,09/03/24 01:30:32 PM,33.47,87.98,,,,,
244,09/03/24 02:30:32 PM,32.33,88.12,,,,,
245,09/03/24 03:30:32 PM,31.68,88.27,,,,,
246,09/03/24 04:30:32 PM,32.31,88.45,,,,,
247,09/03/24 05:30:32 PM,35.12,88.41,,,,,
248,09/03/24 06:30:32 PM,28.73,88.20,,,,,
249,09/03/24 07:30:32 PM,14.52,87.98,,,,,
250,09/03/24 08:30:32 PM,0.42,87.87,,,,,
251,09/03/24 09:30:32 PM,0.09,87.87,,,,,
252,09/03/24 10:30:32 PM,0.04,87.87,,,,,
253,09/03/24 11:30:32 PM,0.02,87.80,,,,,
254,09/04/24 12:30:32 AM,0.02,87.94,,,,,
255,09/04/24 01:30:32 AM,0.02,88.09,,,,,
256,09/04/24 02:30:32 AM,0.01,88.20,,,,,
257,09/04/24 03:30:32 AM,0.01,87.84,,,,,
258,09/04/24 04:30:32 AM,0.01,87.76,,,,,
259,09/04/24 05:30:32 AM,0.01,87.73,,,,,
260,09/04/24 06:30:32 AM,0.00,87.69,,,,,
261,09/04/24 07:30:32 AM,0.00,87.66,,,,,
262,09/04/24 08:30:32 AM,0.05,87.66,,,,,
263,09/04/24 09:30:32 AM,0.75,87.58,,,,,
264,09/04/24 10:30:32 AM,3.23,87.58,,,,,
265,09/04/24 11:30:32 AM,24.31,87.76,,,,,
266,09/04/24 12:30:32 PM,32.22,87.98,,,,,
267,09/04/24 01:30:32 PM,33.13,88.09,,,,,
268,09/04/24 02:30:32 PM,27.15,87.84,,,,,
269,09/04/24 03:30:32 PM,31.68,88.05,,,,,
270,09/04/24 04:30:32 PM,34.89,88.27,,,,,
271,09/04/24 05:30:32 PM,31.94,88.23,,,,,
272,09/04/24 06:30:32 PM,31.13,87.98,,,,,
273,09/04/24 07:30:32 PM,8.62,87.73,,,,,
274,09/04/24 08:30:32 PM,0.36,87.62,,,,,
275,09/04/24 09:30:32 PM,0.10,87.58,,,,,
276,09/04/24 10:30:32 PM,0.04,87.55,,,,,
277,09/04/24 11:30:32 PM,0.03,87.58,,,,,
278,09/05/24 12:30:32 AM,0.02,87.58,,,,,
279,09/05/24 01:30:32 AM,0.02,87.55,,,,,
280,09/05/24 02:30:32 AM,0.01,87.55,,,,,
281,09/05/24 03:30:32 AM,0.01,87.48,,,,,
282,09/05/24 04:30:32 AM,0.01,87.48,,,,,
283,09/05/24 05:30:32 AM,0.01,87.40,,,,,
284,09/05/24 06:30:32 AM,0.01,87.40,,,,,
285,09/05/24 07:30:32 AM,0.01,87.37,,,,,
286,09/05/24 08:30:32 AM,0.01,87.30,,,,,
287,09/05/24 09:30:32 AM,0.02,87.33,,,,,
288,09/05/24 10:30:32 AM,0.13,87.33,,,,,
289,09/05/24 11:30:32 AM,3.63,87.37,,,,,
290,09/05/24 12:30:32 PM,20.44,87.44,,,,,
291,09/05/24 01:30:32 PM,32.05,87.51,,,,,
292,09/05/24 02:30:32 PM,36.93,87.62,,,,,
293,09/05/24 03:30:32 PM,35.84,87.69,,,,,
294,09/05/24 04:30:32 PM,32.33,87.69,,,,,
295,09/05/24 05:30:32 PM,11.10,87.44,,,,,
296,09/05/24 06:30:32 PM,1.34,87.51,,,,,
297,09/05/24 07:30:32 PM,0.27,87.48,,,,,
298,09/05/24 08:30:32 PM,0.07,87.30,,,,,
299,09/05/24 09:30:32 PM,0.03,87.26,,,,,
300,09/05/24 10:30:32 PM,0.02,87.22,,,,,
301,09/05/24 11:30:32 PM,0.02,87.22,,,,,
302,09/06/24 12:30:32 AM,0.01,87.19,,,,,
303,09/06/24 01:30:32 AM,0.01,87.19,,,,,
304,09/06/24 02:30:32 AM,0.01,87.12,,,,,
305,09/06/24 03:30:32 AM,0.01,87.12,,,,,
306,09/06/24 04:30:32 AM,0.01,87.01,,,,,
307,09/06/24 05:30:32 AM,0.01,87.01,,,,,
308,09/06/24 06:30:32 AM,0.01,87.08,,,,,
309,09/06/24 07:30:32 AM,0.01,87.08,,,,,
310,09/06/24 08:30:32 AM,0.01,87.08,,,,,
311,09/06/24 09:30:32 AM,0.04,86.86,,,,,
312,09/06/24 10:30:32 AM,1.29,86.76,,,,,
313,09/06/24 11:30:32 AM,12.78,86.72,,,,,
314,09/06/24 12:30:32 PM,20.30,86.79,,,,,
315,09/06/24 01:30:32 PM,25.06,86.83,,,,,
316,09/06/24 02:30:32 PM,29.58,87.04,,,,,
317,09/06/24 03:30:32 PM,13.53,86.79,,,,,
318,09/06/24 04:30:32 PM,13.11,86.83,,,,,
319,09/06/24 05:30:32 PM,14.63,87.26,,,,,
320,09/06/24 06:30:32 PM,9.03,87.15,,,,,
321,09/06/24 07:30:32 PM,1.39,87.15,,,,,
322,09/06/24 08:30:32 PM,0.15,87.15,,,,,
323,09/06/24 09:30:32 PM,0.05,86.94,,,,,
324,09/06/24 10:30:32 PM,0.04,86.90,,,,,
325,09/06/24 11:30:32 PM,0.04,86.90,,,,,
326,09/07/24 12:30:32 AM,0.03,86.90,,,,,
327,09/07/24 01:30:32 AM,0.03,86.90,,,,,
328,09/07/24 02:30:32 AM,0.02,86.86,,,,,
329,09/07/24 03:30:32 AM,0.02,86.86,,,,,
330,09/07/24 04:30:32 AM,0.02,86.83,,,,,
331,09/07/24 05:30:32 AM,0.01,86.50,,,,,
332,09/07/24 06:30:32 AM,0.02,86.76,,,,,
333,09/07/24 07:30:32 AM,0.01,86.36,,,,,
334,09/07/24 08:30:32 AM,0.11,86.32,,,,,
335,09/07/24 09:30:32 AM,3.42,86.47,,,,,
336,09/07/24 10:30:32 AM,13.45,86.58,,,,,
337,09/07/24 11:30:32 AM,22.27,86.72,,,,,
338,09/07/24 12:30:32 PM,30.12,86.83,,,,,
339,09/07/24 01:30:32 PM,37.89,86.86,,,,,
340,09/07/24 02:30:32 PM,-888.88,87.04,,,,,
341,09/07/24 03:30:32 PM,-888.88,87.19,,,,,
342,09/07/24 04:30:32 PM,36.29,87.19,,,,,
343,09/07/24 05:30:32 PM,25.31,87.33,,,,,
344,09/07/24 06:30:32 PM,15.98,87.30,,,,,
345,09/07/24 07:30:32 PM,2.86,87.30,,,,,
346,09/07/24 08:30:32 PM,0.22,87.33,,,,,
347,09/07/24 09:30:32 PM,0.09,87.04,,,,,
348,09/07/24 10:30:32 PM,0.04,86.90,,,,,
349,09/07/24 11:30:32 PM,0.03,86.86,,,,,
350,09/08/24 12:30:32 AM,0.02,86.90,,,,,
351,09/08/24 01:30:32 AM,0.02,86.94,,,,,
352,09/08/24 02:30:32 AM,0.01,86.97,,,,,
353,09/08/24 03:30:32 AM,0.01,86.68,,,,,
354,09/08/24 04:30:32 AM,0.01,86.61,,,,,
355,09/08/24 05:30:32 AM,0.00,86.61,,,,,
356,09/08/24 06:30:32 AM,0.00,86.61,,,,,
357,09/08/24 07:30:32 AM,0.00,86.65,,,,,
358,09/08/24 08:30:32 AM,1.08,86.72,,,,,
359,09/08/24 09:30:32 AM,9.57,86.76,,,,,
360,09/08/24 10:30:32 AM,19.72,86.86,,,,,
361,09/08/24 11:30:32 AM,24.21,87.01,,,,,
362,09/08/24 12:30:32 PM,26.31,87.15,,,,,
363,09/08/24 01:30:32 PM,29.66,87.22,,,,,
364,09/08/24 02:30:32 PM,37.77,87.44,,,,,
365,09/08/24 03:30:32 PM,-888.88,87.55,,,,,
366,09/08/24 04:30:32 PM,-888.88,87.66,,,,,
367,09/08/24 05:30:32 PM,35.53,87.58,,,,,
368,09/08/24 06:30:32 PM,20.43,87.62,,,,,
369,09/08/24 07:30:32 PM,4.86,87.73,,,,,
370,09/08/24 08:30:32 PM,0.29,87.76,,,,,
371,09/08/24 09:30:32 PM,0.12,87.84,,,,,
372,09/08/24 10:30:32 PM,0.07,87.87,,,,,
373,09/08/24 11:30:32 PM,0.04,87.91,,,,,
374,09/09/24 12:30:32 AM,0.04,87.98,,,,,
375,09/09/24 01:30:32 AM,0.03,88.09,,,,,
376,09/09/24 02:30:32 AM,0.02,88.09,,,,,
377,09/09/24 03:30:32 AM,0.01,87.98,,,,,
378,09/09/24 04:30:32 AM,0.01,87.91,,,,,
379,09/09/24 05:30:32 AM,0.01,88.02,,,,,
380,09/09/24 06:30:32 AM,0.01,88.02,,,,,
381,09/09/24 07:30:32 AM,0.00,87.91,,,,,
382,09/09/24 08:30:32 AM,0.04,87.94,,,,,
383,09/09/24 09:30:32 AM,5.00,88.05,,,,,
384,09/09/24 10:30:32 AM,14.64,87.94,,,,,
385,09/09/24 11:30:32 AM,22.23,87.80,,,,,
386,09/09/24 12:30:32 PM,27.44,87.30,,,,,
387,09/09/24 01:30:32 PM,32.95,86.83,,,,,
388,09/09/24 02:30:32 PM,-888.88,86.86,,,,,
389,09/09/24 03:30:32 PM,-888.88,86.94,,,,,
390,09/09/24 04:30:32 PM,-888.88,87.01,,,,,
391,09/09/24 05:30:32 PM,35.80,87.04,,,,,
392,09/09/24 06:30:32 PM,21.81,87.12,,,,,
393,09/09/24 07:30:32 PM,5.83,87.15,,,,,
394,09/09/24 08:30:32 PM,0.33,87.33,,,,,
395,09/09/24 09:30:32 PM,0.12,87.87,,,,,
396,09/09/24 10:30:32 PM,0.05,87.62,,,,,
397,09/09/24 11:30:32 PM,0.04,87.73,,,,,
398,09/10/24 12:30:32 AM,0.03,87.66,,,,,
399,09/10/24 01:30:32 AM,0.03,87.51,,,,,
400,09/10/24 02:30:32 AM,0.02,87.30,,,,,
401,09/10/24 03:30:32 AM,0.01,87.48,,,,,
402,09/10/24 04:30:32 AM,0.01,87.08,,,,,
403,09/10/24 05:30:32 AM,0.00,86.83,,,,,
404,09/10/24 06:30:32 AM,0.00,86.79,,,,,
405,09/10/24 07:30:32 AM,0.00,86.90,,,,,
406,09/10/24 08:30:32 AM,0.12,86.94,,,,,
407,09/10/24 09:30:32 AM,5.11,87.04,,,,,
408,09/10/24 10:30:32 AM,11.22,87.19,,,,,
409,09/10/24 11:30:32 AM,21.63,87.37,,,,,
410,09/10/24 12:30:32 PM,27.89,87.48,,,,,
411,09/10/24 01:30:32 PM,34.01,87.48,,,,,
412,09/10/24 02:30:32 PM,-888.88,87.58,,,,,
413,09/10/24 03:30:32 PM,-888.88,87.91,,,,,
414,09/10/24 04:30:32 PM,-888.88,87.94,,,,,
415,09/10/24 05:30:32 PM,31.50,87.91,,,,,
416,09/10/24 06:30:32 PM,18.98,88.02,,,,,
417,09/10/24 07:30:32 PM,4.42,87.80,,,,,
418,09/10/24 08:30:32 PM,0.28,87.87,,,,,
419,09/10/24 09:30:32 PM,0.09,87.91,,,,,
420,09/10/24 10:30:32 PM,0.02,87.91,,,,,
421,09/10/24 11:30:32 PM,0.02,87.84,,,,,
422,09/11/24 12:30:32 AM,0.01,87.87,,,,,
423,09/11/24 01:30:32 AM,0.01,88.02,,,,,
424,09/11/24 02:30:32 AM,0.01,88.05,,,,,
425,09/11/24 03:30:32 AM,0.01,87.94,,,,,
426,09/11/24 04:30:32 AM,0.01,87.87,,,,,
427,09/11/24 05:30:32 AM,0.01,87.87,,,,,
428,09/11/24 06:30:32 AM,0.00,87.91,,,,,
429,09/11/24 07:30:32 AM,0.00,87.84,,,,,
430,09/11/24 08:30:32 AM,0.15,87.76,,,,,
431,09/11/24 09:30:32 AM,8.33,87.76,,,,,
432,09/11/24 10:30:32 AM,17.85,87.91,,,,,
433,09/11/24 11:30:32 AM,21.12,87.91,,,,,
434,09/11/24 12:30:32 PM,26.15,87.87,,,,,
435,09/11/24 01:30:32 PM,29.19,87.66,,,,,
436,09/11/24 02:30:32 PM,34.53,87.76,,,,,
437,09/11/24 03:30:32 PM,-888.88,87.73,,,,,
438,09/11/24 04:30:32 PM,-888.88,87.62,,,,,
439,09/11/24 05:30:32 PM,-888.88,87.55,,,,,
440,09/11/24 06:30:32 PM,27.52,87.51,,,,,
441,09/11/24 07:30:32 PM,8.32,87.51,,,,,
442,09/11/24 08:30:32 PM,0.36,87.69,,,,,
443,09/11/24 09:30:32 PM,0.13,88.27,,,,,
444,09/11/24 10:30:32 PM,0.08,88.52,,,,,
445,09/11/24 11:30:32 PM,0.05,88.56,,,,,
446,09/12/24 12:30:32 AM,0.04,88.45,,,,,
447,09/12/24 01:30:32 AM,0.03,88.27,,,,,
448,09/12/24 02:30:32 AM,0.02,88.23,,,,,
449,09/12/24 03:30:32 AM,0.02,87.91,,,,,
450,09/12/24 04:30:32 AM,0.02,87.44,,,,,
451,09/12/24 05:30:32 AM,0.02,87.44,,,,,
452,09/12/24 06:30:32 AM,0.01,87.44,,,,,
