"Plot Title: 21909587"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21909587, SEN S/N: 21909587)","Temp, °F (LGR S/N: 21909587, SEN S/N: 21909587)","Expired Sensor Cap (LGR S/N: 21909587)","Coupler Attached (LGR S/N: 21909587)","Host Connected (LGR S/N: 21909587)","Stopped (LGR S/N: 21909587)","End Of File (LGR S/N: 21909587)"
239,09/03/24 02:31:45 PM,13.36,88.41,,,,,
240,09/03/24 03:31:45 PM,13.10,88.59,,,,,
241,09/03/24 04:31:45 PM,14.48,88.63,,,,,
242,09/03/24 05:31:45 PM,13.43,88.56,,,,,
243,09/03/24 06:31:45 PM,7.56,88.38,,,,,
244,09/03/24 07:31:45 PM,3.22,88.23,,,,,
245,09/03/24 08:31:45 PM,2.83,88.41,,,,,
246,09/03/24 09:31:45 PM,2.08,88.66,,,,,
247,09/03/24 10:31:45 PM,1.74,88.59,,,,,
248,09/03/24 11:31:45 PM,1.50,88.48,,,,,
249,09/04/24 12:31:45 AM,2.11,88.45,,,,,
250,09/04/24 01:31:45 AM,2.50,88.23,,,,,
251,09/04/24 02:31:45 AM,2.24,88.12,,,,,
252,09/04/24 03:31:45 AM,2.02,87.80,,,,,
253,09/04/24 04:31:45 AM,1.87,87.51,,,,,
254,09/04/24 05:31:45 AM,1.80,87.48,,,,,
255,09/04/24 06:31:45 AM,1.00,87.26,,,,,
256,09/04/24 07:31:45 AM,0.78,87.19,,,,,
257,09/04/24 08:31:45 AM,1.86,87.33,,,,,
258,09/04/24 09:31:45 AM,2.01,87.37,,,,,
259,09/04/24 10:31:45 AM,1.91,87.44,,,,,
260,09/04/24 11:31:45 AM,5.66,87.22,,,,,
261,09/04/24 12:31:45 PM,8.09,87.69,,,,,
262,09/04/24 01:31:45 PM,10.73,88.09,,,,,
263,09/04/24 02:31:45 PM,11.64,88.27,,,,,
264,09/04/24 03:31:45 PM,13.92,88.23,,,,,
265,09/04/24 04:31:45 PM,17.17,88.38,,,,,
266,09/04/24 05:31:45 PM,10.54,88.23,,,,,
267,09/04/24 06:31:45 PM,9.18,88.12,,,,,
268,09/04/24 07:31:45 PM,3.20,87.98,,,,,
269,09/04/24 08:31:45 PM,2.05,88.48,,,,,
270,09/04/24 09:31:45 PM,1.83,88.38,,,,,
271,09/04/24 10:31:45 PM,1.59,88.09,,,,,
272,09/04/24 11:31:45 PM,1.68,88.05,,,,,
273,09/05/24 12:31:45 AM,1.72,88.09,,,,,
274,09/05/24 01:31:45 AM,1.78,88.05,,,,,
275,09/05/24 02:31:45 AM,1.51,87.91,,,,,
276,09/05/24 03:31:45 AM,1.24,87.66,,,,,
277,09/05/24 04:31:45 AM,1.39,87.51,,,,,
278,09/05/24 05:31:45 AM,1.43,87.51,,,,,
279,09/05/24 06:31:45 AM,1.45,87.48,,,,,
280,09/05/24 07:31:45 AM,1.08,87.55,,,,,
281,09/05/24 08:31:45 AM,0.73,87.48,,,,,
282,09/05/24 09:31:45 AM,0.92,87.30,,,,,
283,09/05/24 10:31:45 AM,1.64,87.30,,,,,
284,09/05/24 11:31:45 AM,2.66,87.30,,,,,
285,09/05/24 12:31:45 PM,6.86,87.33,,,,,
286,09/05/24 01:31:45 PM,8.42,87.58,,,,,
287,09/05/24 02:31:45 PM,11.28,87.91,,,,,
288,09/05/24 03:31:45 PM,10.24,88.05,,,,,
289,09/05/24 04:31:45 PM,7.81,87.98,,,,,
290,09/05/24 05:31:45 PM,4.09,87.80,,,,,
291,09/05/24 06:31:45 PM,3.01,87.73,,,,,
292,09/05/24 07:31:45 PM,1.84,87.80,,,,,
293,09/05/24 08:31:45 PM,1.58,87.69,,,,,
294,09/05/24 09:31:45 PM,1.73,87.84,,,,,
295,09/05/24 10:31:45 PM,1.95,87.80,,,,,
296,09/05/24 11:31:45 PM,1.44,87.80,,,,,
297,09/06/24 12:31:45 AM,1.59,87.73,,,,,
298,09/06/24 01:31:45 AM,2.99,87.40,,,,,
299,09/06/24 02:31:45 AM,2.66,87.37,,,,,
300,09/06/24 03:31:45 AM,2.52,87.37,,,,,
301,09/06/24 04:31:45 AM,2.17,87.15,,,,,
302,09/06/24 05:31:45 AM,0.97,87.51,,,,,
303,09/06/24 06:31:45 AM,1.69,87.01,,,,,
304,09/06/24 07:31:45 AM,1.64,86.72,,,,,
305,09/06/24 08:31:45 AM,1.53,87.33,,,,,
306,09/06/24 09:31:45 AM,1.78,87.58,,,,,
307,09/06/24 10:31:45 AM,3.04,87.30,,,,,
308,09/06/24 11:31:45 AM,6.06,87.30,,,,,
309,09/06/24 12:31:45 PM,7.17,86.68,,,,,
310,09/06/24 01:31:45 PM,8.53,86.61,,,,,
311,09/06/24 02:31:45 PM,12.49,87.04,,,,,
312,09/06/24 03:31:45 PM,7.35,87.80,,,,,
313,09/06/24 04:31:45 PM,6.91,87.66,,,,,
314,09/06/24 05:31:45 PM,6.15,87.62,,,,,
315,09/06/24 06:31:45 PM,4.96,87.04,,,,,
316,09/06/24 07:31:45 PM,3.30,87.01,,,,,
317,09/06/24 08:31:45 PM,2.74,86.90,,,,,
318,09/06/24 09:31:45 PM,1.90,86.90,,,,,
319,09/06/24 10:31:45 PM,1.05,86.83,,,,,
320,09/06/24 11:31:45 PM,0.32,87.30,,,,,
321,09/07/24 12:31:45 AM,0.36,87.87,,,,,
322,09/07/24 01:31:45 AM,0.27,87.87,,,,,
323,09/07/24 02:31:45 AM,0.46,87.87,,,,,
324,09/07/24 03:31:45 AM,0.26,87.84,,,,,
325,09/07/24 04:31:45 AM,0.34,87.84,,,,,
326,09/07/24 05:31:45 AM,2.34,86.11,,,,,
327,09/07/24 06:31:45 AM,2.33,85.86,,,,,
328,09/07/24 07:31:45 AM,2.21,85.75,,,,,
329,09/07/24 08:31:45 AM,2.19,85.78,,,,,
330,09/07/24 09:31:45 AM,3.60,85.78,,,,,
331,09/07/24 10:31:45 AM,5.17,85.86,,,,,
332,09/07/24 11:31:45 AM,6.17,86.04,,,,,
333,09/07/24 12:31:45 PM,7.99,86.32,,,,,
334,09/07/24 01:31:45 PM,9.67,86.65,,,,,
335,09/07/24 02:31:45 PM,14.09,87.01,,,,,
336,09/07/24 03:31:45 PM,17.82,87.40,,,,,
337,09/07/24 04:31:45 PM,18.80,87.19,,,,,
338,09/07/24 05:31:45 PM,10.41,87.40,,,,,
339,09/07/24 06:31:45 PM,8.02,87.33,,,,,
340,09/07/24 07:31:45 PM,2.07,87.22,,,,,
341,09/07/24 08:31:45 PM,1.54,87.26,,,,,
342,09/07/24 09:31:45 PM,1.43,87.51,,,,,
343,09/07/24 10:31:45 PM,1.72,87.80,,,,,
344,09/07/24 11:31:45 PM,1.21,87.76,,,,,
345,09/08/24 12:31:45 AM,0.68,87.76,,,,,
346,09/08/24 01:31:45 AM,0.95,87.76,,,,,
347,09/08/24 02:31:45 AM,0.48,87.73,,,,,
348,09/08/24 03:31:45 AM,0.20,87.73,,,,,
349,09/08/24 04:31:45 AM,0.04,87.69,,,,,
350,09/08/24 05:31:45 AM,1.21,87.58,,,,,
351,09/08/24 06:31:45 AM,1.82,87.48,,,,,
352,09/08/24 07:31:45 AM,2.01,87.26,,,,,
353,09/08/24 08:31:45 AM,3.31,86.79,,,,,
354,09/08/24 09:31:45 AM,4.60,86.68,,,,,
355,09/08/24 10:31:45 AM,6.34,86.61,,,,,
356,09/08/24 11:31:45 AM,7.21,86.94,,,,,
357,09/08/24 12:31:45 PM,7.85,87.26,,,,,
358,09/08/24 01:31:45 PM,10.51,87.48,,,,,
359,09/08/24 02:31:45 PM,15.24,88.23,,,,,
360,09/08/24 03:31:45 PM,19.36,88.63,,,,,
361,09/08/24 04:31:45 PM,20.83,88.27,,,,,
362,09/08/24 05:31:45 PM,17.70,87.84,,,,,
363,09/08/24 06:31:45 PM,11.80,87.69,,,,,
364,09/08/24 07:31:45 PM,4.37,87.30,,,,,
365,09/08/24 08:31:45 PM,1.61,86.97,,,,,
366,09/08/24 09:31:45 PM,1.20,87.33,,,,,
367,09/08/24 10:31:45 PM,1.16,87.40,,,,,
368,09/08/24 11:31:45 PM,1.19,87.40,,,,,
369,09/09/24 12:31:45 AM,1.71,87.22,,,,,
370,09/09/24 01:31:45 AM,0.83,87.30,,,,,
371,09/09/24 02:31:45 AM,0.57,87.33,,,,,
372,09/09/24 03:31:45 AM,1.57,87.19,,,,,
373,09/09/24 04:31:45 AM,1.42,87.08,,,,,
374,09/09/24 05:31:45 AM,2.34,86.79,,,,,
375,09/09/24 06:31:45 AM,2.27,86.76,,,,,
376,09/09/24 07:31:45 AM,1.59,86.76,,,,,
377,09/09/24 08:31:45 AM,1.71,86.72,,,,,
378,09/09/24 09:31:45 AM,4.34,86.68,,,,,
379,09/09/24 10:31:45 AM,6.09,86.54,,,,,
380,09/09/24 11:31:45 AM,6.69,86.83,,,,,
381,09/09/24 12:31:45 PM,7.37,87.12,,,,,
382,09/09/24 01:31:45 PM,8.16,87.69,,,,,
383,09/09/24 02:31:45 PM,10.35,88.12,,,,,
384,09/09/24 03:31:45 PM,12.88,88.41,,,,,
385,09/09/24 04:31:45 PM,16.12,88.27,,,,,
386,09/09/24 05:31:45 PM,14.61,87.98,,,,,
387,09/09/24 06:31:45 PM,10.39,88.16,,,,,
388,09/09/24 07:31:45 PM,3.73,88.12,,,,,
389,09/09/24 08:31:45 PM,1.81,88.09,,,,,
390,09/09/24 09:31:45 PM,1.12,88.05,,,,,
391,09/09/24 10:31:45 PM,1.54,87.84,,,,,
392,09/09/24 11:31:45 PM,0.91,88.02,,,,,
393,09/10/24 12:31:45 AM,1.12,88.02,,,,,
394,09/10/24 01:31:45 AM,1.73,88.02,,,,,
395,09/10/24 02:31:45 AM,1.55,88.02,,,,,
396,09/10/24 03:31:45 AM,1.58,88.02,,,,,
397,09/10/24 04:31:45 AM,1.42,88.02,,,,,
398,09/10/24 05:31:45 AM,1.22,88.02,,,,,
399,09/10/24 06:31:45 AM,0.46,87.98,,,,,
400,09/10/24 07:31:45 AM,0.15,87.94,,,,,
401,09/10/24 08:31:45 AM,1.78,87.84,,,,,
402,09/10/24 09:31:45 AM,3.61,87.84,,,,,
403,09/10/24 10:31:45 AM,4.90,88.05,,,,,
404,09/10/24 11:31:45 AM,7.08,88.27,,,,,
405,09/10/24 12:31:45 PM,6.86,88.30,,,,,
406,09/10/24 01:31:45 PM,9.25,88.52,,,,,
407,09/10/24 02:31:45 PM,12.37,88.70,,,,,
408,09/10/24 03:31:45 PM,14.87,88.88,,,,,
409,09/10/24 04:31:45 PM,18.42,89.64,,,,,
410,09/10/24 05:31:45 PM,17.23,89.89,,,,,
411,09/10/24 06:31:45 PM,10.53,88.74,,,,,
412,09/10/24 07:31:45 PM,3.66,88.41,,,,,
413,09/10/24 08:31:45 PM,1.95,88.38,,,,,
414,09/10/24 09:31:45 PM,1.84,88.09,,,,,
415,09/10/24 10:31:45 PM,1.74,87.94,,,,,
416,09/10/24 11:31:45 PM,1.45,87.91,,,,,
417,09/11/24 12:31:45 AM,1.55,87.91,,,,,
418,09/11/24 01:31:45 AM,1.43,87.84,,,,,
419,09/11/24 02:31:45 AM,1.02,87.84,,,,,
420,09/11/24 03:31:45 AM,1.41,87.91,,,,,
421,09/11/24 04:31:45 AM,0.59,88.05,,,,,
422,09/11/24 05:31:45 AM,0.59,88.05,,,,,
423,09/11/24 06:31:45 AM,1.62,88.12,,,,,
424,09/11/24 07:31:45 AM,1.49,87.80,,,,,
425,09/11/24 08:31:45 AM,1.80,87.40,,,,,
426,09/11/24 09:31:45 AM,2.43,87.51,,,,,
427,09/11/24 10:31:45 AM,3.49,87.69,,,,,
428,09/11/24 11:31:45 AM,3.61,87.76,,,,,
429,09/11/24 12:31:45 PM,1.67,87.62,,,,,
430,09/11/24 01:31:45 PM,2.21,88.20,,,,,
431,09/11/24 02:31:45 PM,4.60,88.99,,,,,
432,09/11/24 03:31:45 PM,3.09,89.67,,,,,
433,09/11/24 04:31:45 PM,5.02,89.89,,,,,
434,09/11/24 05:31:45 PM,7.51,89.49,,,,,
435,09/11/24 06:31:45 PM,4.67,88.63,,,,,
436,09/11/24 07:31:45 PM,1.98,88.16,,,,,
437,09/11/24 08:31:45 PM,1.92,87.84,,,,,
438,09/11/24 09:31:45 PM,1.41,87.87,,,,,
439,09/11/24 10:31:45 PM,1.83,87.73,,,,,
440,09/11/24 11:31:45 PM,1.68,87.91,,,,,
441,09/12/24 12:31:45 AM,1.63,87.87,,,,,
442,09/12/24 01:31:45 AM,1.49,87.87,,,,,
443,09/12/24 02:31:45 AM,0.58,87.91,,,,,
444,09/12/24 03:31:45 AM,0.79,88.05,,,,,
445,09/12/24 04:31:45 AM,1.02,88.16,,,,,
446,09/12/24 05:31:45 AM,1.04,88.20,,,,,
447,09/12/24 06:31:45 AM,1.01,88.23,,,,,
448,09/12/24 07:31:45 AM,0.30,88.20,,,,,
449,09/12/24 08:31:45 AM,0.23,88.23,,,,,
450,09/12/24 09:31:45 AM,1.06,88.34,,,,,
451,09/12/24 10:31:45 AM,4.14,88.52,,,,,
452,09/12/24 11:31:45 AM,6.24,88.41,,,,,
453,09/12/24 12:31:45 PM,8.49,88.41,,,,,
