"Plot Title: 21909585"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21909585, SEN S/N: 21909585)","Temp, °F (LGR S/N: 21909585, SEN S/N: 21909585)","Expired Sensor Cap (LGR S/N: 21909585)","New Sensor Cap (LGR S/N: 21909585)","Coupler Attached (LGR S/N: 21909585)","Coupler Detached (LGR S/N: 21909585)","Stopped (LGR S/N: 21909585)","End Of File (LGR S/N: 21909585)"
167,08/30/24 09:57:10 AM,8.58,86.79,,,,,,
168,08/30/24 10:57:10 AM,8.62,86.72,,,,,,
169,08/30/24 11:57:10 AM,9.00,86.76,,,,,,
170,08/30/24 12:57:10 PM,7.39,86.83,,,,,,
171,08/30/24 01:57:10 PM,9.46,87.01,,,,,,
172,08/30/24 02:57:10 PM,10.20,87.01,,,,,,
173,08/30/24 03:57:10 PM,10.18,87.12,,,,,,
174,08/30/24 04:57:10 PM,9.51,86.97,,,,,,
175,08/30/24 05:57:10 PM,8.53,86.90,,,,,,
176,08/30/24 06:57:10 PM,6.62,86.97,,,,,,
177,08/30/24 07:57:10 PM,4.81,87.15,,,,,,
178,08/30/24 08:57:10 PM,4.56,87.19,,,,,,
179,08/30/24 09:57:10 PM,4.36,87.12,,,,,,
180,08/30/24 10:57:10 PM,4.27,87.12,,,,,,
181,08/30/24 11:57:10 PM,4.05,87.08,,,,,,
182,08/31/24 12:57:10 AM,3.68,87.04,,,,,,
183,08/31/24 01:57:10 AM,4.02,87.01,,,,,,
184,08/31/24 02:57:10 AM,3.93,87.01,,,,,,
185,08/31/24 03:57:10 AM,4.22,86.97,,,,,,
186,08/31/24 04:57:10 AM,4.10,86.97,,,,,,
187,08/31/24 05:57:10 AM,3.90,86.94,,,,,,
188,08/31/24 06:57:10 AM,4.20,86.94,,,,,,
189,08/31/24 07:57:10 AM,4.34,86.94,,,,,,
190,08/31/24 08:57:10 AM,6.04,86.94,,,,,,
191,08/31/24 09:57:10 AM,9.07,86.97,,,,,,
192,08/31/24 10:57:10 AM,11.70,87.04,,,,,,
193,08/31/24 11:57:10 AM,10.99,87.04,,,,,,
194,08/31/24 12:57:10 PM,11.00,87.19,,,,,,
195,08/31/24 01:57:10 PM,9.78,87.30,,,,,,
196,08/31/24 02:57:10 PM,10.28,87.51,,,,,,
197,08/31/24 03:57:10 PM,9.81,87.62,,,,,,
198,08/31/24 04:57:10 PM,9.46,87.66,,,,,,
199,08/31/24 05:57:10 PM,8.02,87.37,,,,,,
200,08/31/24 06:57:10 PM,6.03,87.08,,,,,,
201,08/31/24 07:57:10 PM,4.81,87.04,,,,,,
202,08/31/24 08:57:10 PM,4.45,87.01,,,,,,
203,08/31/24 09:57:10 PM,4.35,87.33,,,,,,
204,08/31/24 10:57:10 PM,4.72,87.37,,,,,,
205,08/31/24 11:57:10 PM,4.52,87.30,,,,,,
206,09/01/24 12:57:10 AM,4.12,87.26,,,,,,
207,09/01/24 01:57:10 AM,3.43,87.08,,,,,,
208,09/01/24 02:57:10 AM,3.99,87.19,,,,,,
209,09/01/24 03:57:10 AM,3.94,87.22,,,,,,
210,09/01/24 04:57:10 AM,3.72,87.19,,,,,,
211,09/01/24 05:57:10 AM,3.66,87.22,,,,,,
212,09/01/24 06:57:10 AM,3.73,87.26,,,,,,
213,09/01/24 07:57:10 AM,3.81,87.26,,,,,,
214,09/01/24 08:57:10 AM,5.54,87.30,,,,,,
215,09/01/24 09:57:10 AM,10.09,87.33,,,,,,
216,09/01/24 10:57:10 AM,13.47,87.40,,,,,,
217,09/01/24 11:57:10 AM,10.89,87.40,,,,,,
218,09/01/24 12:57:10 PM,8.11,87.37,,,,,,
219,09/01/24 01:57:10 PM,8.95,87.51,,,,,,
220,09/01/24 02:57:10 PM,10.31,87.62,,,,,,
221,09/01/24 03:57:10 PM,9.35,87.80,,,,,,
222,09/01/24 04:57:10 PM,10.14,87.66,,,,,,
223,09/01/24 05:57:10 PM,8.52,87.26,,,,,,
224,09/01/24 06:57:10 PM,6.17,87.04,,,,,,
225,09/01/24 07:57:10 PM,4.47,86.90,,,,,,
226,09/01/24 08:57:10 PM,4.10,87.04,,,,,,
227,09/01/24 09:57:10 PM,4.06,87.08,,,,,,
228,09/01/24 10:57:10 PM,3.73,87.22,,,,,,
229,09/01/24 11:57:10 PM,3.87,87.44,,,,,,
230,09/02/24 12:57:10 AM,3.79,87.37,,,,,,
231,09/02/24 01:57:10 AM,3.18,87.26,,,,,,
232,09/02/24 02:57:10 AM,3.59,87.40,,,,,,
233,09/02/24 03:57:10 AM,2.90,87.26,,,,,,
234,09/02/24 04:57:10 AM,2.70,87.26,,,,,,
235,09/02/24 05:57:10 AM,3.37,87.33,,,,,,
236,09/02/24 06:57:10 AM,3.57,87.26,,,,,,
237,09/02/24 07:57:10 AM,3.82,87.22,,,,,,
238,09/02/24 08:57:10 AM,4.95,87.15,,,,,,
239,09/02/24 09:57:10 AM,8.24,87.12,,,,,,
240,09/02/24 10:57:10 AM,7.49,87.08,,,,,,
241,09/02/24 11:57:10 AM,11.12,87.12,,,,,,
242,09/02/24 12:57:10 PM,9.85,87.26,,,,,,
243,09/02/24 01:57:10 PM,9.83,87.40,,,,,,
244,09/02/24 02:57:10 PM,10.25,87.55,,,,,,
245,09/02/24 03:57:10 PM,10.53,87.55,,,,,,
246,09/02/24 04:57:10 PM,10.30,87.51,,,,,,
247,09/02/24 05:57:10 PM,7.90,87.33,,,,,,
248,09/02/24 06:57:10 PM,5.83,87.69,,,,,,
249,09/02/24 07:57:10 PM,4.33,87.76,,,,,,
250,09/02/24 08:57:10 PM,4.46,87.62,,,,,,
251,09/02/24 09:57:10 PM,4.43,87.44,,,,,,
252,09/02/24 10:57:10 PM,4.55,87.44,,,,,,
253,09/02/24 11:57:10 PM,4.27,87.40,,,,,,
254,09/03/24 12:57:10 AM,4.33,87.33,,,,,,
255,09/03/24 01:57:10 AM,4.18,87.22,,,,,,
256,09/03/24 02:57:10 AM,3.90,87.15,,,,,,
257,09/03/24 03:57:10 AM,3.74,86.94,,,,,,
258,09/03/24 04:57:10 AM,3.66,87.01,,,,,,
259,09/03/24 05:57:10 AM,3.36,87.08,,,,,,
260,09/03/24 06:57:10 AM,3.37,87.15,,,,,,
261,09/03/24 07:57:10 AM,4.08,87.30,,,,,,
262,09/03/24 08:57:10 AM,5.63,87.37,,,,,,
263,09/03/24 09:57:10 AM,9.49,87.40,,,,,,
264,09/03/24 10:57:10 AM,10.58,87.51,,,,,,
265,09/03/24 11:57:10 AM,11.16,87.66,,,,,,
266,09/03/24 12:57:10 PM,11.37,87.87,,,,,,
267,09/03/24 01:57:10 PM,11.02,88.05,,,,,,
268,09/03/24 02:57:10 PM,11.18,88.12,,,,,,
269,09/03/24 03:57:10 PM,10.00,88.30,,,,,,
270,09/03/24 04:57:10 PM,9.57,88.23,,,,,,
271,09/03/24 05:57:10 PM,8.28,88.23,,,,,,
272,09/03/24 06:57:10 PM,5.86,87.66,,,,,,
273,09/03/24 07:57:10 PM,4.34,87.51,,,,,,
274,09/03/24 08:57:10 PM,4.09,87.66,,,,,,
275,09/03/24 09:57:10 PM,4.12,87.58,,,,,,
276,09/03/24 10:57:10 PM,4.14,87.51,,,,,,
277,09/03/24 11:57:10 PM,4.30,87.48,,,,,,
278,09/04/24 12:57:10 AM,4.18,87.44,,,,,,
279,09/04/24 01:57:10 AM,4.11,87.40,,,,,,
280,09/04/24 02:57:10 AM,3.98,87.37,,,,,,
281,09/04/24 03:57:10 AM,4.31,87.44,,,,,,
282,09/04/24 04:57:10 AM,4.50,87.55,,,,,,
283,09/04/24 05:57:10 AM,4.34,87.58,,,,,,
284,09/04/24 06:57:10 AM,4.29,87.58,,,,,,
285,09/04/24 07:57:10 AM,4.43,87.58,,,,,,
286,09/04/24 08:57:10 AM,5.41,87.58,,,,,,
287,09/04/24 09:57:10 AM,6.32,87.48,,,,,,
288,09/04/24 10:57:10 AM,8.06,87.51,,,,,,
289,09/04/24 11:57:10 AM,9.81,87.58,,,,,,
290,09/04/24 12:57:10 PM,9.98,87.73,,,,,,
291,09/04/24 01:57:10 PM,10.10,87.76,,,,,,
292,09/04/24 02:57:10 PM,8.91,87.76,,,,,,
293,09/04/24 03:57:10 PM,9.65,87.87,,,,,,
294,09/04/24 04:57:10 PM,7.75,87.80,,,,,,
295,09/04/24 05:57:10 PM,7.72,87.66,,,,,,
296,09/04/24 06:57:10 PM,5.46,87.37,,,,,,
297,09/04/24 07:57:10 PM,4.63,87.37,,,,,,
298,09/04/24 08:57:10 PM,4.68,87.40,,,,,,
299,09/04/24 09:57:10 PM,4.68,87.33,,,,,,
300,09/04/24 10:57:10 PM,4.56,87.33,,,,,,
301,09/04/24 11:57:10 PM,4.73,87.33,,,,,,
302,09/05/24 12:57:10 AM,4.64,87.33,,,,,,
303,09/05/24 01:57:10 AM,4.71,87.30,,,,,,
304,09/05/24 02:57:10 AM,4.81,87.30,,,,,,
305,09/05/24 03:57:10 AM,4.91,87.30,,,,,,
306,09/05/24 04:57:10 AM,4.89,87.30,,,,,,
307,09/05/24 05:57:10 AM,4.83,87.26,,,,,,
308,09/05/24 06:57:10 AM,4.74,87.26,,,,,,
309,09/05/24 07:57:10 AM,4.74,87.22,,,,,,
310,09/05/24 08:57:10 AM,4.83,87.12,,,,,,
311,09/05/24 09:57:10 AM,4.90,87.12,,,,,,
312,09/05/24 10:57:10 AM,5.59,87.12,,,,,,
313,09/05/24 11:57:10 AM,6.88,87.19,,,,,,
314,09/05/24 12:57:10 PM,8.23,87.30,,,,,,
315,09/05/24 01:57:10 PM,8.43,87.37,,,,,,
316,09/05/24 02:57:10 PM,8.49,87.40,,,,,,
317,09/05/24 03:57:10 PM,9.09,87.51,,,,,,
318,09/05/24 04:57:10 PM,7.86,87.51,,,,,,
319,09/05/24 05:57:10 PM,5.85,87.40,,,,,,
320,09/05/24 06:57:10 PM,5.38,87.33,,,,,,
321,09/05/24 07:57:10 PM,4.98,87.30,,,,,,
322,09/05/24 08:57:10 PM,4.89,87.26,,,,,,
323,09/05/24 09:57:10 PM,4.96,87.22,,,,,,
324,09/05/24 10:57:10 PM,4.94,87.19,,,,,,
325,09/05/24 11:57:10 PM,4.95,87.15,,,,,,
326,09/06/24 12:57:10 AM,4.90,87.12,,,,,,
327,09/06/24 01:57:10 AM,4.85,87.08,,,,,,
328,09/06/24 02:57:10 AM,4.91,87.08,,,,,,
329,09/06/24 03:57:10 AM,4.75,87.12,,,,,,
330,09/06/24 04:57:10 AM,4.80,87.12,,,,,,
331,09/06/24 05:57:10 AM,4.75,87.15,,,,,,
332,09/06/24 06:57:10 AM,4.62,87.15,,,,,,
333,09/06/24 07:57:10 AM,4.40,87.15,,,,,,
334,09/06/24 08:57:10 AM,4.54,87.12,,,,,,
335,09/06/24 09:57:10 AM,5.69,87.12,,,,,,
336,09/06/24 10:57:10 AM,7.14,87.15,,,,,,
337,09/06/24 11:57:10 AM,8.32,87.22,,,,,,
338,09/06/24 12:57:10 PM,9.56,87.33,,,,,,
339,09/06/24 01:57:10 PM,8.01,86.97,,,,,,
340,09/06/24 02:57:10 PM,8.28,87.01,,,,,,
341,09/06/24 03:57:10 PM,7.55,86.83,,,,,,
342,09/06/24 04:57:10 PM,8.12,86.83,,,,,,
343,09/06/24 05:57:10 PM,7.73,86.79,,,,,,
344,09/06/24 06:57:10 PM,6.41,86.76,,,,,,
345,09/06/24 07:57:10 PM,5.14,86.79,,,,,,
346,09/06/24 08:57:10 PM,4.93,86.86,,,,,,
347,09/06/24 09:57:10 PM,4.86,86.83,,,,,,
348,09/06/24 10:57:10 PM,4.81,86.83,,,,,,
349,09/06/24 11:57:10 PM,5.04,86.86,,,,,,
350,09/07/24 12:57:10 AM,4.94,86.86,,,,,,
351,09/07/24 01:57:10 AM,4.98,86.86,,,,,,
352,09/07/24 02:57:10 AM,4.86,86.83,,,,,,
353,09/07/24 03:57:10 AM,4.82,86.83,,,,,,
354,09/07/24 04:57:10 AM,4.66,86.83,,,,,,
355,09/07/24 05:57:10 AM,4.75,86.79,,,,,,
356,09/07/24 06:57:10 AM,4.65,86.76,,,,,,
357,09/07/24 07:57:10 AM,4.73,86.76,,,,,,
358,09/07/24 08:57:10 AM,5.89,86.76,,,,,,
359,09/07/24 09:57:10 AM,8.94,86.79,,,,,,
360,09/07/24 10:57:10 AM,10.94,86.86,,,,,,
361,09/07/24 11:57:10 AM,10.76,86.97,,,,,,
362,09/07/24 12:57:10 PM,10.19,87.04,,,,,,
363,09/07/24 01:57:10 PM,9.87,87.15,,,,,,
364,09/07/24 02:57:10 PM,9.77,87.22,,,,,,
365,09/07/24 03:57:10 PM,9.50,87.30,,,,,,
366,09/07/24 04:57:10 PM,9.29,87.37,,,,,,
367,09/07/24 05:57:10 PM,7.61,87.22,,,,,,
368,09/07/24 06:57:10 PM,5.94,86.86,,,,,,
369,09/07/24 07:57:10 PM,4.71,86.86,,,,,,
370,09/07/24 08:57:10 PM,4.26,86.86,,,,,,
371,09/07/24 09:57:10 PM,4.52,86.90,,,,,,
372,09/07/24 10:57:10 PM,4.40,86.90,,,,,,
373,09/07/24 11:57:10 PM,4.11,86.90,,,,,,
374,09/08/24 12:57:10 AM,4.05,86.90,,,,,,
375,09/08/24 01:57:10 AM,4.11,86.83,,,,,,
376,09/08/24 02:57:10 AM,3.71,86.76,,,,,,
377,09/08/24 03:57:10 AM,3.87,86.76,,,,,,
378,09/08/24 04:57:10 AM,3.88,86.68,,,,,,
379,09/08/24 05:57:10 AM,4.07,86.65,,,,,,
380,09/08/24 06:57:10 AM,4.12,86.61,,,,,,
381,09/08/24 07:57:10 AM,4.27,86.61,,,,,,
382,09/08/24 08:57:10 AM,6.01,86.61,,,,,,
383,09/08/24 09:57:10 AM,10.03,86.65,,,,,,
384,09/08/24 10:57:10 AM,12.70,86.72,,,,,,
385,09/08/24 11:57:10 AM,11.90,86.79,,,,,,
386,09/08/24 12:57:10 PM,10.39,86.94,,,,,,
387,09/08/24 01:57:10 PM,9.96,87.08,,,,,,
388,09/08/24 02:57:10 PM,9.93,87.04,,,,,,
389,09/08/24 03:57:10 PM,9.40,87.04,,,,,,
390,09/08/24 04:57:10 PM,8.88,86.97,,,,,,
391,09/08/24 05:57:10 PM,7.78,86.97,,,,,,
392,09/08/24 06:57:10 PM,5.98,86.86,,,,,,
393,09/08/24 07:57:10 PM,4.68,86.83,,,,,,
394,09/08/24 08:57:10 PM,4.14,86.83,,,,,,
395,09/08/24 09:57:10 PM,4.09,86.83,,,,,,
396,09/08/24 10:57:10 PM,3.98,86.90,,,,,,
397,09/08/24 11:57:10 PM,3.70,86.76,,,,,,
398,09/09/24 12:57:10 AM,3.31,86.79,,,,,,
399,09/09/24 01:57:10 AM,3.31,86.79,,,,,,
400,09/09/24 02:57:10 AM,3.38,86.76,,,,,,
401,09/09/24 03:57:10 AM,3.69,86.58,,,,,,
402,09/09/24 04:57:10 AM,3.78,86.54,,,,,,
403,09/09/24 05:57:10 AM,3.83,86.47,,,,,,
404,09/09/24 06:57:10 AM,3.86,86.36,,,,,,
405,09/09/24 07:57:10 AM,3.94,86.22,,,,,,
406,09/09/24 08:57:10 AM,5.29,86.11,,,,,,
407,09/09/24 09:57:10 AM,8.24,86.11,,,,,,
408,09/09/24 10:57:10 AM,10.68,86.22,,,,,,
409,09/09/24 11:57:10 AM,11.14,86.25,,,,,,
410,09/09/24 12:57:10 PM,9.90,86.18,,,,,,
411,09/09/24 01:57:10 PM,10.03,86.04,,,,,,
412,09/09/24 02:57:10 PM,9.83,85.96,,,,,,
413,09/09/24 03:57:10 PM,9.33,86.04,,,,,,
414,09/09/24 04:57:10 PM,9.05,86.14,,,,,,
415,09/09/24 05:57:10 PM,8.32,86.22,,,,,,
416,09/09/24 06:57:10 PM,6.51,86.68,,,,,,
417,09/09/24 07:57:10 PM,4.44,87.04,,,,,,
418,09/09/24 08:57:10 PM,4.49,86.83,,,,,,
419,09/09/24 09:57:10 PM,4.25,87.12,,,,,,
420,09/09/24 10:57:10 PM,4.01,87.15,,,,,,
421,09/09/24 11:57:10 PM,4.01,87.19,,,,,,
422,09/10/24 12:57:10 AM,3.82,87.22,,,,,,
423,09/10/24 01:57:10 AM,3.71,87.22,,,,,,
424,09/10/24 02:57:10 AM,3.46,87.12,,,,,,
425,09/10/24 03:57:10 AM,3.70,87.08,,,,,,
426,09/10/24 04:57:10 AM,4.01,86.97,,,,,,
427,09/10/24 05:57:10 AM,3.91,86.90,,,,,,
428,09/10/24 06:57:10 AM,3.93,86.86,,,,,,
429,09/10/24 07:57:10 AM,3.64,86.90,,,,,,
430,09/10/24 08:57:10 AM,4.08,86.90,,,,,,
431,09/10/24 09:57:10 AM,6.03,86.90,,,,,,
432,09/10/24 10:57:10 AM,7.68,87.01,,,,,,
433,09/10/24 11:57:10 AM,8.00,87.08,,,,,,
434,09/10/24 12:57:10 PM,7.39,87.04,,,,,,
435,09/10/24 01:57:10 PM,7.40,87.04,,,,,,
436,09/10/24 02:57:10 PM,7.75,87.08,,,,,,
437,09/10/24 03:57:10 PM,7.86,87.22,,,,,,
