Tubelabel_species,Species,Year,Health_status,Starting_Weight,Date_Extracted,Raw_ng_ul,Date_Enriched,Microbe_ng_ul,Microbe_Location,Microbe_clean_date/n,Host_ng_ul,Host_Location,Host_clean_y/n,Date_Libprep,Status ,Notes ,Seq_date,Host_Seq_date,Status_notes,Ready_resequence,ToDo_Resequence,Notes_x,Sample_physical_location_y,Extraction_physical_location_y,Notes_y
052022_BEL_CBC_T3_49_MCAV,MCAV,2022,Diseased_Tissue,142,6_14_2022,41.9,7_6_2022,5.8,,,_,,,7_29_2022,sequenced,Processed following protocol as written ,sequenced,,extracted dna - pink box ,n,enrich,"checked concentrations, using old extraction ",Depleted_UML_NARWHAL_R1_B3,DNA_extracted,Only sand left in tissue sample
052022_BEL_CBC_T3_51_MCAV,MCAV,2022,Diseased_Tissue,104,6_14_2022,30.8,7_6_2022,1.5,,,_,,,7_29_2022,sequenced,Processed following protocol as written ,sequenced,,extracted dna - pink box ,n,enrich,"checked concentrations, using old extraction ",Depleted_UML_NARWHAL_R1_B3,DNA_extracted,Only sand left in tissue sample
062019_BEL_CBC_T3_9_MCAV,MCAV,2019,Healthy,162,6_13_2022,0.8,7_1_2022,1.3,,,_,,,7_20_2022,sequenced,Processed following protocol as written ,sequenced,,"empty enriched tube - orange box, empty extracted - pink box, extracted dna - orange box ",n,check extracted dna,,UML_NARWHAL_R1_B1,DNA_extracted,
062019_BEL_CBC_T1_16_MCAV,MCAV,2019,Healthy,188,6_13_2022,8.6,7_1_2022,2.7,,,_,,,7_20_2022,sequenced,Processed following protocol as written ,sequenced,,enriched - orange box,n,check enriched dna,,UML_NARWHAL_R1_B1,DNA_extracted,
062019_BEL_CBC_T1_8_PAST,PAST,2019,Healthy,_,6_17_2022,13.8,8_8_2022,2.35,,,_,,,8_30_2022,sequenced,Processed following protocol as written ,sequenced,,enriched - orange box,n,check enriched dna,,UML_NARWHAL_R1_B1,DNA_extracted,
122022_BEL_CBC_T3_147_OFAV,OFAV,2022,Healthy,155,6_22_2023,50.7,10_11_23,12.9,UML_NARWHAL_R2_B1,10_12_23,1.82,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B3,
122022_BEL_CBC_T3_149_OANN,OANN,2022,Healthy,146,6_22_2023,7.1,10_16_2023,7.3,UML_NARWHAL_R2_B1,,,,,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B3,
062019_BEL_CBC_T3_14_MCAV,MCAV,2019,Healthy,162,6_13_2022,3.6,7_1_2022,2.1,,,_,,,7_20_2022,sequenced,Processed following protocol as written ,sequenced,,enriched - orange box,n,check enriched dna,,UML_NARWHAL_R1_B1,DNA_extracted,
062019_BEL_CBC_T3_31_PAST,PAST,2019,Healthy,_,6_17_2022,5.4,8_8_2022,1.63,,,_,,,8_30_2022,sequenced,Processed following protocol as written ,sequenced,,enriched - orange box,n,check enriched dna,,UML_NARWHAL_R1_B1,DNA_extracted,
062019_BEL_CBC_T1_20_MCAV,MCAV,2019,Healthy,_,5_18_2022,20.8,8_8_2022,2.41,,,_,,,8_30_2022,sequenced,Processed following protocol as written ,sequenced,,"enriched - orange box (small amnt left), extracted dna - orange box ",n,"check enriched dna, check extracted dna ",,UML_NARWHAL_R1_B1,DNA_extracted,
062019_BEL_CBC_T3_15_MCAV,MCAV,2019,Healthy,199,6_13_2022,7.7,7_1_2022,2.5,,,_,,,7_20_2022,sequenced,Processed following protocol as written ,sequenced,,"enriched - orange box (small amnt left), extracted dna - pink box",n,"check enriched dna, check extracted dna ",,UML_NARWHAL_R1_B1,DNA_extracted,
062019_BEL_CBC_T2_21_PAST,PAST,2019,Healthy,_,6_17_2022,1.4,8_8_2022,1.29,,,_,,,8_30_2022,sequenced,Processed following protocol as written ,sequenced,,"enriched & empty tube - orange box, extracted dna - pink box  ",n,check extracted dna,start with extracted dna since there are 2 of the enriched,UML_NARWHAL_R1_B1,DNA_extracted,
062019_BEL_CBC_T3_1_MCAV,MCAV,2019,Healthy,113,6_13_2022,3.9,7_1_2022,0.6,,,_,,,7_20_2022,sequenced,Processed following protocol as written ,sequenced,,"enriched - orange box (small amnt left), extracted dna - pink box",n,check enriched dna,,Depleted_UML_NARWHAL_R1_B1,DNA_extracted,Only sand left in tissue sample
062019_BEL_CBC_T1_1_PAST,PAST,2019,Healthy,_,6_17_2022,2.9,7_6_2022,14.6,,,_,,,7_29_2022,sequenced,Processed following protocol as written ,sequenced,,"2019 enriched, 2022 empty - orange box, 2022 extracted - pink box",n,extract,don't know if its 2019 or 2022 - redo completely ,Depleted_UML_NARWHAL_R1_B1,DNA_extracted,Only sand left in tissue sample
2022_BEL_CBC_T1_1_PAST,PAST,2022,Healthy,_,6_17_2022,72,7_14_2022,0.3,,,_,,,7_20_2022,sequenced,Processed following protocol as written ,sequenced,,"2019 enriched, 2022 empty - orange box, 2022 extracted - pink box",n,extract,don't know if its 2019 or 2022 - redo completely ,Depleted_UML_NARWHAL_R1_B1,DNA_extracted,Only sand left in tissue sample
052022_BEL_CBC_T3_40_MCAV,MCAV,2022,Diseased_Margin,139,6_14_2022,24.7,7_6_2022,7.5,,,_,,,7_29_2022,sequenced,Used 3µl of water to reach initial volume of  16µl,sequenced,,"empty enriched tube - orange box, extracted dna - pink box  ",n,enrich,"checked concentrations, using old extraction ",UML_NARWHAL_R1_B3,DNA_extracted,
052022_BEL_CBC_T2_69_OANN,OANN,2022,Healthy,134,10_3_2023,133.1,,,,,,,,,,,,,extracted dna - B3,n,check extracted dna,,Depleted_UML_NARWHAL_R1_B8,UML_NARWHAL_R2_B3,Only sand left in tissue sample
122022_BEL_CBC_T4_16_OFAV,OFAV,2022,Healthy,142,6_27_2023,20.6,10_11_23,3.9,UML_NARWHAL_R2_B1,10_12_23,0.2,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B3,
052022_BEL_CBC_T2_12_MCAV,MCAV,2022,Healthy,,,,,,,,,,,,,,,,,n,extract,,UML_NARWHAL_R1_B8,,
052022_BEL_CBC_T2_4_MCAV,MCAV,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B8,,
052022_BEL_CBC_T2_5_PAST,PAST,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B8,,
052022_BEL_CBC_T2_56_MCAV,MCAV,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B8,,
052022_BEL_CBC_T2_60_PAST,PAST,2022,Diseased_Margin,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B8,,
052022_BEL_CBC_T2_62_PAST,PAST,2022,Diseased_Tissue,,,,,,,,,,,,,,,,,,extract,Formerly said depleted,UML_NARWHAL_R1_B8,,Formerly said depleted
052022_BEL_CBC_T2_9_PAST,PAST,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B8,,
122022_BEL_CBC_T3_115_PAST,PAST,2022,Diseased_Tissue,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T3_116_PAST,PAST,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T4_12_PSTR,PSTR,2022,Diseased_Margin,179.5,7_11_2024,3.49,,,,,,,,,,,,,,n,enrich,,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B26,
122022_BEL_CBC_T3_119_MCAV,MCAV,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T3_122_PAST,PAST,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T3_123_PAST,PAST,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T3_124_PAST,PAST,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T3_128_MCAV,MCAV,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T3_129_PAST,PAST,2022,Diseased_Margin,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T3_132_MCAV,MCAV,2022,Diseased_Tissue,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T3_133_MCAV,MCAV,2022,Diseased_Margin,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T4_35_PSTR,PSTR,2022,Diseased_Margin,207.7,7_11_2024,13,,,,,,,,,,,,,,n,enrich,,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B26,
122022_BEL_CBC_T3_142_MCAV,MCAV,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T3_143_PAST,PAST,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T3_144_PAST,PAST,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T2_102_OFAV,OFAV,2022,Diseased_Tissue,127,6_28_2023,56.1,10_17_2023,16.8,UML_NARWHAL_R2_B1,y,too low,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B3,
122022_BEL_CBC_T3_145_MCAV,MCAV,2022,Diseased_Tissue,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T1_133_PSTR,PSTR,2022,Diseased_Margin,179,7_11_2024,9.9,,,,,,,,,,,,,,n,enrich,,UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B26,
122022_BEL_CBC_T2_119_OANN,OANN,2022,Diseased_Tissue,160,6_28_2023,6.7,10_17_2023,3.6,UML_NARWHAL_R2_B1,y,too low,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B3,
122022_BEL_CBC_T3_155_MCAV,MCAV,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T2_116_PSTR,PSTR,2022,Diseased_Margin,188.7,7_11_2024,7.87,,,,,,,,,,,,,,n,enrich,,UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B26,
122022_BEL_CBC_T4_13_PSTR,PSTR,2022,Diseased_Tissue,178.7,7_3_2024,6.21,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T1_123_OANN,OANN,2022,Healthy,160.2,7_16_2024,9.51,,,,,,,,,,,,,,n,enrich,,UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B26,
122022_BEL_CBC_T4_11_MCAV,MCAV,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T2_87_OFAV,OFAV,2022,Healthy,176,6_27_2023,62.2,10_11_23,13.4,UML_NARWHAL_R2_B1,10_12_23,1.43,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B4,UML_NARWHAL_R2_B3,
122022_BEL_CBC_T4_36_PSTR,PSTR,2022,Diseased_Tissue,177.3,7_3_2024,34.8,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T1_132_PSTR,PSTR,2022,Diseased_Tissue,171.6,7_3_2024,29.4,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B4,,
122022_BEL_CBC_T4_14_MCAV,MCAV,2022,Diseased_Margin,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T4_15_MCAV,MCAV,2022,Diseased_Tissue,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T4_3_MCAV,MCAV,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T2_117_PSTR,PSTR,2022,Diseased_Tissue,280.8,7_3_2024,22.5,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B4,,
122022_BEL_CBC_T3_117_PSTR,PSTR,2022,Healthy,180.1,7_12_2024,22.7,,,,,,,,,,,,,,n,enrich,,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B26,
122022_BEL_CBC_T3_141_PSTR,PSTR,2022,Healthy,219.4,7_12_2024,6.21,,,,,,,,,,,,,,n,enrich,,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B26,
122022_BEL_CBC_T4_38_MCAV,MCAV,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T3_151_PSTR,PSTR,2022,Healthy,171.6,7_12_2024,10.8,,,,,,,,,,,,,,n,enrich,,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B26,
122022_BEL_CBC_T4_5_MCAV,MCAV,2022,Diseased_Margin,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T4_6_MCAV,MCAV,2022,Diseased_Tissue,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B5,,
122022_BEL_CBC_T3_158_PSTR,PSTR,2022,Healthy,283.9,7_12_2024,8.87,,,,,,,,,,,,,,n,enrich,,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B26,
122022_BEL_CBC_T3_163_PSTR,PSTR,2022,Healthy,172.3,7_12_2024,12,,,,,,,,,,,,,,n,enrich,,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B26,
052022_BEL_CBC_T1_63_OFAV,OFAV,2022,Healthy,174.4,7_16_2024,9.86,,,,,,,,,,,,,,n,enrich,,UML_NARWHAL_R1_B3,UML_NARWHAL_R2_B26,
122022_BEL_CBC_T4_34_PSTR,PSTR,2022,Healthy,270.4,7_12_2024,3.99,,,,,,,,,,,,,,n,enrich,,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B26,
122022_BEL_CBC_T4_4_PSTR,PSTR,2022,Healthy,163.1,7_12_2024,7.07,,,,,,,,,,,,,,n,enrich,Is one of these T4_1?,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B26,Is one of these T4_1?
122022_BEL_CBC_T1_134_PAST,PAST,2022,Diseased_Margin,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B4,,
122022_BEL_CBC_T1_139_PAST,PAST,2022,Diseased_Tissue,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B4,,
122022_BEL_CBC_T1_144_MCAV,MCAV,2022,Diseased_Tissue,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B4,,
052022_BEL_CBC_T1_10_PSTR,PSTR,2022,Diseased_Margin,141,6_15_2023,11.1,10_17_2023,3.6,UML_NARWHAL_R2_B1,y,0.182,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B3,UML_NARWHAL_R2_B3,
052022_BEL_CBC_T1_11_PSTR,PSTR,2022,Diseased_Tissue,133,6_15_2023,3.2,10_17_2023,1.5,UML_NARWHAL_R2_B1,y,too low,UML_F1_R2_B2,n,,sequenced,host cleaning needs to be redone,10_19_23,,,y,extract,,UML_NARWHAL_R1_B3,UML_NARWHAL_R2_B3,
122022_BEL_CBC_T1_150_PAST,PAST,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B4,,
052022_BEL_CBC_T1_35_OANN,OANN,2022,Healthy,84.1,6_21_2023,3.8,10_16_2023,5.1,UML_NARWHAL_R2_B1,,,,,,sequenced,,10_19_23,,,y,extract,,Depleted_UML_NARWHAL_R1_B3,UML_NARWHAL_R2_B3,Only sand left in tissue sample
122022_BEL_CBC_T1_151_MCAV,MCAV,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B4,,
052022_BEL_CBC_T1_4_PSTR,PSTR,2022,Healthy,124,6_8_2023,28.2,10_6_2023,7.26,UML_NARWHAL_R2_B1,10_10_23,47,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B3,UML_NARWHAL_R2_B3,
052022_BEL_CBC_T1_41_OANN,OANN,2022,Healthy,118,6_21_2023,11.1,10_16_2023,1.9,UML_NARWHAL_R2_B1,y,39.7,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,Depleted_UML_NARWHAL_R1_B3,UML_NARWHAL_R2_B3,
122022_BEL_CBC_T1_152_PAST,PAST,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B4,,
122022_BEL_CBC_T1_153_MCAV,MCAV,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B4,,
122022_BEL_CBC_T1_155_PAST,PAST,2022,Healthy,,,,,,,,,,,,,,,,,,extract,,UML_NARWHAL_R1_B4,,
