Date,country,site,transect#,depth(m),meter#,syringe#,nutrient_sample_#,time_sampled,time_processed,nutrient,vol_filtered (mL),notes,nitrate,,Pack_for_MBL
1/12/24,BEL,SR30N,2,,10,,N081,9:22,11:00,CHLA,180,labelled as T5,,,x
1/12/24,BEL,SR30N,2,,20,5,N068,9:26,11:00,,60,labelled as T5,,,5
1/12/24,BEL,SR30N,2,,20,,N082,9:29,11:00,CHLA,180,labelled as T5,,,x
1/12/24,BEL,SR30N,2,,30,16,N070,9:29,11:00,,60,labelled as T5,5_20,,x
1/12/24,BEL,SR30N,2,,30,,N080,9:29,11:00,CHLA,180,labelled as T5,,,x
1/9/24,BEL,CBC30N,1,,10,18,N023,16:25,18:00,,60,labelled as T2,5_20,,x
1/9/24,BEL,CBC30N,1,,10,,N036,,,CHLA,180,labelled as T5,,,x
1/9/24,BEL,CBC30N,1,,20,7,N024,16:34,18:00,,60,labelled as T2,5_20,,x
1/9/24,BEL,CBC30N,1,,20,,N037,,,CHLA,180,labelled as T5,,,x
1/9/24,BEL,CBC30N,1,,30,14,N027,16:36,18:00,,60,labelled as T2,,,5
1/9/24,BEL,CBC30N,1,,30,,N040,,,CHLA,180,labelled as T5,,,x
1/9/24,BEL,CBC30N,1,,40,25,N031,16:41,18:00,,60,labelled as T2,5_20,,x
1/9/24,BEL,CBC30N,1,,40,,N038,,,CHLA,180,labelled as T5,,,x
1/9/24,BEL,CBC30N,1,,50,24,N033,16:49,18:00,,60,labelled as T2,5_20,,x
1/9/24,BEL,CBC30N,1,,50,,N039,,,CHLA,180,labelled as T5,,,x
4/25/24,BEL,LAGOON,3,4.8,0,7,N247,14:11,15:40,,60,,5_20,,4
4/25/24,BEL,LAGOON,3,4.8,10,20,N249,14:11,15:40,,60,,5_20,,4
4/25/24,BEL,LAGOON,3,4.8,20,1,N243,14:17,15:40,,60,,5_20,,4
4/25/24,BEL,LAGOON,3,4.8,30,13,N237,14:20,15:40,,60,,5_20,,4
4/25/24,BEL,LAGOON,3,4.8,40,18,N197,14:23,15:40,,60,,5_20,,4
4/25/24,BEL,LAGOON,3,4.8,10,,N252,,15:40,CHLA,180,,,,x
4/25/24,BEL,LAGOON,3,4.8,0,,N255,,15:40,CHLA,180,,,,x
4/25/24,BEL,LAGOON,3,4.8,20,,N254,,15:40,CHLA,180,,,,x
4/25/24,BEL,LAGOON,3,4.8,30,,N253,,15:40,CHLA,180,,,,x
4/25/24,BEL,LAGOON,3,4.8,40,,N251,,15:40,CHLA,180,,,,x
4/25/24,BEL,CBC30N,1,8.5,10,20,N199,10:01,11:40,,60,,5_20,,4
4/25/24,BEL,CBC30N,1,8.5,20,25,N209,10:05,11:40,,60,,5_20,,4
4/25/24,BEL,CBC30N,1,8.5,30,5,N202,10:07,11:40,,60,,5_20,,x
4/25/24,BEL,CBC30N,1,8.5,0,7,N205,10:13,11:40,,60,,5_20,,x
4/25/24,BEL,CBC30N,1,8.5,10,,N211,,11:40,CHLA,180,,,,x
4/25/24,BEL,CBC30N,1,8.5,20,,N212,,11:40,CHLA,180,,,,x
4/25/24,BEL,CBC30N,1,8.5,30,,N213,,11:40,CHLA,180,,,,x
4/25/24,BEL,CBC30N,1,8.5,0,,N214,,11:40,CHLA,180,,,,x
4/26/24,BEL,SR30N,2,9,0,8,N216,9:54,11:30,,60,,5_20,,x
4/26/24,BEL,SR30N,2,9,10,9,N224,9:56,11:30,,60,,5_20,,x
4/26/24,BEL,SR30N,2,9,20,17,N221,10:00,11:30,,60,,5_20,,x
4/26/24,BEL,SR30N,2,9,30,15,N222,10:02,11:30,,60,,5_20,,x
4/26/24,BEL,SR30N,2,9,0,,N230,,11:30,CHLA,180,,,,x
4/26/24,BEL,SR30N,2,9,10,,N228,,11:30,CHLA,180,,,,x
4/26/24,BEL,SR30N,2,9,20,,N227,,11:30,CHLA,180,,,,x
4/26/24,BEL,SR30N,2,9,30,,N229,,11:30,CHLA,180,,,,x
4/29/24,BEL ,HANGMAN,6,3,40,9,N284,14:00,17:40,,60,,5_20,,x
4/29/24,BEL ,HANGMAN,6,3,30,18,N282,14:05,17:40,,60,,,,4
4/29/24,BEL ,HANGMAN,6,3,20,6,N272,14:09,17:40,,60,,5_20,,x
4/29/24,BEL ,HANGMAN,6,3,10,23,N283,14:10,17:40,,60,,5_20,,x
4/29/24,BEL ,HANGMAN,6,3,0,15,N293,14:15,17:57,,60,,5_20,,x
4/29/24,BEL ,HANGMAN,6,3,40,,N291,,,CHLA,180,,,,x
4/29/24,BEL ,HANGMAN,6,3,30,,N287,,,CHLA,180,,,,x
4/29/24,BEL ,HANGMAN,6,3,20,,N289,,,CHLA,180,,,,x
4/29/24,BEL ,HANGMAN,6,3,10,,N288,,,CHLA,180,,,,x
4/29/24,BEL ,HANGMAN,6,3,0,,N290,,,CHLA,180,,,,x
4/28/24,BEL,BB,5,2.7,0,8,N267,13:39,17:13,,60,,5_19,x,x
4/28/24,BEL,BB,5,2.7,0,6,N264,13:39,17:13,,60,,5_20,,x
4/28/24,BEL,BB,5,2.7,10,25,N266,13:43,17:16,,60,,5_19,x,x
4/28/24,BEL,BB,5,2.7,20,17,N261,13:47,17:20,,60,,5_20,,x
4/28/24,BEL,BB,5,2.7,30,13,N268,13:50,17:23,,60,,,x,x
4/28/24,BEL,BB,5,2.7,40,18,N226,13:52,17:27,,60,,5_20,,x
4/28/24,BEL,BB,5,2.7,0,,N271,,17:13,CHLA,180,,,,x
4/28/24,BEL,BB,5,2.7,10,,N231,,17:16,CHLA,180,,,,x
4/28/24,BEL,BB,5,2.7,20,,N232,,17:20,CHLA,180,,,,x
4/28/24,BEL,BB,5,2.7,30,,N233,,17:23,CHLA,180,,,,x
4/28/24,BEL,BB,5,2.7,40,,N234,,17:27,CHLA,180,,,,x
6/20/24,BEL,LAGOON,3,4.8,10,1,N349,15:38,17:09,,,,5_19,x,x
6/20/24,BEL,LAGOON,3,4.8,20,20,N337,15:40,17:09,,,,5_19,x,x
6/20/24,BEL,LAGOON,3,4.8,30,17,N339,15:44,17:09,,,,5_19,x,x
6/20/24,BEL,LAGOON,3,4.8,40,27,N352,15:48,17:09,,,,5_19,x,x
6/20/24,BEL,LAGOON,3,4.8,50,26,N341,15:54,17:09,,,,5_19,x,x
6/20/24,BEL,LAGOON,3,4.8,10,,N353,,17:09,CHLA,,,,,x
6/20/24,BEL,LAGOON,3,4.8,20,,N343,,17:09,CHLA,,,,,x
6/20/24,BEL,LAGOON,3,4.8,30,,N351,,17:09,CHLA,,,,,x
6/20/24,BEL,LAGOON,3,4.8,40,,N338,,17:09,CHLA,,,,,x
6/20/24,BEL,LAGOON,3,4.8,50,,N336,,17:09,CHLA,,,,,x
6/22/24,BEL,BB,5,2.7,0,23,N325,14:11,4:22,,,"lost syringes, one sample per meter ",5_20,,4
6/22/24,BEL,BB,5,2.7,10,2,N320,14:12,4:22,,,"lost syringes, one sample per meter ",5_20,,4
6/22/24,BEL,BB,5,2.7,20,21,N319,14:13,4:22,,,"lost syringes, one sample per meter ",5_20,,4
6/22/24,BEL,BB,5,2.7,40,25,N316,14:15,4:22,,,"lost syringes, one sample per meter ",5_20,,4
6/22/24,BEL,BB,5,2.7,0,,N324,,4:22,CHLA,,,,,x
6/22/24,BEL,BB,5,2.7,10,,N318,,4:22,CHLA,,,,,x
6/22/24,BEL,BB,5,2.7,20,,N317,,4:22,CHLA,,,,,x
6/22/24,BEL,BB,5,2.7,40,,N327,,4:22,CHLA,,,,,x
6/22/24,BEL,BB,5,2.7,DI blank,,T1-308,,4:22,,60?,blank,5_19,,x half full
6/21/24,BEL,CBC30N,1,8.5,0,1320,N299,11:17,12:34,,15,"lost syringes, used whirlpacks",5_20,,x half full
6/21/24,BEL,CBC30N,1,8.5,10,1409,N310,11:19,12:34,,15,"lost syringes, used whirlpacks",5_20,,4 half full
6/21/24,BEL,CBC30N,1,8.5,20,1342,N311,11:20,12:34,,35,"lost syringes, used whirlpacks",5_20,,4 half full
6/21/24,BEL,CBC30N,1,8.5,30,1345,N313,11:22,12:34,,140,"lost syringes, used whirlpacks",5_20,,4
6/21/24,BEL,CBC30N,1,8.5,0,,N314,,12:34,CHLA,,,,,x
6/21/24,BEL,CBC30N,1,8.5,10,,N304,,12:34,CHLA,,,,,x
6/21/24,BEL,CBC30N,1,8.5,20,,N301,,12:34,CHLA,,,,,x
6/21/24,BEL,CBC30N,1,8.5,30,,N306,,12:34,CHLA,,,,,x
6/21/24,BEL,CBC30N,1,8.5,30,,N307,,12:34,CHLA,,,,,x
6/21/24,BEL,SR30N,2,9,0,23,N333,16:15,17:50,,60,"lost syringes, one sample per meter",5_20,,4
6/21/24,BEL,SR30N,2,9,10,21,N328,16:16,17:50,,60,"lost syringes, one sample per meter",5_20,,4
6/21/24,BEL,SR30N,2,9,20,25,N330,16:18,17:50,,60,"lost syringes, one sample per meter",5_20,,4
6/21/24,BEL,SR30N,2,9,30,2,N332,16:21,17:50,,60,"lost syringes, one sample per meter",5_20,,4
6/21/24,BEL,SR30N,2,9,0,,N334,,17:50,CHLA,,,,,x
6/21/24,BEL,SR30N,2,9,10,,N329,,17:50,CHLA,,,,,x
6/21/24,BEL,SR30N,2,9,20,,N322,,17:50,CHLA,,,,,x
6/21/24,BEL,SR30N,2,9,30,,N321,,17:50,CHLA,,,,,x
6/21/24,BEL,SR30N,2,9,30,,N331,,17:50,CHLA,,,,,x
8/21/24,BEL,CBC30N,1,8.5,0,25,N409,9:46,12:50,,,,5_20,,x
8/21/24,BEL,CBC30N,1,8.5,0,,N411,,12:50,CHLA,,,,,x
8/21/24,BEL,CBC30N,1,8.5,10,3,N403,9:49,13:00,,,,5_20,,x
8/21/24,BEL,CBC30N,1,8.5,10,,N410,,13:00,CHLA,,,,,x
8/21/24,BEL,CBC30N,1,8.5,20,orange ,N397,9:53,13:00,,,,5_20,,x
8/21/24,BEL,CBC30N,1,8.5,20,,N412,,13:00,CHLA,,,,,x
8/21/24,BEL,CBC30N,1,8.5,30,orange ,N405,9:56,13:00,,,,5_20,,x
8/21/24,BEL,CBC30N,1,8.5,30,,N413,,13:00,CHLA,,,,,x
8/22/24,BEL,SR30N,2,9,0,2,N415,10:13,13:16,,,,5_19,x,x
8/22/24,BEL,SR30N,2,9,0,,N430,,13:16,CHLA,,,,,x
8/22/24,BEL,SR30N,2,9,10,10,N416,10:17,13:16,,,,5_19,x,x
8/22/24,BEL,SR30N,2,9,10,,N433,,13:16,CHLA,,,,,x
8/22/24,BEL,SR30N,2,9,20,5,N422,10:19,13:23,,,,5_19,x,x
8/22/24,BEL,SR30N,2,9,20,,N431,,13:23,CHLA,,,,,x
8/22/24,BEL,SR30N,2,9,30,21,N428,10:21,13:31,,,,x,,5
8/22/24,BEL,SR30N,2,9,30,,N432,,13:31,CHLA,,,,,x
8/24/24,BEL,LAGOON,3,4.8,0,15,N439,9:30,12:02,,,,5_20,,x
8/24/24,BEL,LAGOON,3,4.8,0,,N450,,12:02,CHLA,,,,,x
8/24/24,BEL,LAGOON,3,4.8,10,14,N445,9:31,12:02,,,,"5_20, x",,x
8/24/24,BEL,LAGOON,3,4.8,10,,N451,,12:02,CHLA,,,,,x
8/24/24,BEL,LAGOON,3,4.8,20,5,N441,9:34,12:07,,,,5_20,,x
8/24/24,BEL,LAGOON,3,4.8,20,,N452,,12:07,CHLA,,,,,x
8/24/24,BEL,LAGOON,3,4.8,30,23,N438,9:35,12:10,,,,,,5
8/24/24,BEL,LAGOON,3,4.8,30,25,N449,9:35,12:10,,,,5_20,,x cracked
8/24/24,BEL,LAGOON,3,4.8,30,,N454,,12:10,CHLA,,,,,x
8/25/24,BEL,BB,5,2.7,0,2,N457,9:41,11:23,,,,"x, 5_20",,4
8/25/24,BEL,BB,5,2.7,10,14,N463,9:45,11:23,,,,5_20,,x
8/25/24,BEL,BB,5,2.7,20,15,N462,9:48,11:23,,,,5_20,,4
8/25/24,BEL,BB,5,2.7,30,21,N459,9:51,11:42,,,,5_20,,4
8/26/24,BEL,HANGMAN,6,3,0,7,N455,10:53,11:41,,,redo,5_20,,4
8/26/24,BEL,HANGMAN,6,3,10,2,N447,10:55,11:41,,,redo,,,x
8/26/24,BEL,HANGMAN,6,3,20,16,N444,10:55,11:52,,,redo,5_20,,4
8/26/24,BEL,HANGMAN,6,3,30,5,N487,10:59,11:57,,,redo,5_20,,4
5/30/25,BEL,CBC30N,1,,0,29,N586,11:33,13:55,,60,,8_27_25,,2
5/30/25,BEL,CBC30N,1,,10,17,N579,11:37,13:50,,60,,8_27_25,,2
5/30/25,BEL,CBC30N,1,,20,26,N587,11:42,13:45,,60,,8_27_25,,2
5/30/25,BEL,CBC30N,1,,30,1,N588,11:44,13:40,,60,,8_27_25,,2
5/30/25,BEL,CBC30N,1,,40,5,N576,11:48,13:33,,60,,8_27_25,,2
5/30/25,BEL,CBC30N,1,,DI,,N93,,13:55,FILTER BLANK,60,,8_27_25,,2
5/30/25,BEL,CBC30N,1,,0,,N592,11:33,13:55,CHLA,180,,,,x
5/30/25,BEL,CBC30N,1,,10,,N595,11:37,13:50,CHLA,180,,,,x
5/30/25,BEL,CBC30N,1,,20,,N593,11:42,13:45,CHLA,180,,,,x
5/30/25,BEL,CBC30N,1,,30,,N591,11:44,13:40,CHLA,180,,,,x
5/30/25,BEL,CBC30N,1,,40,,N594,11:48,13:33,CHLA,180,,,,x
5/30/25,BEL,CBC30N,1,,,,filter,,13:55,FILTER BLANK,150,,,,x
5/31/25,BEL,SR30N,2,,0,3,N598,12:31,14:17,,60,,8_27_25,,2
5/31/25,BEL,SR30N,2,,0,,N612,12:32,14:17,chla,180,,,,x
5/31/25,BEL,SR30N,2,,10,29,N599,12:33,14:24,,60,,8_27_25,,2
5/31/25,BEL,SR30N,2,,10,,N611,12:34,14:24,chla,180,,,,x
5/31/25,BEL,SR30N,2,,20,5,N608,12:36,14:27,,60,,8_27_25,,2
5/31/25,BEL,SR30N,2,,20,,N613,12:36,14:27,chla,180,,,,x
5/31/25,BEL,SR30N,2,,30,20,N610,12:39,14:32,,60,,8_27_25,,2
5/31/25,BEL,SR30N,2,,30,,N615,12:40,14:32,chla,180,,,,x
6/2/25,BEL,HANGMAN,6,,0,,660,12:50,15:55,,,,8_27_25,,2
6/2/25,BEL,HANGMAN,6,,10,,668,12:52,15:55,,,,8_27_25,,2
6/2/25,BEL,HANGMAN,6,,20,,658,12:55,15:55,,,,8_27_25,,2
6/2/25,BEL,HANGMAN,6,,30,,667,12:56,15:55,,,,8_27_25,,2
6/2/25,BEL,HANGMAN,6,,40,,657,12:58,15:55,,,,8_27_25,,2
6/2/25,BEL,HANGMAN,6,,0,,675,12:50,15:55,chla,,,,,x
6/2/25,BEL,HANGMAN,6,,10,,674,12:52,15:55,chla,,,,,x
6/2/25,BEL,HANGMAN,6,,20,,673,12:55,15:55,chla,,,,,x
6/2/25,BEL,HANGMAN,6,,30,,672,12:56,15:55,chla,,,,,x
6/2/25,BEL,HANGMAN,6,,40,,671,12:58,15:55,chla,,,,,x
6/1/25,BEL,BB,5,,0,,646,13:46,15:15,,,,,,2
6/1/25,BEL,BB,5,,10,,642,13:49,15:15,,,,,,2
6/1/25,BEL,BB,5,,20,,641,13:51,15:15,,,,,,2
6/1/25,BEL,BB,5,,30,,640,13:52,15:00,,,,,,2
6/1/25,BEL,BB,5,,40,,636,13:53,15:00,,,,,,2
5/29/25,BEL,LAGOON,3,,unk,,621,,,,,,,,2
5/29/25,BEL,LAGOON,3,,unk,,616,,,,,,,,2
5/29/25,BEL,LAGOON,3,,unk,,626,,,,,,,,2
5/29/25,BEL,LAGOON,3,,unk,,625,,,,,,,,2
5/29/25,BEL,LAGOON,3,,unk,,620,,,,,,,,2
