"","Date","country","site","transect","depthm","meter","syringe","nutrient_sample_","time_sampled","time_processed","nutrient","vol_filteredmL","notes","nitrate","monthyear"
"61",2024-04-26,"BEL","SR30N",2,9,"0","","N230","","11:30","CHLA","180","","","Apr 2024"
"62",2024-04-26,"BEL","SR30N",2,9,"10","","N228","","11:30","CHLA","180","","","Apr 2024"
"63",2024-04-26,"BEL","SR30N",2,9,"20","","N227","","11:30","CHLA","180","","","Apr 2024"
"64",2024-04-26,"BEL","SR30N",2,9,"30","","N229","","11:30","CHLA","180","","","Apr 2024"
"65",2024-04-29,"BEL ","HANGMAN",6,3,"40","9","N284","14:00","17:40","","60","","5_20","Apr 2024"
"66",2024-04-29,"BEL ","HANGMAN",6,3,"30","18","N282","14:05","17:40","","60","","","Apr 2024"
"67",2024-04-29,"BEL ","HANGMAN",6,3,"20","6","N272","14:09","17:40","","60","","5_20","Apr 2024"
"68",2024-04-29,"BEL ","HANGMAN",6,3,"10","23","N283","14:10","17:40","","60","","5_20","Apr 2024"
"69",2024-04-29,"BEL ","HANGMAN",6,3,"0","15","N293","14:15","17:57","","60","","5_20","Apr 2024"
"70",2024-04-29,"BEL ","HANGMAN",6,3,"40","","N291","","","CHLA","180","","","Apr 2024"
"71",2024-04-29,"BEL ","HANGMAN",6,3,"30","","N287","","","CHLA","180","","","Apr 2024"
"72",2024-04-29,"BEL ","HANGMAN",6,3,"20","","N289","","","CHLA","180","","","Apr 2024"
"73",2024-04-29,"BEL ","HANGMAN",6,3,"10","","N288","","","CHLA","180","","","Apr 2024"
"74",2024-04-29,"BEL ","HANGMAN",6,3,"0","","N290","","","CHLA","180","","","Apr 2024"
"75",2024-04-28,"BEL","BB",5,2.7,"0","8","N267","13:39","17:13","","60","","5_19","Apr 2024"
"76",2024-04-28,"BEL","BB",5,2.7,"0","6","N264","13:39","17:13","","60","","5_20","Apr 2024"
"77",2024-04-28,"BEL","BB",5,2.7,"10","25","N266","13:43","17:16","","60","","5_19","Apr 2024"
"78",2024-04-28,"BEL","BB",5,2.7,"20","17","N261","13:47","17:20","","60","","5_20","Apr 2024"
"79",2024-04-28,"BEL","BB",5,2.7,"30","13","N268","13:50","17:23","","60","","","Apr 2024"
"80",2024-04-28,"BEL","BB",5,2.7,"40","18","N226","13:52","17:27","","60","","5_20","Apr 2024"
"81",2024-04-28,"BEL","BB",5,2.7,"0","","N271","","17:13","CHLA","180","","","Apr 2024"
"82",2024-04-28,"BEL","BB",5,2.7,"10","","N231","","17:16","CHLA","180","","","Apr 2024"
"83",2024-04-28,"BEL","BB",5,2.7,"20","","N232","","17:20","CHLA","180","","","Apr 2024"
"84",2024-04-28,"BEL","BB",5,2.7,"30","","N233","","17:23","CHLA","180","","","Apr 2024"
"85",2024-04-28,"BEL","BB",5,2.7,"40","","N234","","17:27","CHLA","180","","","Apr 2024"
"86",2024-06-20,"BEL","LAGOON",3,4.8,"10","1","N349","15:38","17:09","","","","5_19","Jun 2024"
"87",2024-06-20,"BEL","LAGOON",3,4.8,"20","20","N337","15:40","17:09","","","","5_19","Jun 2024"
"88",2024-06-20,"BEL","LAGOON",3,4.8,"30","17","N339","15:44","17:09","","","","5_19","Jun 2024"
"89",2024-06-20,"BEL","LAGOON",3,4.8,"40","27","N352","15:48","17:09","","","","5_19","Jun 2024"
"90",2024-06-20,"BEL","LAGOON",3,4.8,"50","26","N341","15:54","17:09","","","","5_19","Jun 2024"
"91",2024-06-20,"BEL","LAGOON",3,4.8,"10","","N353","","17:09","CHLA","","","","Jun 2024"
"92",2024-06-20,"BEL","LAGOON",3,4.8,"20","","N343","","17:09","CHLA","","","","Jun 2024"
"93",2024-06-20,"BEL","LAGOON",3,4.8,"30","","N351","","17:09","CHLA","","","","Jun 2024"
"94",2024-06-20,"BEL","LAGOON",3,4.8,"40","","N338","","17:09","CHLA","","","","Jun 2024"
"95",2024-06-20,"BEL","LAGOON",3,4.8,"50","","N336","","17:09","CHLA","","","","Jun 2024"
"96",2024-06-22,"BEL","BB",5,2.7,"0","23","N325","14:11","4:22","","","lost syringes, one sample per meter ","5_20","Jun 2024"
"97",2024-06-22,"BEL","BB",5,2.7,"10","2","N320","14:12","4:22","","","lost syringes, one sample per meter ","5_20","Jun 2024"
"98",2024-06-22,"BEL","BB",5,2.7,"20","21","N319","14:13","4:22","","","lost syringes, one sample per meter ","5_20","Jun 2024"
"99",2024-06-22,"BEL","BB",5,2.7,"40","25","N316","14:15","4:22","","","lost syringes, one sample per meter ","5_20","Jun 2024"
"100",2024-06-22,"BEL","BB",5,2.7,"0","","N324","","4:22","CHLA","","","","Jun 2024"
"101",2024-06-22,"BEL","BB",5,2.7,"10","","N318","","4:22","CHLA","","","","Jun 2024"
"102",2024-06-22,"BEL","BB",5,2.7,"20","","N317","","4:22","CHLA","","","","Jun 2024"
"103",2024-06-22,"BEL","BB",5,2.7,"40","","N327","","4:22","CHLA","","","","Jun 2024"
"104",2024-06-22,"BEL","BB",5,2.7,"DI blank","","T1-308","","4:22","","60?","blank","5_19","Jun 2024"
"105",2024-06-21,"BEL","CBC30N",1,8.5,"0","1320","N299","11:17","12:34","","15","lost syringes, used whirlpacks","5_20","Jun 2024"
"106",2024-06-21,"BEL","CBC30N",1,8.5,"10","1409","N310","11:19","12:34","","15","lost syringes, used whirlpacks","5_20","Jun 2024"
"107",2024-06-21,"BEL","CBC30N",1,8.5,"20","1342","N311","11:20","12:34","","35","lost syringes, used whirlpacks","5_20","Jun 2024"
"108",2024-06-21,"BEL","CBC30N",1,8.5,"30","1345","N313","11:22","12:34","","140","lost syringes, used whirlpacks","5_20","Jun 2024"
"109",2024-06-21,"BEL","CBC30N",1,8.5,"0","","N314","","12:34","CHLA","","","","Jun 2024"
"110",2024-06-21,"BEL","CBC30N",1,8.5,"10","","N304","","12:34","CHLA","","","","Jun 2024"
"111",2024-06-21,"BEL","CBC30N",1,8.5,"20","","N301","","12:34","CHLA","","","","Jun 2024"
"112",2024-06-21,"BEL","CBC30N",1,8.5,"30","","N306","","12:34","CHLA","","","","Jun 2024"
"113",2024-06-21,"BEL","CBC30N",1,8.5,"30","","N307","","12:34","CHLA","","","","Jun 2024"
"114",2024-06-21,"BEL","SR30N",2,9,"0","23","N333","16:15","17:50","","60","lost syringes, one sample per meter","5_20","Jun 2024"
"115",2024-06-21,"BEL","SR30N",2,9,"10","21","N328","16:16","17:50","","60","lost syringes, one sample per meter","5_20","Jun 2024"
"116",2024-06-21,"BEL","SR30N",2,9,"20","25","N330","16:18","17:50","","60","lost syringes, one sample per meter","5_20","Jun 2024"
"117",2024-06-21,"BEL","SR30N",2,9,"30","2","N332","16:21","17:50","","60","lost syringes, one sample per meter","5_20","Jun 2024"
"118",2024-06-21,"BEL","SR30N",2,9,"0","","N334","","17:50","CHLA","","","","Jun 2024"
"119",2024-06-21,"BEL","SR30N",2,9,"10","","N329","","17:50","CHLA","","","","Jun 2024"
"120",2024-06-21,"BEL","SR30N",2,9,"20","","N322","","17:50","CHLA","","","","Jun 2024"
"121",2024-06-21,"BEL","SR30N",2,9,"30","","N321","","17:50","CHLA","","","","Jun 2024"
"122",2024-06-21,"BEL","SR30N",2,9,"30","","N331","","17:50","CHLA","","","","Jun 2024"
"123",2024-08-21,"BEL","CBC30N",1,8.5,"0","25","N409","9:46","12:50","","","","5_20","Aug 2024"
"124",2024-08-21,"BEL","CBC30N",1,8.5,"0","","N411","","12:50","CHLA","","","","Aug 2024"
"125",2024-08-21,"BEL","CBC30N",1,8.5,"10","3","N403","9:49","13:00","","","","5_20","Aug 2024"
"126",2024-08-21,"BEL","CBC30N",1,8.5,"10","","N410","","13:00","CHLA","","","","Aug 2024"
"127",2024-08-21,"BEL","CBC30N",1,8.5,"20","orange ","N397","9:53","13:00","","","","5_20","Aug 2024"
"128",2024-08-21,"BEL","CBC30N",1,8.5,"20","","N412","","13:00","CHLA","","","","Aug 2024"
"129",2024-08-21,"BEL","CBC30N",1,8.5,"30","orange ","N405","9:56","13:00","","","","5_20","Aug 2024"
"130",2024-08-21,"BEL","CBC30N",1,8.5,"30","","N413","","13:00","CHLA","","","","Aug 2024"
"131",2024-08-22,"BEL","SR30N",2,9,"0","2","N415","10:13","13:16","","","","5_19","Aug 2024"
"132",2024-08-22,"BEL","SR30N",2,9,"0","","N430","","13:16","CHLA","","","","Aug 2024"
"133",2024-08-22,"BEL","SR30N",2,9,"10","10","N416","10:17","13:16","","","","5_19","Aug 2024"
"134",2024-08-22,"BEL","SR30N",2,9,"10","","N433","","13:16","CHLA","","","","Aug 2024"
"135",2024-08-22,"BEL","SR30N",2,9,"20","5","N422","10:19","13:23","","","","5_19","Aug 2024"
"136",2024-08-22,"BEL","SR30N",2,9,"20","","N431","","13:23","CHLA","","","","Aug 2024"
"137",2024-08-22,"BEL","SR30N",2,9,"30","21","N428","10:21","13:31","","","","x","Aug 2024"
"138",2024-08-22,"BEL","SR30N",2,9,"30","","N432","","13:31","CHLA","","","","Aug 2024"
"139",2024-08-24,"BEL","LAGOON",3,4.8,"0","15","N439","9:30","12:02","","","","5_20","Aug 2024"
"140",2024-08-24,"BEL","LAGOON",3,4.8,"0","","N450","","12:02","CHLA","","","","Aug 2024"
"141",2024-08-24,"BEL","LAGOON",3,4.8,"10","14","N445","9:31","12:02","","","","5_20, x","Aug 2024"
"142",2024-08-24,"BEL","LAGOON",3,4.8,"10","","N451","","12:02","CHLA","","","","Aug 2024"
"143",2024-08-24,"BEL","LAGOON",3,4.8,"20","5","N441","9:34","12:07","","","","5_20","Aug 2024"
"144",2024-08-24,"BEL","LAGOON",3,4.8,"20","","N452","","12:07","CHLA","","","","Aug 2024"
"145",2024-08-24,"BEL","LAGOON",3,4.8,"30","23","N438","9:35","12:10","","","","","Aug 2024"
"146",2024-08-24,"BEL","LAGOON",3,4.8,"30","25","N449","9:35","12:10","","","","5_20","Aug 2024"
"147",2024-08-24,"BEL","LAGOON",3,4.8,"30","","N454","","12:10","CHLA","","","","Aug 2024"
"148",2024-08-25,"BEL","BB",5,2.7,"0","2","N457","9:41","11:23","","","","x, 5_20","Aug 2024"
"149",2024-08-25,"BEL","BB",5,2.7,"10","14","N463","9:45","11:23","","","","5_20","Aug 2024"
"150",2024-08-25,"BEL","BB",5,2.7,"20","15","N462","9:48","11:23","","","","5_20","Aug 2024"
"151",2024-08-25,"BEL","BB",5,2.7,"30","21","N459","9:51","11:42","","","","5_20","Aug 2024"
"152",2024-08-26,"BEL","HANGMAN",6,3,"0","7","N455","10:53","11:41","","","redo","5_20","Aug 2024"
"153",2024-08-26,"BEL","HANGMAN",6,3,"10","2","N447","10:55","11:41","","","redo","","Aug 2024"
"154",2024-08-26,"BEL","HANGMAN",6,3,"20","16","N444","10:55","11:52","","","redo","5_20","Aug 2024"
"155",2024-08-26,"BEL","HANGMAN",6,3,"30","5","N487","10:59","11:57","","","redo","5_20","Aug 2024"
"156",2025-05-30,"BEL","CBC30N",1,NA,"0","29","N586","11:33","13:55","","60","","8_27_25","Jun 2025"
"157",2025-05-30,"BEL","CBC30N",1,NA,"10","17","N579","11:37","13:50","","60","","8_27_25","Jun 2025"
"158",2025-05-30,"BEL","CBC30N",1,NA,"20","26","N587","11:42","13:45","","60","","8_27_25","Jun 2025"
"159",2025-05-30,"BEL","CBC30N",1,NA,"30","1","N588","11:44","13:40","","60","","8_27_25","Jun 2025"
"160",2025-05-30,"BEL","CBC30N",1,NA,"40","5","N576","11:48","13:33","","60","","8_27_25","Jun 2025"
"161",2025-05-30,"BEL","CBC30N",1,NA,"DI","","N93","","13:55","FILTER BLANK","60","","8_27_25","Jun 2025"
"162",2025-05-30,"BEL","CBC30N",1,NA,"0","","N592","11:33","13:55","CHLA","180","","","Jun 2025"
"163",2025-05-30,"BEL","CBC30N",1,NA,"10","","N595","11:37","13:50","CHLA","180","","","Jun 2025"
"164",2025-05-30,"BEL","CBC30N",1,NA,"20","","N593","11:42","13:45","CHLA","180","","","Jun 2025"
"165",2025-05-30,"BEL","CBC30N",1,NA,"30","","N591","11:44","13:40","CHLA","180","","","Jun 2025"
"166",2025-05-30,"BEL","CBC30N",1,NA,"40","","N594","11:48","13:33","CHLA","180","","","Jun 2025"
"167",2025-05-30,"BEL","CBC30N",1,NA,"","","filter","","13:55","FILTER BLANK","150","","","Jun 2025"
"168",2025-05-31,"BEL","SR30N",2,NA,"0","3","N598","12:31","14:17","","60","","8_27_25","Jun 2025"
"169",2025-05-31,"BEL","SR30N",2,NA,"0","","N612","12:32","14:17","chla","180","","","Jun 2025"
"170",2025-05-31,"BEL","SR30N",2,NA,"10","29","N599","12:33","14:24","","60","","8_27_25","Jun 2025"
"171",2025-05-31,"BEL","SR30N",2,NA,"10","","N611","12:34","14:24","chla","180","","","Jun 2025"
"172",2025-05-31,"BEL","SR30N",2,NA,"20","5","N608","12:36","14:27","","60","","8_27_25","Jun 2025"
"173",2025-05-31,"BEL","SR30N",2,NA,"20","","N613","12:36","14:27","chla","180","","","Jun 2025"
"174",2025-05-31,"BEL","SR30N",2,NA,"30","20","N610","12:39","14:32","","60","","8_27_25","Jun 2025"
"175",2025-05-31,"BEL","SR30N",2,NA,"30","","N615","12:40","14:32","chla","180","","","Jun 2025"
"176",2025-06-02,"BEL","HANGMAN",6,NA,"0","","660","12:50","15:55","","","","8_27_25","Jun 2025"
"177",2025-06-02,"BEL","HANGMAN",6,NA,"10","","668","12:52","15:55","","","","8_27_25","Jun 2025"
"178",2025-06-02,"BEL","HANGMAN",6,NA,"20","","658","12:55","15:55","","","","8_27_25","Jun 2025"
"179",2025-06-02,"BEL","HANGMAN",6,NA,"30","","667","12:56","15:55","","","","8_27_25","Jun 2025"
"180",2025-06-02,"BEL","HANGMAN",6,NA,"40","","657","12:58","15:55","","","","8_27_25","Jun 2025"
"181",2025-06-02,"BEL","HANGMAN",6,NA,"0","","675","12:50","15:55","chla","","","","Jun 2025"
"182",2025-06-02,"BEL","HANGMAN",6,NA,"10","","674","12:52","15:55","chla","","","","Jun 2025"
"183",2025-06-02,"BEL","HANGMAN",6,NA,"20","","673","12:55","15:55","chla","","","","Jun 2025"
"184",2025-06-02,"BEL","HANGMAN",6,NA,"30","","672","12:56","15:55","chla","","","","Jun 2025"
"185",2025-06-02,"BEL","HANGMAN",6,NA,"40","","671","12:58","15:55","chla","","","","Jun 2025"
"186",2025-06-01,"BEL","BB",5,NA,"0","","646","13:46","15:15","","","","","Jun 2025"
"187",2025-06-01,"BEL","BB",5,NA,"10","","642","13:49","15:15","","","","","Jun 2025"
"188",2025-06-01,"BEL","BB",5,NA,"20","","641","13:51","15:15","","","","","Jun 2025"
"189",2025-06-01,"BEL","BB",5,NA,"30","","640","13:52","15:00","","","","","Jun 2025"
"190",2025-06-01,"BEL","BB",5,NA,"40","","636","13:53","15:00","","","","","Jun 2025"
"191",2025-05-29,"BEL","LAGOON",3,NA,"unk","","621","","","","","","","Jun 2025"
"192",2025-05-29,"BEL","LAGOON",3,NA,"unk","","616","","","","","","","Jun 2025"
"193",2025-05-29,"BEL","LAGOON",3,NA,"unk","","626","","","","","","","Jun 2025"
"194",2025-05-29,"BEL","LAGOON",3,NA,"unk","","625","","","","","","","Jun 2025"
"195",2025-05-29,"BEL","LAGOON",3,NA,"unk","","620","","","","","","","Jun 2025"
