Summary
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.12
[Data Information]
Filename:,E:\brooke\mbl2025\BKS_BEL_Nov2025_NH4_X2.vphd
Analyst:
Date/Time:,11/20/2025 06:06:09 PM
Comments:
Parameter File Name:,NH4 5ml PeristalticPumpSipper_KHF.vphm
Report File Name:
[Instrument Information]
Instrument Name:,UV-1900i
Instrument Type:,UV-1900 Series
Model (S/N):,UV-1900i (A12535951143)

Parameter
[Wavelength]
Type of Measuring Mode:,Absorbance
Column Name:,WL640.0
Measuring Method:,Point (640.00nm)
[Formula]
[Unknown Sample]
Acquiring Method:,Measurement
Repeat:,OFF
[Instrument]
Accumulation Time (sec.):,2.0
Light Source Switch Wavelength:,340.00
S/R Switch:,Standard
[Accessories]
Accessories:,Sipper
Sip Speed:,High
Sip Time (sec.):,8
Purge Time (sec.):,0
Dwell Time (sec.):,2
Rinses (count):,0
Return the Sample:,OFF

Sample Table
RowID,Sample Name,Sample ID,Option,Type,Date,Time,WL640.0,Dilution Rate,Comments
21,0 STND,,,UNK,11/20/2025,04:54:45 PM,0.0041,1.00,
22,0.25,,,UNK,11/20/2025,04:55:06 PM,0.0061,1.00,
23,0.5,,,UNK,11/20/2025,04:55:31 PM,0.0095,1.00,
24,1,,,UNK,11/20/2025,04:55:59 PM,0.0126,1.00,
25,2,,,UNK,11/20/2025,04:56:25 PM,0.0288,1.00,
26,5,,,UNK,11/20/2025,04:56:47 PM,0.0873,1.00,
27,10,,,UNK,11/20/2025,04:57:10 PM,0.1742,1.00,
28,20,,,UNK,11/20/2025,04:57:40 PM,0.3403,1.00,
29,50,,,UNK,11/20/2025,04:58:02 PM,0.8969,1.00,
30,DI,,,UNK,11/20/2025,04:58:23 PM,0.0006,1.00,
31,DI,,,UNK,11/20/2025,04:59:06 PM,0.0001,1.00,
32,A1,,,UNK,11/20/2025,05:01:49 PM,0.0097,1.00,
33,A2,,,UNK,11/20/2025,05:02:09 PM,0.0141,1.00,
34,A3,,,UNK,11/20/2025,05:02:28 PM,0.0285,1.00,
35,A4,,,UNK,11/20/2025,05:02:51 PM,0.0123,1.00,
36,A5,,,UNK,11/20/2025,05:03:09 PM,0.0134,1.00,
37,A6,,,UNK,11/20/2025,05:03:29 PM,0.0123,1.00,
38,A7,,,UNK,11/20/2025,05:03:47 PM,0.0091,1.00,
39,A8,,,UNK,11/20/2025,05:04:07 PM,0.0372,1.00,
40,A9,,,UNK,11/20/2025,05:04:26 PM,0.0068,1.00,
41,A10,,,UNK,11/20/2025,05:04:45 PM,0.0103,1.00,
42,A11,,,UNK,11/20/2025,05:05:09 PM,0.0082,1.00,
43,A12,,,UNK,11/20/2025,05:05:31 PM,0.0094,1.00,
44,B1,,,UNK,11/20/2025,05:12:00 PM,0.0092,1.00,
45,B2,,,UNK,11/20/2025,05:12:21 PM,0.0199,1.00,
46,B3,,,UNK,11/20/2025,05:12:41 PM,0.0158,1.00,
47,B4,,,UNK,11/20/2025,05:13:03 PM,0.0332,1.00,
48,B5,,,UNK,11/20/2025,05:13:22 PM,0.0081,1.00,
49,B6,,,UNK,11/20/2025,05:13:41 PM,0.1602,1.00,
50,B7,,,UNK,11/20/2025,05:14:02 PM,0.0097,1.00,
51,B8,,,UNK,11/20/2025,05:14:32 PM,0.0078,1.00,
52,B9,,,UNK,11/20/2025,05:14:49 PM,0.0040,1.00,
53,B10,,,UNK,11/20/2025,05:15:11 PM,0.0073,1.00,
54,B11,,,UNK,11/20/2025,05:15:31 PM,0.0081,1.00,
55,B12,,,UNK,11/20/2025,05:15:47 PM,0.0488,1.00,
56,C1,,,UNK,11/20/2025,05:16:06 PM,0.0060,1.00,
57,C2,,,UNK,11/20/2025,05:16:25 PM,0.0106,1.00,
58,C3,,,UNK,11/20/2025,05:16:45 PM,0.0069,1.00,
59,C4,,,UNK,11/20/2025,05:17:03 PM,0.0115,1.00,
60,C5,,,UNK,11/20/2025,05:17:25 PM,0.0080,1.00,
61,C6,,,UNK,11/20/2025,05:17:44 PM,0.0083,1.00,
62,C7,,,UNK,11/20/2025,05:18:02 PM,0.0120,1.00,
63,C8,,,UNK,11/20/2025,05:18:29 PM,0.0037,1.00,
64,C9,,,UNK,11/20/2025,05:18:47 PM,0.0064,1.00,
65,C10,,,UNK,11/20/2025,05:19:11 PM,0.0072,1.00,
66,C11,,,UNK,11/20/2025,05:19:40 PM,0.0074,1.00,
67,C12,,,UNK,11/20/2025,05:20:01 PM,0.0071,1.00,
68,DI,,,UNK,11/20/2025,05:20:25 PM,-0.0001,1.00,
69,D1,,,UNK,11/20/2025,05:21:20 PM,0.0079,1.00,
70,D2,,,UNK,11/20/2025,05:21:39 PM,0.0327,1.00,
71,D3,,,UNK,11/20/2025,05:21:55 PM,0.0076,1.00,
72,D4,,,UNK,11/20/2025,05:22:18 PM,0.0063,1.00,
73,D5,,,UNK,11/20/2025,05:22:35 PM,0.0072,1.00,
74,D6,,,UNK,11/20/2025,05:23:03 PM,0.0054,1.00,
75,D7,,,UNK,11/20/2025,05:23:21 PM,0.0616,1.00,
76,D8,,,UNK,11/20/2025,05:23:38 PM,0.0293,1.00,
77,D9,,,UNK,11/20/2025,05:24:07 PM,0.0040,1.00,
78,D10,,,UNK,11/20/2025,05:24:25 PM,0.0040,1.00,
79,D11,,,UNK,11/20/2025,05:24:48 PM,0.0050,1.00,
80,D12,,,UNK,11/20/2025,05:25:08 PM,0.0071,1.00,
81,E1,,,UNK,11/20/2025,05:25:26 PM,0.0043,1.00,
82,E2,,,UNK,11/20/2025,05:25:45 PM,0.0070,1.00,
83,E3,,,UNK,11/20/2025,05:26:06 PM,0.0071,1.00,
84,E4,,,UNK,11/20/2025,05:26:23 PM,0.0067,1.00,
85,E5,,,UNK,11/20/2025,05:26:41 PM,0.0040,1.00,
86,E6,,,UNK,11/20/2025,05:27:05 PM,0.0088,1.00,
87,E7,,,UNK,11/20/2025,05:27:27 PM,0.0036,1.00,
88,E8,,,UNK,11/20/2025,05:27:48 PM,0.0085,1.00,
89,E9,,,UNK,11/20/2025,05:28:05 PM,0.0149,1.00,
90,E10,,,UNK,11/20/2025,05:28:25 PM,0.0068,1.00,
91,E11,,,UNK,11/20/2025,05:28:45 PM,0.0055,1.00,
92,E12,,,UNK,11/20/2025,05:29:03 PM,0.0136,1.00,
93,DI,,,UNK,11/20/2025,05:29:24 PM,-0.0009,1.00,
94,A1,R2,,UNK,11/20/2025,05:31:03 PM,0.0038,1.00,
95,A2,R2,,UNK,11/20/2025,05:31:25 PM,0.0063,1.00,
96,A3,R2,,UNK,11/20/2025,05:31:42 PM,0.0050,1.00,
97,A4,R2,,UNK,11/20/2025,05:31:59 PM,0.0675,1.00,
98,A5,R2,,UNK,11/20/2025,05:32:19 PM,0.0038,1.00,
99,A6,R2,,UNK,11/20/2025,05:32:38 PM,0.0047,1.00,
100,A7,R2,,UNK,11/20/2025,05:33:01 PM,0.0634,1.00,
101,A8,R2,,UNK,11/20/2025,05:33:18 PM,0.0266,1.00,
102,A9,R2,,UNK,11/20/2025,05:33:35 PM,0.0254,1.00,
103,A10,R2,,UNK,11/20/2025,05:33:59 PM,0.0051,1.00,
104,A11,R2,,UNK,11/20/2025,05:34:16 PM,0.1463,1.00,
105,DI,R2,,UNK,11/20/2025,05:35:02 PM,-0.0016,1.00,
106,A12,R2,,UNK,11/20/2025,05:35:21 PM,0.0266,1.00,
107,B1,R2,,UNK,11/20/2025,05:36:08 PM,0.0064,1.00,
108,B2,R2,,UNK,11/20/2025,05:36:25 PM,0.0141,1.00,
109,B3,R2,,UNK,11/20/2025,05:36:42 PM,0.0576,1.00,
110,B4,R2,,UNK,11/20/2025,05:36:59 PM,0.1394,1.00,
111,B5,R2,,UNK,11/20/2025,05:37:17 PM,0.0196,1.00,
112,B6,R2,,UNK,11/20/2025,05:37:34 PM,0.0495,1.00,
113,B7,R2,,UNK,11/20/2025,05:37:50 PM,0.0057,1.00,
114,B8,R2,,UNK,11/20/2025,05:38:08 PM,0.0058,1.00,
115,B9,R2,,UNK,11/20/2025,05:38:31 PM,0.0060,1.00,
116,B10,R2,,UNK,11/20/2025,05:38:50 PM,0.0054,1.00,
117,B11,R2,,UNK,11/20/2025,05:39:17 PM,0.0074,1.00,
118,B12,R2,,UNK,11/20/2025,05:39:34 PM,0.0067,1.00,
119,C1,R2,,UNK,11/20/2025,05:39:54 PM,0.0069,1.00,
120,C2,R2,,UNK,11/20/2025,05:40:14 PM,0.0049,1.00,
121,C3,R2,,UNK,11/20/2025,05:40:31 PM,0.0062,1.00,
122,C4,R2,,UNK,11/20/2025,05:40:50 PM,0.0072,1.00,
123,C5,R2,,UNK,11/20/2025,05:41:07 PM,0.0113,1.00,
124,C6,R2,,UNK,11/20/2025,05:41:23 PM,0.0084,1.00,
125,C7,R2,,UNK,11/20/2025,05:41:40 PM,0.0074,1.00,
126,C8,R2,,UNK,11/20/2025,05:42:01 PM,0.0071,1.00,
127,C9,R2,,UNK,11/20/2025,05:42:22 PM,0.0079,1.00,
128,C10,R2,,UNK,11/20/2025,05:42:39 PM,0.0071,1.00,
129,C11,R2,,UNK,11/20/2025,05:43:04 PM,0.0094,1.00,
130,C12,R2,,UNK,11/20/2025,05:43:23 PM,0.0065,1.00,
131,D1,R2,,UNK,11/20/2025,05:43:44 PM,0.0092,1.00,
132,D2,R2,,UNK,11/20/2025,05:44:01 PM,0.0124,1.00,
133,D3,R2,,UNK,11/20/2025,05:44:22 PM,0.0097,1.00,
134,D4,R2,,UNK,11/20/2025,05:44:38 PM,0.0107,1.00,
135,D5,R2,,UNK,11/20/2025,05:44:55 PM,0.0057,1.00,
136,D6,R2,,UNK,11/20/2025,05:45:16 PM,0.0076,1.00,
137,D7,R2,,UNK,11/20/2025,05:45:37 PM,0.0072,1.00,
138,D8,R2,,UNK,11/20/2025,05:45:54 PM,0.2909,1.00,
139,DI,,,UNK,11/20/2025,05:46:17 PM,-0.0019,1.00,
140,DI,,,UNK,11/20/2025,05:47:34 PM,-0.0020,1.00,
141,0 STND,,,UNK,11/20/2025,05:48:06 PM,0.0055,1.00,
142,0.25,,,UNK,11/20/2025,05:48:30 PM,0.0049,1.00,
143,0.5,,,UNK,11/20/2025,05:48:48 PM,0.0081,1.00,
144,1,,,UNK,11/20/2025,05:49:19 PM,0.0134,1.00,
145,2,,,UNK,11/20/2025,05:49:37 PM,0.0287,1.00,
146,5,,,UNK,11/20/2025,05:49:53 PM,0.0859,1.00,
147,10,,,UNK,11/20/2025,05:50:12 PM,0.1749,1.00,
148,20,,,UNK,11/20/2025,05:50:30 PM,0.3407,1.00,
149,50,,,UNK,11/20/2025,05:50:53 PM,0.9071,1.00,
150,DI,,,UNK,11/20/2025,05:51:27 PM,-0.0019,1.00,
151,DI,,,UNK,11/20/2025,05:51:46 PM,-0.0024,1.00,
152,DI,,,UNK,11/20/2025,05:52:19 PM,0.0016,1.00,
153,0.25,,,UNK,11/20/2025,05:52:43 PM,0.0033,1.00,
154,0.5,,,UNK,11/20/2025,05:53:07 PM,0.0069,1.00,
155,1,,,UNK,11/20/2025,05:54:00 PM,0.0096,1.00,
156,2,,,UNK,11/20/2025,05:54:17 PM,0.0282,1.00,
157,5,,,UNK,11/20/2025,05:54:34 PM,0.0822,1.00,
158,10,,,UNK,11/20/2025,05:54:56 PM,0.1740,1.00,
159,20,,,UNK,11/20/2025,05:55:14 PM,0.3416,1.00,
160,50,,,UNK,11/20/2025,05:55:39 PM,0.9059,1.00,
161,DI,,,UNK,11/20/2025,05:56:03 PM,-0.0020,1.00,
162,DI,,,UNK,11/20/2025,05:56:23 PM,-0.0024,1.00,
163,DI,,,UNK,11/20/2025,05:58:07 PM,-0.0026,1.00,
164,DI,,,UNK,11/20/2025,05:59:04 PM,-0.0026,1.00,
165,DI,,,UNK,11/20/2025,05:59:29 PM,-0.0028,1.00,
166,DI,,,UNK,11/20/2025,06:00:44 PM,-0.0030,1.00,
167,DI,,,UNK,11/20/2025,06:01:07 PM,-0.0040,1.00,
168,,,,UNK,,,,1.00,
169,,,,UNK,,,,1.00,
170,,,,UNK,,,,1.00,
171,,,,UNK,,,,1.00,
172,,,,UNK,,,,1.00,
173,,,,UNK,,,,1.00,
174,,,,UNK,,,,1.00,
175,,,,UNK,,,,1.00,
176,,,,UNK,,,,1.00,
177,,,,UNK,,,,1.00,
178,,,,UNK,,,,1.00,
179,,,,UNK,,,,1.00,
180,,,,UNK,,,,1.00,
181,,,,UNK,,,,1.00,
182,,,,UNK,,,,1.00,
183,,,,UNK,,,,1.00,
184,,,,UNK,,,,1.00,
185,,,,UNK,,,,1.00,
186,,,,UNK,,,,1.00,
187,,,,UNK,,,,1.00,
188,,,,UNK,,,,1.00,
189,,,,UNK,,,,1.00,
190,,,,UNK,,,,1.00,
191,,,,UNK,,,,1.00,
192,,,,UNK,,,,1.00,
193,,,,UNK,,,,1.00,
194,,,,UNK,,,,1.00,
195,,,,UNK,,,,1.00,
196,,,,UNK,,,,1.00,
197,,,,UNK,,,,1.00,
198,,,,UNK,,,,1.00,
199,,,,UNK,,,,1.00,
200,,,,UNK,,,,1.00,
201,,,,UNK,,,,1.00,
202,,,,UNK,,,,1.00,
203,,,,UNK,,,,1.00,
204,,,,UNK,,,,1.00,
205,,,,UNK,,,,1.00,
206,,,,UNK,,,,1.00,
207,,,,UNK,,,,1.00,
208,,,,UNK,,,,1.00,
209,,,,UNK,,,,1.00,
210,,,,UNK,,,,1.00,
211,,,,UNK,,,,1.00,
212,,,,UNK,,,,1.00,
213,,,,UNK,,,,1.00,
214,,,,UNK,,,,1.00,
215,,,,UNK,,,,1.00,
216,,,,UNK,,,,1.00,
217,,,,UNK,,,,1.00,
218,,,,UNK,,,,1.00,
219,,,,UNK,,,,1.00,
220,,,,UNK,,,,1.00,
221,,,,UNK,,,,1.00,
222,,,,UNK,,,,1.00,
223,,,,UNK,,,,1.00,
224,,,,UNK,,,,1.00,
225,,,,UNK,,,,1.00,
226,,,,UNK,,,,1.00,
227,,,,UNK,,,,1.00,
228,,,,UNK,,,,1.00,
