Cup Number,Sample ID,Auto Dilution Factor,Analyte Name,Concentration Units,Peak Height,Peak Area,Peak Concentration,Determined Conc.,Conc x ADF
39,Sample 039,1,NO3 +NO2,,0.00558,0.133,0.241,,0.241
40,Sample 040,1,PO4,uM,-0.00843,-0.0881,0.0441,,0.0441
40,Sample 040,1,NO3 +NO2,,0.00684,0.166,0.289,,0.289
S10,20NO2,1,PO4,uM,-0.00811,-0.138,-0.0405,,-0.0405
S10,20NO2,1,NO3 +NO2,,0.476,13.6,20.5,,20.5
S2,20N/8P,1,PO4,uM,0.254,4.65,7.97,,7.97
S2,20N/8P,1,NO3 +NO2,,0.469,13.4,20.2,,20.2
S9,Saline,1,PO4,uM,-0.00591,-0.107,0.0117,,0.0117
S9,Saline,1,NO3 +NO2,,-0.00593,-0.172,-0.217,,-0.217
41,Sample 041,1,PO4,uM,-0.0103,-0.095,0.0324,,0.0324
41,Sample 041,1,NO3 +NO2,,0.00592,0.152,0.269,,0.269
42,Sample 042,1,PO4,uM,-0.00876,-0.103,0.0181,,0.0181
42,Sample 042,1,NO3 +NO2,,0.00506,0.125,0.228,,0.228
43,Sample 043,1,PO4,uM,-0.00452,-0.061,0.0897,,0.0897
43,Sample 043,1,NO3 +NO2,,0.00903,0.235,0.393,,0.393
44,Sample 044,1,PO4,uM,-0.00597,-0.0532,0.103,,0.103
44,Sample 044,1,NO3 +NO2,,0.101,2.88,4.35,,4.35
45,Sample 045,1,PO4,uM,0.0225,0.0208,0.228,,0.228
45,Sample 045,1,NO3 +NO2,,0.0199,0.452,0.718,,0.718
46,Sample 046,1,PO4,uM,-0.00617,-0.0508,0.107,,0.107
46,Sample 046,1,NO3 +NO2,,0.105,2.98,4.51,,4.51
47,Sample 047,1,PO4,uM,-0.00828,-0.0906,0.0398,,0.0398
47,Sample 047,1,NO3 +NO2,,0.0643,1.81,2.76,,2.76
48,Sample 048,1,PO4,uM,-0.00563,-0.0972,0.0287,,0.0287
48,Sample 048,1,NO3 +NO2,,0.028,0.763,1.18,,1.18
49,Sample 049,1,PO4,uM,-0.00455,-0.0616,0.0888,,0.0888
49,Sample 049,1,NO3 +NO2,,0.0111,0.301,0.492,,0.492
50,Sample 050,1,PO4,uM,-0.00304,-0.032,0.139,,0.139
50,Sample 050,1,NO3 +NO2,,0.0133,0.357,0.576,,0.576
51,Sample 051,1,PO4,uM,-0.00559,-0.034,0.135,,0.135
51,Sample 051,1,NO3 +NO2,,0.0132,0.371,0.597,,0.597
52,Sample 052,1,PO4,uM,-0.00687,-0.0638,0.085,,0.085
52,Sample 052,1,NO3 +NO2,,0.0248,0.692,1.08,,1.08
53,Sample 053,1,PO4,uM,-0.00646,-0.0951,0.0323,,0.0323
53,Sample 053,1,NO3 +NO2,,0.0189,0.533,0.839,,0.839
54,Sample 054,1,PO4,uM,-0.00367,-0.0101,0.176,,0.176
54,Sample 054,1,NO3 +NO2,,0.0278,0.781,1.21,,1.21
55,Sample 055,1,PO4,uM,-0.00866,-0.0976,0.0279,,0.0279
55,Sample 055,1,NO3 +NO2,,0.02,0.538,0.847,,0.847
56,Sample 056,1,PO4,uM,-0.00427,-0.0172,0.164,,0.164
56,Sample 056,1,NO3 +NO2,,0.0268,0.734,1.14,,1.14
57,Sample 057,1,PO4,uM,-0.00587,-0.0556,0.0988,,0.0988
57,Sample 057,1,NO3 +NO2,,0.0246,0.703,1.09,,1.09
58,Sample 058,1,PO4,uM,0.00153,0.00591,0.203,,0.203
58,Sample 058,1,NO3 +NO2,,0.0336,0.944,1.46,,1.46
59,Sample 059,1,PO4,uM,-0.00522,-0.0942,0.0338,,0.0338
59,Sample 059,1,NO3 +NO2,,0.0293,0.819,1.27,,1.27
S10,20NO2,1,PO4,uM,-0.00755,-0.126,-0.0203,,-0.0203
S10,20NO2,1,NO3 +NO2,,0.486,13.8,20.8,,20.8
S2,20N/8P,1,PO4,uM,0.254,4.66,7.98,,7.98
S2,20N/8P,1,NO3 +NO2,,0.474,13.5,20.2,,20.2
S9,Saline,1,PO4,uM,-0.00515,-0.0943,0.0335,,0.0335
S9,Saline,1,NO3 +NO2,,-0.00637,-0.185,-0.236,,-0.236
60,Sample 060,1,PO4,uM,-0.00774,-0.0751,0.066,,0.066
60,Sample 060,1,NO3 +NO2,,0.024,0.689,1.07,,1.07
61,Sample 061,1,PO4,uM,-0.00915,-0.105,0.0155,,0.0155
61,Sample 061,1,NO3 +NO2,,0.0155,0.424,0.676,,0.676
62,Sample 062,1,PO4,uM,-0.007,-0.0973,0.0285,,0.0285
62,Sample 062,1,NO3 +NO2,,0.00769,0.188,0.322,,0.322
63,Sample 063,1,PO4,uM,-0.00686,-0.0709,0.0731,,0.0731
63,Sample 063,1,NO3 +NO2,,0.00454,0.0998,0.19,,0.19
64,Sample 064,1,PO4,uM,-0.00808,-0.0881,0.0441,,0.0441
64,Sample 064,1,NO3 +NO2,,0.00423,0.0913,0.178,,0.178
65,Sample 065,1,PO4,uM,-0.00719,-0.0866,0.0465,,0.0465
65,Sample 065,1,NO3 +NO2,,0.0108,0.277,0.455,,0.455
66,Sample 066,1,PO4,uM,-0.00932,-0.0659,0.0815,,0.0815
66,Sample 066,1,NO3 +NO2,,0.0646,1.86,2.83,,2.83
67,Sample 067,1,PO4,uM,-0.00701,-0.0876,0.0449,,0.0449
67,Sample 067,1,NO3 +NO2,,0.00519,0.121,0.222,,0.222
68,Sample 068,1,PO4,uM,-0.00505,-0.0766,0.0634,,0.0634
68,Sample 068,1,NO3 +NO2,,0.195,5.63,8.47,,8.47
69,Sample 069,1,PO4,uM,-0.00905,-0.106,0.0134,,0.0134
69,Sample 069,1,NO3 +NO2,,0.00485,0.096,0.185,,0.185
70,Sample 070,1,PO4,uM,-0.00493,-0.0781,0.0609,,0.0609
70,Sample 070,1,NO3 +NO2,,0.0301,0.856,1.32,,1.32
71,Sample 071,1,PO4,uM,0.0016,0.00428,0.2,,0.2
71,Sample 071,1,NO3 +NO2,,0.0112,0.311,0.506,,0.506
72,Sample 072,1,PO4,uM,-0.00824,-0.0859,0.0478,,0.0478
72,Sample 072,1,NO3 +NO2,,0.00942,0.244,0.406,,0.406
73,Sample 073,1,PO4,uM,-0.00962,-0.0685,0.0771,,0.0771
73,Sample 073,1,NO3 +NO2,,0.0077,0.184,0.317,,0.317
74,Sample 074,1,PO4,uM,-0.00559,-0.0294,0.143,,0.143
74,Sample 074,1,NO3 +NO2,,0.0273,0.784,1.22,,1.22
75,Sample 075,1,PO4,uM,-0.00673,-0.0728,0.0699,,0.0699
75,Sample 075,1,NO3 +NO2,,0.0473,1.36,2.07,,2.07
76,Sample 076,1,PO4,uM,-0.00362,-0.0498,0.109,,0.109
76,Sample 076,1,NO3 +NO2,,0.0221,0.611,0.957,,0.957
77,Sample 077,1,PO4,uM,-0.00571,-0.0863,0.0471,,0.0471
77,Sample 077,1,NO3 +NO2,,0.0643,1.82,2.77,,2.77
78,Sample 078,1,PO4,uM,-0.00805,-0.0597,0.0919,,0.0919
78,Sample 078,1,NO3 +NO2,,0.0377,1.06,1.63,,1.63
79,Sample 079,1,PO4,uM,-0.00645,-0.0859,0.0477,,0.0477
79,Sample 079,1,NO3 +NO2,,0.11,3.13,4.73,,4.73
80,Sample 080,1,PO4,uM,-0.00912,-0.104,0.0174,,0.0174
80,Sample 080,1,NO3 +NO2,,0.0937,2.66,4.02,,4.02
S10,20NO2,1,PO4,uM,-0.00776,-0.139,-0.0427,,-0.0427
S10,20NO2,1,NO3 +NO2,,0.476,13.6,20.4,,20.4
S2,20N/8P,1,PO4,uM,0.254,4.67,8,,8
S2,20N/8P,1,NO3 +NO2,,0.464,13.3,19.9,,19.9
S9,Saline,1,PO4,uM,-0.00577,-0.109,0.00951,,0.00951
S9,Saline,1,NO3 +NO2,,-0.00701,-0.209,-0.272,,-0.272
81,Sample 081,1,PO4,uM,-0.00421,-0.0106,0.175,,0.175
81,Sample 081,1,NO3 +NO2,,0.0682,1.95,2.96,,2.96
82,Sample 082,1,PO4,uM,0.0281,0.106,0.371,,0.371
82,Sample 082,1,NO3 +NO2,,0.0141,0.324,0.527,,0.527
83,Sample 083,1,PO4,uM,-0.00827,-0.0853,0.0487,,0.0487
83,Sample 083,1,NO3 +NO2,,0.00377,0.0749,0.153,,0.153
84,Sample 084,1,PO4,uM,-0.00846,-0.0922,0.0371,,0.0371
84,Sample 084,1,NO3 +NO2,,-0.00318,-0.0514,-0.0362,,-0.0362
85,Sample 085,1,PO4,uM,-0.00904,-0.106,0.0135,,0.0135
85,Sample 085,1,NO3 +NO2,,-0.00297,-0.0398,-0.0188,,-0.0188
86,Sample 086,1,PO4,uM,-0.0077,-0.078,0.0611,,0.0611
86,Sample 086,1,NO3 +NO2,,0.00235,0.00375,0.0465,,0.0465
87,Sample 087,1,PO4,uM,-0.00841,-0.0992,0.0253,,0.0253
87,Sample 087,1,NO3 +NO2,,-0.00267,-0.0142,0.0196,,0.0196
88,Sample 088,1,PO4,uM,-0.00392,-0.0754,0.0655,,0.0655
88,Sample 088,1,NO3 +NO2,,0.00307,0.147,0.261,,0.261
89,Sample 089,1,PO4,uM,-0.00901,-0.108,0.01,,0.01
89,Sample 089,1,NO3 +NO2,,0.0019,0.0182,0.0681,,0.0681
90,Sample 090,1,PO4,uM,-0.00861,-0.0984,0.0266,,0.0266
90,Sample 090,1,NO3 +NO2,,0.00353,0.0641,0.137,,0.137
91,Sample 091,1,PO4,uM,-0.0108,-0.116,-0.00342,,-0.00342
91,Sample 091,1,NO3 +NO2,,0.0019,0.00576,0.0495,,0.0495
92,Sample 092,1,PO4,uM,-0.00831,-0.0903,0.0404,,0.0404
92,Sample 092,1,NO3 +NO2,,0.00382,0.0833,0.166,,0.166
93,Sample 093,1,PO4,uM,-0.00789,-0.0885,0.0434,,0.0434
93,Sample 093,1,NO3 +NO2,,0.00494,0.112,0.209,,0.209
94,Sample 094,1,PO4,uM,-0.00827,-0.1,0.0233,,0.0233
94,Sample 094,1,NO3 +NO2,,0.00447,0.0983,0.188,,0.188
95,Sample 095,1,PO4,uM,-0.00512,-0.0633,0.086,,0.086
95,Sample 095,1,NO3 +NO2,,0.00531,0.138,0.248,,0.248
96,Sample 096,1,PO4,uM,-0.00706,-0.0687,0.0768,,0.0768
96,Sample 096,1,NO3 +NO2,,0.00515,0.138,0.248,,0.248
97,Sample 097,1,PO4,uM,-0.00852,-0.103,0.0189,,0.0189
97,Sample 097,1,NO3 +NO2,,0.0124,0.329,0.534,,0.534
98,Sample 098,1,PO4,uM,-0.00679,-0.074,0.0678,,0.0678
98,Sample 098,1,NO3 +NO2,,0.017,0.47,0.745,,0.745
99,Sample 099,1,PO4,uM,-0.0083,-0.0906,0.0398,,0.0398
99,Sample 099,1,NO3 +NO2,,0.0143,0.397,0.636,,0.636
S10,20NO2,1,PO4,uM,-0.00686,-0.12,-0.00927,,-0.00927
S10,20NO2,1,NO3 +NO2,,0.475,13.6,20.4,,20.4
S2,20N/8P,1,PO4,uM,0.253,4.65,7.97,,7.97
S2,20N/8P,1,NO3 +NO2,,0.471,13.4,20.1,,20.1
S9,Saline,1,PO4,uM,-0.00611,-0.105,0.0162,,0.0162
S9,Saline,1,NO3 +NO2,,-0.00713,-0.216,-0.283,,-0.283
100,Sample 100,1,PO4,uM,-0.00809,-0.0919,0.0376,,0.0376
100,Sample 100,1,NO3 +NO2,,0.0154,0.416,0.665,,0.665
101,Sample 101,1,PO4,uM,-0.00836,-0.0919,0.0377,,0.0377
101,Sample 101,1,NO3 +NO2,,0.0115,0.297,0.486,,0.486
102,Sample 102,1,PO4,uM,-0.00477,-0.0631,0.0863,,0.0863
102,Sample 102,1,NO3 +NO2,,0.00667,0.156,0.275,,0.275
103,Sample 103,1,PO4,uM,-0.00932,-0.111,0.00471,,0.00471
103,Sample 103,1,NO3 +NO2,,0.00753,0.198,0.338,,0.338
104,Sample 104,1,PO4,uM,-0.00466,-0.0163,0.165,,0.165
104,Sample 104,1,NO3 +NO2,,0.00525,0.119,0.219,,0.219
105,Sample 105,1,PO4,uM,-0.00814,-0.0873,0.0454,,0.0454
105,Sample 105,1,NO3 +NO2,,0.00761,0.201,0.342,,0.342
106,Sample 106,1,PO4,uM,-0.00881,-0.111,0.00604,,0.00604
106,Sample 106,1,NO3 +NO2,,0.0087,0.229,0.384,,0.384
107,Sample 107,1,PO4,uM,-0.00684,-0.0709,0.0731,,0.0731
107,Sample 107,1,NO3 +NO2,,0.074,2.08,3.16,,3.16
S10,20NO2,1,PO4,uM,-0.00778,-0.128,-0.0241,,-0.0241
S10,20NO2,1,NO3 +NO2,,0.482,13.8,20.7,,20.7
S2,20N/8P,1,PO4,uM,0.253,4.65,7.97,,7.97
S2,20N/8P,1,NO3 +NO2,,0.469,13.4,20.2,,20.2
S9,Saline,1,PO4,uM,-0.00527,-0.0944,0.0334,,0.0334
S9,Saline,1,NO3 +NO2,,-0.00635,-0.186,-0.238,,-0.238
