Date,T,Sample,Rack position,Cup Number,Sample ID,Analyte Name,Determined Conc.,Conc x ADF
Jun-25,T1,588,87,87,Sample 087,NO3 +NO2,,0.0196
Jun-25,T2,598,88,88,Sample 088,NO3 +NO2,,0.261
Jun-25,T2,599,89,89,Sample 089,NO3 +NO2,,0.0681
Jun-25,T2,608,90,90,Sample 090,NO3 +NO2,,0.137
Jun-25,T2,610,1,91,Sample 091,NO3 +NO2,,0.0495
Jun-25,T3,616,2,92,Sample 092,NO3 +NO2,,0.166
Jun-25,T3,620,3,93,Sample 093,NO3 +NO2,,0.209
Jun-25,T3,621,4,94,Sample 094,NO3 +NO2,,0.188
Jun-25,T3,625,5,95,Sample 095,NO3 +NO2,,0.248
Jun-25,T3,626,6,96,Sample 096,NO3 +NO2,,0.248
Jun-25,T5,636,7,97,Sample 097,NO3 +NO2,,0.534
Jun-25,T5,640,8,98,Sample 098,NO3 +NO2,,0.745
Jun-25,T5,641,9,99,Sample 099,NO3 +NO2,,0.636
,,,,S10,20NO2,NO3 +NO2,,20.4
,,,,S2,20N/8P,NO3 +NO2,,20.1
,,,,S9,Saline,NO3 +NO2,,-0.283
Jun-25,T5,642,10,100,Sample 100,NO3 +NO2,,0.665
Jun-25,T5,646,11,101,Sample 101,NO3 +NO2,,0.486
Jun-25,T6,657,12,102,Sample 102,NO3 +NO2,,0.275
Jun-25,T6,658,13,103,Sample 103,NO3 +NO2,,0.338
Jun-25,T6,660,14,104,Sample 104,NO3 +NO2,,0.219
Jun-25,T6,667,15,105,Sample 105,NO3 +NO2,,0.342
Jun-25,T6,668,16,106,Sample 106,NO3 +NO2,,0.384
Aug-24,T6,487,17,107,Sample 107,NO3 +NO2,,3.16
,,,,S10,20NO2,NO3 +NO2,,20.7
,,,,S2,20N/8P,NO3 +NO2,,20.2
,,,,S9,Saline,NO3 +NO2,,-0.238
