RowID,Sample Name,Sample ID,Date,Time,WL640.0,[NH4]
33,A2,,11/20/25,5:02:09 PM,0.0141,0.607
34,A3,,11/20/25,5:02:28 PM,0.0285,1.416
35,A4,,11/20/25,5:02:51 PM,0.0123,0.506
36,A5,,11/20/25,5:03:09 PM,0.0134,0.567
37,A6,,11/20/25,5:03:29 PM,0.0123,0.506
38,A7,,11/20/25,5:03:47 PM,0.0091,0.326
39,A8,,11/20/25,5:04:07 PM,0.0372,1.904
40,A9,,11/20/25,5:04:26 PM,0.0068,0.197
41,A10,,11/20/25,5:04:45 PM,0.0103,0.393
42,A11,,11/20/25,5:05:09 PM,0.0082,0.275
43,A12,,11/20/25,5:05:31 PM,0.0094,0.343
44,B1,,11/20/25,5:12:00 PM,0.0092,0.331
45,B2,,11/20/25,5:12:21 PM,0.0199,0.933
46,B3,,11/20/25,5:12:41 PM,0.0158,0.702
47,B4,,11/20/25,5:13:03 PM,0.0332,1.680
48,B5,,11/20/25,5:13:22 PM,0.0081,0.270
49,B6,,11/20/25,5:13:41 PM,0.1602,8.815
50,B7,,11/20/25,5:14:02 PM,0.0097,0.360
51,B8,,11/20/25,5:14:32 PM,0.0078,0.253
52,B9,,11/20/25,5:14:49 PM,0.004,0.039
53,B10,,11/20/25,5:15:11 PM,0.0073,0.225
54,B11,,11/20/25,5:15:31 PM,0.0081,0.270
55,B12,,11/20/25,5:15:47 PM,0.0488,2.556
56,C1,,11/20/25,5:16:06 PM,0.006,0.152
57,C2,,11/20/25,5:16:25 PM,0.0106,0.410
58,C3,,11/20/25,5:16:45 PM,0.0069,0.202
59,C4,,11/20/25,5:17:03 PM,0.0115,0.461
60,C5,,11/20/25,5:17:25 PM,0.008,0.264
61,C6,,11/20/25,5:17:44 PM,0.0083,0.281
62,C7,,11/20/25,5:18:02 PM,0.012,0.489
63,C8,,11/20/25,5:18:29 PM,0.0037,0.022
64,C9,,11/20/25,5:18:47 PM,0.0064,0.174
65,C10,,11/20/25,5:19:11 PM,0.0072,0.219
66,C11,,11/20/25,5:19:40 PM,0.0074,0.230
67,C12,,11/20/25,5:20:01 PM,0.0071,0.213
68,DI,,11/20/25,5:20:25 PM,-0.0001,-0.191
69,D1,,11/20/25,5:21:20 PM,0.0079,0.258
70,D2,,11/20/25,5:21:39 PM,0.0327,1.652
71,D3,,11/20/25,5:21:55 PM,0.0076,0.242
72,D4,,11/20/25,5:22:18 PM,0.0063,0.169
73,D5,,11/20/25,5:22:35 PM,0.0072,0.219
74,D6,,11/20/25,5:23:03 PM,0.0054,0.118
75,D7,,11/20/25,5:23:21 PM,0.0616,3.275
76,D8,,11/20/25,5:23:38 PM,0.0293,1.461
77,D9,,11/20/25,5:24:07 PM,0.004,0.039
78,D10,,11/20/25,5:24:25 PM,0.004,0.039
79,D11,,11/20/25,5:24:48 PM,0.005,0.096
80,D12,,11/20/25,5:25:08 PM,0.0071,0.213
81,E1,,11/20/25,5:25:26 PM,0.0043,0.056
82,E2,,11/20/25,5:25:45 PM,0.007,0.208
83,E3,,11/20/25,5:26:06 PM,0.0071,0.213
84,E4,,11/20/25,5:26:23 PM,0.0067,0.191
85,E5,,11/20/25,5:26:41 PM,0.004,0.039
86,E6,,11/20/25,5:27:05 PM,0.0088,0.309
87,E7,,11/20/25,5:27:27 PM,0.0036,0.017
88,E8,,11/20/25,5:27:48 PM,0.0085,0.292
89,E9,,11/20/25,5:28:05 PM,0.0149,0.652
90,E10,,11/20/25,5:28:25 PM,0.0068,0.197
91,E11,,11/20/25,5:28:45 PM,0.0055,0.124
92,E12,,11/20/25,5:29:03 PM,0.0136,0.579
93,DI,,11/20/25,5:29:24 PM,-0.0009,-0.236
94,A1,R2,11/20/25,5:31:03 PM,0.0038,-0.149
95,A2,R2,11/20/25,5:31:25 PM,0.0063,-0.011
96,A3,R2,11/20/25,5:31:42 PM,0.005,-0.083
97,A4,R2,11/20/25,5:31:59 PM,0.0675,3.370
98,A5,R2,11/20/25,5:32:19 PM,0.0038,-0.149
99,A6,R2,11/20/25,5:32:38 PM,0.0047,-0.099
100,A7,R2,11/20/25,5:33:01 PM,0.0634,3.144
101,A8,R2,11/20/25,5:33:18 PM,0.0266,1.110
102,A9,R2,11/20/25,5:33:35 PM,0.0254,1.044
103,A10,R2,11/20/25,5:33:59 PM,0.0051,-0.077
104,A11,R2,11/20/25,5:34:16 PM,0.1463,7.724
105,DI,R2,11/20/25,5:35:02 PM,-0.0016,-0.448
106,A12,R2,11/20/25,5:35:21 PM,0.0266,1.110
107,B1,R2,11/20/25,5:36:08 PM,0.0064,-0.006
108,B2,R2,11/20/25,5:36:25 PM,0.0141,0.420
109,B3,R2,11/20/25,5:36:42 PM,0.0576,2.823
110,B4,R2,11/20/25,5:36:59 PM,0.1394,7.343
111,B5,R2,11/20/25,5:37:17 PM,0.0196,0.724
112,B6,R2,11/20/25,5:37:34 PM,0.0495,2.376
113,B7,R2,11/20/25,5:37:50 PM,0.0057,-0.044
114,B8,R2,11/20/25,5:38:08 PM,0.0058,-0.039
115,B9,R2,11/20/25,5:38:31 PM,0.006,-0.028
116,B10,R2,11/20/25,5:38:50 PM,0.0054,-0.061
117,B11,R2,11/20/25,5:39:17 PM,0.0074,0.050
118,B12,R2,11/20/25,5:39:34 PM,0.0067,0.011
119,C1,R2,11/20/25,5:39:54 PM,0.0069,0.022
120,C2,R2,11/20/25,5:40:14 PM,0.0049,-0.088
121,C3,R2,11/20/25,5:40:31 PM,0.0062,-0.017
122,C4,R2,11/20/25,5:40:50 PM,0.0072,0.039
123,C5,R2,11/20/25,5:41:07 PM,0.0113,0.265
124,C6,R2,11/20/25,5:41:23 PM,0.0084,0.105
125,C7,R2,11/20/25,5:41:40 PM,0.0074,0.050
126,C8,R2,11/20/25,5:42:01 PM,0.0071,0.033
127,C9,R2,11/20/25,5:42:22 PM,0.0079,0.077
128,C10,R2,11/20/25,5:42:39 PM,0.0071,0.033
129,C11,R2,11/20/25,5:43:04 PM,0.0094,0.160
130,C12,R2,11/20/25,5:43:23 PM,0.0065,0.000
131,D1,R2,11/20/25,5:43:44 PM,0.0092,0.149
132,D2,R2,11/20/25,5:44:01 PM,0.0124,0.326
133,D3,R2,11/20/25,5:44:22 PM,0.0097,0.177
134,D4,R2,11/20/25,5:44:38 PM,0.0107,0.232
135,D5,R2,11/20/25,5:44:55 PM,0.0057,-0.044
136,D6,R2,11/20/25,5:45:16 PM,0.0076,0.061
137,D7,R2,11/20/25,5:45:37 PM,0.0072,0.039
138,D8,R2,11/20/25,5:45:54 PM,0.2909,15.713
139,DI,,11/20/25,5:46:17 PM,-0.0019,-0.464
140,DI,,11/20/25,5:47:34 PM,-0.002,-0.470
141,0 STND,,11/20/25,5:48:06 PM,0.0055,-0.055
142,0.25,stnd,11/20/25,5:48:30 PM,0.0049,-0.088
143,0.5,stnd,11/20/25,5:48:48 PM,0.0081,0.088
144,1,stnd,11/20/25,5:49:19 PM,0.0134,0.381
145,2,stnd,11/20/25,5:49:37 PM,0.0287,1.227
146,5,stnd,11/20/25,5:49:53 PM,0.0859,4.387
147,10,stnd,11/20/25,5:50:12 PM,0.1749,9.304
148,20,stnd,11/20/25,5:50:30 PM,0.3407,18.464
149,50,stnd,11/20/25,5:50:53 PM,0.9071,49.757
150,DI,,11/20/25,5:51:27 PM,-0.0019,-0.464
151,DI,,11/20/25,5:51:46 PM,-0.0024,-0.492
152,DI,,11/20/25,5:52:19 PM,0.0016,-0.271
153,0.25,stnd,11/20/25,5:52:43 PM,0.0033,-0.177
154,0.5,stnd,11/20/25,5:53:07 PM,0.0069,0.022
155,1,stnd,11/20/25,5:54:00 PM,0.0096,0.171
156,2,stnd,11/20/25,5:54:17 PM,0.0282,1.199
157,5,stnd,11/20/25,5:54:34 PM,0.0822,4.182
158,10,stnd,11/20/25,5:54:56 PM,0.174,9.254
159,20,stnd,11/20/25,5:55:14 PM,0.3416,18.514
160,50,stnd,11/20/25,5:55:39 PM,0.9059,49.691
161,DI,,11/20/25,5:56:03 PM,-0.002,-0.470
162,DI,,11/20/25,5:56:23 PM,-0.0024,-0.492
163,DI,,11/20/25,5:58:07 PM,-0.0026,-0.503
164,DI,,11/20/25,5:59:04 PM,-0.0026,-0.503
165,DI,,11/20/25,5:59:29 PM,-0.0028,-0.514
166,DI,,11/20/25,6:00:44 PM,-0.003,-0.525
167,DI,,11/20/25,6:01:07 PM,-0.004,-0.580
