Date,T,Sample,Rack position,Cup Number,Sample ID,Analyte Name,Determined Conc.,Conc x ADF
Aug-24,T3,438,71,71,Sample 071,PO4,,0.2
Aug-24,T1,403,72,72,Sample 072,PO4,,0.0478
Aug-24,T2,415,73,73,Sample 073,PO4,,0.0771
Aug-24,T2,428,74,74,Sample 074,PO4,,0.143
Aug-24,T5,457,75,75,Sample 075,PO4,,0.0699
Aug-24,T5,459,76,76,Sample 076,PO4,,0.109
Aug-24,T5,462,77,77,Sample 077,PO4,,0.0471
Aug-24,T5,463,78,78,Sample 078,PO4,,0.0919
Aug-24,T6,447,79,79,Sample 079,PO4,,0.0477
Aug-24,T6,444,80,80,Sample 080,PO4,,0.0174
,,,,S10,20NO2,PO4,,-0.0427
,,,,S2,20N/8P,PO4,,8
,,,,S9,Saline,PO4,,0.00951
Aug-24,T6,455,81,81,Sample 081,PO4,,0.175
Jun-25,T1,93,82,82,Sample 082,PO4,,0.371
Jun-25,T1,576,83,83,Sample 083,PO4,,0.0487
Jun-25,T1,579,84,84,Sample 084,PO4,,0.0371
Jun-25,T1,586,85,85,Sample 085,PO4,,0.0135
Jun-25,T1,587,86,86,Sample 086,PO4,,0.0611
Jun-25,T1,588,87,87,Sample 087,PO4,,0.0253
Jun-25,T2,598,88,88,Sample 088,PO4,,0.0655
Jun-25,T2,599,89,89,Sample 089,PO4,,0.01
Jun-25,T2,608,90,90,Sample 090,PO4,,0.0266
Jun-25,T2,610,1,91,Sample 091,PO4,,-0.00342
Jun-25,T3,616,2,92,Sample 092,PO4,,0.0404
Jun-25,T3,620,3,93,Sample 093,PO4,,0.0434
Jun-25,T3,621,4,94,Sample 094,PO4,,0.0233
Jun-25,T3,625,5,95,Sample 095,PO4,,0.086
Jun-25,T3,626,6,96,Sample 096,PO4,,0.0768
Jun-25,T5,636,7,97,Sample 097,PO4,,0.0189
Jun-25,T5,640,8,98,Sample 098,PO4,,0.0678
Jun-25,T5,641,9,99,Sample 099,PO4,,0.0398
,,,,S10,20NO2,PO4,,-0.00927
,,,,S2,20N/8P,PO4,,7.97
,,,,S9,Saline,PO4,,0.0162
Jun-25,T5,642,10,100,Sample 100,PO4,,0.0376
Jun-25,T5,646,11,101,Sample 101,PO4,,0.0377
Jun-25,T6,657,12,102,Sample 102,PO4,,0.0863
Jun-25,T6,658,13,103,Sample 103,PO4,,0.00471
Jun-25,T6,660,14,104,Sample 104,PO4,,0.165
Jun-25,T6,667,15,105,Sample 105,PO4,,0.0454
Jun-25,T6,668,16,106,Sample 106,PO4,,0.00604
Aug-24,T6,487,17,107,Sample 107,PO4,,0.0731
,,,,S10,20NO2,PO4,,-0.0241
,,,,S2,20N/8P,PO4,,7.97
,,,,S9,Saline,PO4,,0.0334
