##BLOCKS= 7          																					
Plate:	Plate#1	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	540	1	12	96	1	8	None
		0.0629	0.0586	0.0568	0.0556	0.0649	0.0697	0.0641	0.0573	0.0548	0.0596	0.0565	0.0604								
		0.1182	0.0925	0.0944	0.0936	0.0635	0.0656	0.0634	0.0574	0.0585	0.0597	0.0588	0.0589								
		0.0702	0.0655	0.0666	0.1144	0.075	0.0741	0.0728	0.0665	0.0681	0.0676	0.0655	0.064								
		0.0667	0.0599	0.0665	0.0673	0.0855	0.089	0.1059	0.0613	0.0604	0.0596	0.0588	0.0607								
		0.0628	0.0584	0.0629	0.0666	0.0833	0.0929	0.1043	0.0591	0.059	0.0579	0.0559	0.0617								
		0.0643	0.0615	0.0667	0.0694	0.0867	0.098	0.1067	0.099	0.0998	0.0962	0.0957	0.0605								
		0.6149	0.0598	0.0673	0.0683	0.0853	0.0957	0.1056	0.0604	0.0701	0.0608	0.0564	0.0565								
																					
~End																					
Plate:	Plate2	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	540	1	12	96	1	8	None
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12								
	19.8	0.071	0.07	0.0862	0.0847	0.0909	0.0968	0.1065	0.1135	0.9533	0.5731	0.1185	0.0782								
		0.071	0.0831	0.1127	0.1602	0.2475	0.4937	0.8719	0.0619	0.079	0.078	0.0734	0.0745								
		0.0735	0.072	0.0698	0.0795	0.0777	0.0788	0.9702	0.1196	0.0671	0.0678	0.0651	0.0772								
		0.0824	0.0795	0.0779	0.0859	0.0837	0.0841	0.5783	0.0804	0.0723	0.0732	0.0725	0.0818								
		0.084	0.0822	0.0869	0.079	0.0785	0.0797	0.0737	0.0966	0.0718	0.0794	0.0744	0.0791								
		0.0804	0.0857	0.0773	0.077	0.0741	0.0738	0.0741	0.0645	0.0637	0.573	0.1159	0.0715								
		0.0714	0.0878	0.1137	0.1599	0.2486	0.5005	0.8835	0.0637	0.0718	0.0736	0.0682	0.0647								
		0.0669	0.0691	0.0727	0.0814	0.0845	0.0967	0.1027	0.1098	0.1065	0.1047	0.1016	0.0652								
																					
~End																					
Plate:	Plate1	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	540	1	12	96	1	8	None
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12								
	19.7	0.07	0.0698	0.0708	0.0794	0.0855	0.099	0.0997	0.1094	0.8987	0.5264	0.1179	0.0833								
		0.0739	0.0816	0.1073	0.1508	0.2327	0.4651	0.8064	0.0635	0.8911	0.524	0.1078	0.0696								
		0.1176	0.1034	0.0973	0.0782	0.0759	0.0885	0.8904	0.1181	0.0686	0.0666	0.0687	0.0652								
		0.1041	0.0965	0.0961	0.0978	0.0972	0.0973	0.5256	0.0776	0.0741	0.0734	0.0751	0.0719								
		0.0721	0.0693	0.0721	0.0781	0.0834	0.0914	0.0985	0.1089	0.8874	0.5214	0.1121	0.0839								
		0.0706	0.0808	0.1177	0.1498	0.2341	0.47	0.8105	0.0637	0.8934	0.5211	0.1261	0.0794								
		0.0692	0.0721	0.0721	0.0809	0.1521	0.1073	0.1001	0.1208	0.0893	0.0869	0.1147	0.0671								
		0.068	0.0696	0.0723	0.0787	0.0857	0.0937	0.0999	0.1094	0.076	0.0735	0.0759	0.0667								
																					
~End																					
Copyright © 2003 Molecular Devices. All rights reserved.																					
